U_gain	E_gain	16_RANGE2c	16_RANGE2f	26_RANGE2c	26_RANGE2f	16c	16f	26c	26f	30c	30f	60c	60f	90c	90f	120c	120f	150c	150f	170c	170f	150_BOOSTc	150_BOOSTf	170_BOOSTc	170_BOOSTf
-0.000978025628490377	0.183251388027473	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.171875	0.171875	0.34375	0	0	0	0
-0.0008464294749550306	0.34681547868285817	0	0	0	0.328125	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.09375	0.1875	0.359375	0	0	0	0
-0.0009013655276570183	0.3200042771884286	0	0	0	0.3125	0	0	0	0	0	0.015625	0	0	0	0	0	0.015625	0.0625	0.078125	0.21875	0.296875	0	0	0	0
-0.0007785782170459596	0.32118744081752565	0	0	0	0.359375	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.171875	0.125	0.28125	0	0	0	0
-0.00032142227848843877	0.29109032384851535	0	0	0	0.328125	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.09375	0.1875	0.359375	0	0	0	0
-0.000704693532191082	0.4039120981437902	0	0	0	0.234375	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.03125	0.15625	0.203125	0.359375	0	0	0	0
-0.0011267277289715126	0.331708760554297	0	0	0	0.28125	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0625	0.0625	0.15625	0.421875	0	0	0	0
-0.0012122934791189105	0.2688107944550525	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.125	0.140625	0.40625	0	0	0	0
-0.0011395175155227003	0.14254733408417417	0	0	0	0.09375	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0625	0.15625	0.171875	0.5	0	0	0	0
-0.0005970854555169252	0.16186713953268667	0	0	0	0.15625	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.203125	0.1875	0.421875	0	0	0	0
-0.0009571065779128043	0.175348711494174	0	0	0	0.15625	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.015625	0.15625	0.1875	0.453125	0	0	0	0
