16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2817.580866259198	3161.5096780271547	4446.388224708816	3813.3096833427553	5775.77451089987	6525.282364165057	11479.209252886552	15044.170696141939	19352.00332906205	22229.153432963805	24637.978652427937	23847.010077499763	26549.060328477095
2818.2665506998696	3161.4534167763804	4443.158627807938	3814.420958822088	5777.8403023693045	6524.606495828132	11471.704543689957	15058.542334515116	19414.09689842621	22118.36364371645	24696.220346048576	23798.729999955878	26376.549078493703
2819.4785695108303	3164.379838584126	4441.468503462706	3814.5262112153073	5781.907646633615	6531.237696742152	11441.49941457829	15015.776261039402	19372.59828424178	22050.611811912866	24502.670442735827	23929.818276247363	26440.56122878502
2820.218982678069	3163.323886152627	4440.328699714651	3811.1538643317376	5775.823862201368	6537.552153828756	11446.07720425969	15045.567562705592	19318.081866735698	22122.34822715201	24655.434820387098	23834.141289315572	26571.11810178173
2821.305327688341	3161.0546130524717	4440.396476605433	3813.4616354237432	5777.183995461946	6537.038505184372	11454.598945483827	15011.169836909761	19377.55497022607	22176.900524303226	24637.4590643521	23766.102235010065	26371.125461292915
2822.235255565458	3162.1370583801568	4444.776796827129	3811.6648577261662	5773.551773763785	6539.320860285058	11468.705355910446	15027.00888592264	19426.075709348468	22130.596276485558	24497.979352263366	23774.94951573814	26460.19687391307
2822.077077378105	3163.5371205421293	4444.218054899492	3810.602725702823	5782.508254981078	6539.351648563961	11487.47555358671	15048.75384763474	19443.67182737141	22009.207985617897	24738.941062875347	23836.58637298397	26420.2948330211
2823.2040331345197	3162.901953136817	4442.869913843638	3811.294173459327	5780.079521729281	6531.5555973698965	11425.715874446154	14990.455660469088	19385.62283570739	22199.455214424368	24525.02415097993	23963.34089883944	26367.97249722643
2820.5450816103507	3162.4551891356477	4443.422037893565	3811.4246375758294	5773.734149514321	6536.295088075048	11452.8561981631	15041.434246560802	19370.945020653737	22017.86855371987	24543.01473256704	23729.22667537827	26459.246668322332
2819.6080896435024	3161.484828184558	4444.041177240341	3814.6732622056134	5787.467659448166	6529.604297137988	11453.232866652468	15036.206496389288	19366.97137766871	21914.66238440537	24648.997248435506	23791.34207060843	26474.32562423079
2819.274747094443	3158.3660332731497	4444.193558799174	3810.467927352242	5783.010909628234	6529.385140383051	11485.458265805075	15016.137507923862	19369.28431193034	22076.88587467845	24547.78737035291	23927.188213960624	26390.803826821815
2819.890762788793	3159.608785603448	4447.631139643345	3810.60824891315	5770.625355087708	6527.57484285904	11464.885243198329	15019.833260748585	19364.214491570132	22057.375293567868	24737.782674292994	23745.993411902225	26469.38742023625
2821.3226644591987	3162.459736295037	4443.482776952228	3812.130246318604	5776.6735553741455	6532.488967017304	11493.525034944776	15022.709058678669	19313.223702566964	22189.97697888708	24506.923314687367	23838.00810831456	26405.99620585539
2821.8017014084157	3162.1786264272837	4436.845256516579	3810.9204565831856	5779.135227203369	6531.74774987357	11482.14034762671	15046.675308890965	19414.53999486463	22123.588374787312	24568.270330559717	23837.937899162433	26383.786588101775
2821.887083952582	3162.004406325483	4441.0427411397295	3812.092716254077	5779.877725439759	6545.539390248927	11450.820869499154	15070.56956728473	19411.395739957778	22112.654476630978	24813.97863936751	23831.993524282258	26701.914030930093
2821.343616374488	3162.040009489373	4445.724287058112	3807.518883415532	5773.888112609289	6542.180220001712	11476.896178554482	15007.529342383668	19376.460484095984	22135.397283042348	24510.589805809228	23973.04956167022	26541.45339439655
2822.3829204533376	3164.0354730908016	4442.927409280799	3808.7990574495475	5779.846334905834	6530.481928789552	11482.744250617685	14975.173882975978	19430.787222726005	22203.860838720404	24581.527709960938	23856.46357680812	26397.3635596198
2819.9307786736176	3165.354206074105	4443.3837452954385	3811.55152251755	5773.726675577672	6539.634663424046	11495.061139757136	15043.451074968305	19363.019658231187	22069.3986108698	24568.890872066968	23861.295526677914	26709.661091843696
2817.650173985681	3164.367158283559	4440.7882089689965	3812.974558679778	5781.989015766685	6533.414823514921	11480.247174050699	15089.545333594606	19378.231593540735	22054.462898068312	24505.821434227197	23810.432896469578	26373.889348278306
2819.6462365083917	3163.0299812139465	4441.773657705269	3811.3303244517824	5774.30964263629	6535.418799792415	11499.394833202094	15017.575515813125	19324.678693498885	21997.740774443657	24694.436217007573	23696.731798576588	26385.333086993243
2818.3647547961436	3165.3476315875387	4439.913381741741	3813.433071265474	5781.723154208724	6527.795877542581	11450.446243827224	15039.083232050356	19323.866707938058	21982.824875533213	24610.737959543865	23851.97616204983	26875.654856363934
2817.907611143242	3162.7132998674933	4440.615496297521	3813.39218907015	5775.133768717448	6536.8504300444565	11475.130175867826	15038.305442238694	19376.171657017298	22067.314240990614	24627.257366569676	23834.73168121525	26513.66529793575
2820.7135107730614	3164.2701480418646	4441.00300470988	3814.142031641947	5777.844786643982	6527.25748020968	11485.326374676211	15017.66771208251	19377.15802873884	22130.896405475894	24725.169351656143	23859.954461818787	26389.43775280102
2822.3570519344653	3163.141987330685	4438.711926828023	3813.23404358205	5774.057599572049	6524.45753772126	11464.481622400419	15026.025897030226	19363.557672224983	22132.8388560902	24518.767992655437	23810.00867704066	26881.244264799974
2818.2556048743822	3160.822887734545	4438.787230646423	3811.925793894263	5780.017692101727	6533.564212950559	11453.03544223098	15014.286124550099	19338.43439275568	22073.936462402344	24589.699667853278	23852.654659386837	26400.294568803576
2821.164348118534	3163.7365335647273	4442.023228408472	3812.503906662002	5775.51117181406	6527.9661102845785	11441.66395697795	14982.911814814028	19325.95934186663	22080.58906323982	24493.567797602438	23861.335985588306	26406.352584426466
2819.6733664912385	3163.552099420119	4439.669341043709	3813.276919283608	5778.7018772968995	6524.696759546378	11474.069751454417	15060.924546687364	19384.890965053015	22239.761588014204	24575.52086817075	23896.636032476657	26636.0975291631
2819.897364644171	3164.0229880002757	4443.457746130275	3812.464339590165	5779.623985290527	6528.955934710451	11444.23903080455	15014.215327766786	19378.19344656808	22043.8109503852	24657.807382596595	23835.01836858644	26387.863688998754
2820.2692667643228	3159.9906242562447	4446.395694742626	3811.8703024727956	5784.186011710397	6536.177901534347	11466.82833614282	15044.523230733324	19384.99995640346	21989.89798383015	24513.01909781791	23633.569659608784	26453.443475671716
2822.074631638356	3159.7568261577358	4438.808986118862	3812.185125461416	5784.751856158629	6532.540885351037	11482.24550927907	15024.917167529726	19381.724766322546	21978.67668479498	24398.405257969687	23743.50152364591	26621.64871006796
2822.490803246359	3161.1229304768804	4440.438856772326	3811.103710229846	5779.699167362028	6541.755511901965	11441.763214003493	15108.220962457783	19436.82528090203	21999.237014026177	24631.826844933916	23783.119713387838	26513.30355940194
2821.8944983301635	3163.4224785698784	4444.512510611341	3813.1287344889165	5777.106389730328	6526.581275420377	11459.228840280086	15019.205342168394	19418.809605740953	22162.743556646652	24647.973988154165	23786.172634217797	26548.14557964299
2820.35416138763	3162.2392296560497	4446.248682778026	3814.1720536826315	5776.600235151985	6530.495100123908	11428.58204088713	14985.538466007949	19406.478529031567	22121.69112228766	24738.39668378438	23786.596818403763	26625.75081603168
2820.537578238664	3161.5588092064672	4443.560082928028	3814.243441843158	5777.908634173908	6532.354612608214	11442.278472470565	14979.799762042849	19476.221895765982	22007.867061730587	24539.170199877597	23735.51747885095	26428.10426909348
2819.982515711363	3160.942003922762	4440.9171177020535	3812.2340663549758	5776.447123018602	6527.205557968715	11472.850826615137	14998.931551604292	19352.852957589286	22205.050398663778	24526.08056970545	23889.838195428616	26553.78547874657
