16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2020.475056096699	2363.420441941775	3515.363069173927	2814.419775133854	4196.345199599076	4755.734640454489	8114.599477389694	11695.711236251029	15210.101069236289	18532.115610400637	20783.812312756556	19970.232517875018	22352.771325544876
2019.812686025146	2362.4569974843926	3517.809893443119	2813.6704983258533	4194.564398983622	4753.91641715512	8109.552626321111	11760.31704606681	15189.853715307918	18581.96836529356	20780.88124593099	19948.135069267235	22241.134428035068
2019.6870088305413	2362.5758675329375	3517.9356367385694	2815.8870770966587	4194.128678141651	4757.740292361642	8113.063684030742	11723.709106445312	15182.854699306801	18499.317169189453	20675.20913113369	19931.75506591797	22254.29020570905
2020.4969853637974	2364.6506915206646	3514.7772309529846	2815.95437446642	4196.522540187923	4752.961625444128	8115.834410085618	11712.647074885414	15205.19178421771	18447.37278157143	20778.33993094308	19994.850733771396	22238.704444324903
2020.378613009828	2363.2408411771976	3513.9878150608843	2816.252786960201	4196.902079414748	4752.956204495187	8117.683812191612	11721.64964527356	15233.110498498987	18453.922271728516	20809.10856073553	19837.474348533215	22246.096767274674
2019.1109037969218	2363.846163700872	3514.5374951441645	2815.4216579319814	4194.620897143667	4755.879563302214	8108.382954787408	11738.10362815857	15191.913636262752	18516.829519560844	20781.13986947442	19998.3060060434	22258.81747985154
2020.5339430674646	2363.0454678584283	3517.7399907415925	2814.459189390525	4195.832986436132	4755.924103107858	8118.36041902241	11750.04785711115	15165.895712180216	18580.49963936588	20716.737219169314	19916.712635695334	22307.35283113469
2019.7678918707861	2364.201534853438	3515.705864550331	2814.083392469464	4195.825640125908	4756.485469757565	8106.275674432079	11729.828665189654	15206.395602617107	18384.018136029266	20722.29223736262	20005.88268490892	22320.267844334834
2018.8676318665596	2364.1824857832153	3516.786652737438	2812.84314926	4195.043425476802	4753.619809693928	8105.743856050183	11762.10182213858	15187.184997056247	18544.902801513672	20685.388800803194	19869.042401337745	22327.837970970715
2019.0144346404647	2362.585856584026	3517.2061008565565	2813.7384963659433	4198.328595319797	4754.229117248018	8117.263921901615	11725.14942204841	15166.515161183255	18490.401181307705	20741.543527376853	19962.430000305176	22330.909125548973
2019.4786198135105	2362.209463445364	3514.5799135832194	2815.1422484308227	4196.6873379896315	4754.2002451913895	8107.459845663118	11730.810129864616	15193.34754165338	18597.152364912945	20857.96356201172	19880.824089050293	22330.898349567997
2020.2296859941641	2363.597613532342	3514.965889414225	2816.103859965873	4195.180736200081	4758.024063677894	8104.765265556559	11726.67648933387	15242.94008974169	18511.455861767332	20768.925295037738	19890.971183776855	22331.5341324456
2019.4012848091886	2363.08344123849	3515.3338968369976	2815.288943418881	4197.600133278791	4758.292196156366	8122.890937228162	11709.936632091416	15160.61947669512	18697.112497657236	20688.008178364147	19904.1511073257	22334.702270852646
2018.8715028871436	2365.005254066228	3514.8244781917606	2815.3756181240897	4198.169268770701	4755.112269375228	8106.36137319908	11718.301742986925	15228.76395553839	18503.543719574434	20842.227068814365	19979.629516601562	22295.42082006281
2018.795241917873	2364.360348256719	3514.049029109454	2814.8538287860406	4198.479301789228	4752.378027953453	8110.10836555273	11692.737200245354	15173.464405293367	18474.646631231164	20802.031742053085	19910.347521604606	22351.405041365975
2019.6795123934405	2364.3104375391404	3516.754980896672	2815.049438650353	4196.557972239655	4751.969593523925	8134.259675678454	11780.085053833776	15198.291077905771	18521.98461791379	20860.429537498345	19920.268058776855	22437.994820731026
2020.34709122295	2363.891883490098	3514.841844409292	2814.4137425856156	4194.888980707266	4753.3712275603375	8123.818329114954	11723.601818084717	15228.54452805895	18523.09164689414	20752.60140922632	19928.526878356934	22350.419651378284
2019.8572197916296	2364.5543210806327	3516.2156628024195	2814.836160509067	4196.739196777344	4756.853506998352	8123.405824417338	11716.638925274829	15246.180237316694	18516.868051856454	20744.21184688973	19991.745301826515	22350.836883891712
2019.1764614057379	2364.0723765506677	3512.889724689177	2815.929017918644	4198.863528190403	4754.117033261636	8105.7397942794	11759.76393750152	15181.339853178195	18438.28625149197	20780.39190742407	19923.17659771023	22477.035522460938
2018.9095303356885	2365.0400319330374	3516.2305744093865	2816.577820240841	4196.893184556873	4761.232157885018	8104.688981000115	11754.25119908252	15267.919321529202	18518.549023252544	20772.556800626764	19975.570717243234	22360.294886997766
2017.4459385790515	2364.173828368168	3515.1977820589973	2815.6651360802925	4196.530003701487	4760.932315571564	8114.1703298401135	11717.701255346756	15194.128367526471	18477.66991236701	20723.771513178108	19867.95425415039	22535.92354910714
2017.2533450675799	2364.5187021659553	3516.8411986854244	2813.2218580979566	4197.599701068369	4755.478716911153	8106.127287212171	11726.064474040473	15228.053501674107	18502.85053253174	20719.922454663494	19928.716534945233	22541.765485491072
2018.6932338269007	2363.341582505929	3514.520356575941	2815.5809379668826	4199.868407697309	4754.196053604159	8105.869052790794	11753.387212005902	15203.751199613742	18446.61235809326	20719.016730452382	19962.004081687737	22429.351806640625
2017.9335312533406	2365.373629883923	3514.380389094902	2813.5786018523563	4197.400176580051	4755.5307862619875	8117.300334729646	11725.954548963506	15325.130763390252	18539.168617942116	20712.106587500544	19930.577278137207	22441.190514860853
2018.359803011643	2362.947572361339	3514.840086484285	2815.661199412115	4198.1189622791535	4756.384707511739	8104.142402952822	11746.657522101152	15262.572363080311	18492.31243133545	20755.349920037086	19853.980097938424	22434.98893780897
