16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2343.679278084401	2687.48505591283	4026.354540575732	3209.4081686861687	4838.1771053279845	5486.599604288737	9560.385688406523	13787.752174469362	17823.703705318392	21676.54500424283	24226.665496826172	23192.396441709647	25925.09279968918
2343.7718349675138	2689.6517282097666	4018.82495845636	3211.995343256263	4843.4112382971725	5499.05788824425	9516.762713996732	13767.667563564806	17843.839690441222	21360.760643368674	23633.746096962375	23002.270289829798	25551.420577028963
2341.783716437522	2686.0039551874825	4025.529614455408	3209.879145275947	4837.55163244299	5496.700024057281	9541.015155979845	13771.229479686323	17733.938992023468	21243.304298037576	23943.414079382066	22934.499776588294	25714.397430419922
2341.717915465557	2686.5154838135313	4018.5226910356164	3207.284511800585	4844.404340864302	5493.050813674927	9518.452079928651	13770.229845161897	17715.558409690857	21472.06893334022	23711.032055793923	22904.144143158534	25666.144586378527
2341.2169896968276	2685.6829623049052	4018.521137374768	3209.619649818965	4842.88145438559	5491.752465234171	9525.411497286665	13807.245047695666	17694.881984165735	21453.55481367845	23725.134261110994	22993.714468819755	25666.023822540934
2340.2996661951724	2684.2550409986934	4022.8151672583626	3210.6953626238433	4836.960252758392	5495.959792394361	9577.031995429368	13807.5610241258	17739.52874611682	21251.805623372395	23737.694354767496	22920.172555106026	25544.683983985415
2341.0865544203684	2687.9481287877297	4024.52619813329	3208.692584718977	4841.110766579528	5497.456588269271	9494.446734992825	13793.202931295611	17852.60009765625	21366.746085030692	24154.81690437563	23044.477190290178	25948.23734734648
2341.0739125432196	2685.5458094421047	4019.564315275401	3207.9899111273567	4842.417948954814	5500.44901933451	9518.209050913327	13723.6246805705	17838.77845824234	21444.56826723539	23844.216459540912	22985.02240862165	25664.248365036983
2342.5127893285367	2687.406166136465	4026.9803397263154	3208.269208869678	4842.654705909881	5494.669235325059	9515.552985958937	13711.70390735973	17844.654264904202	21250.434148879278	23984.447602302796	22990.662711007255	25646.39429892263
2342.135481711598	2687.5117637591657	4024.2539273986267	3209.829064054862	4840.060691971211	5501.511191132163	9516.24304298463	13771.302685766163	17764.076473206045	21537.8449513362	23994.90725609564	23019.000462123327	25780.052267095096
2341.7253419338786	2688.189214241318	4022.3130234726914	3210.01001537648	4846.313874498545	5496.433234165009	9555.734571863393	13764.958181780969	17706.450514906035	21463.449184711164	23883.5939797022	23112.70053570087	25787.25096999958
2341.1787062950048	2684.0722414695033	4021.303748395899	3209.700787094082	4838.23296821139	5499.144765407649	9531.350783359858	13749.099639524897	17729.507446289062	21373.839605422247	23852.043963493186	23020.081293015253	26004.165731450565
2342.3215221743258	2685.796773981007	4022.54480565435	3212.9351724714243	4843.888075455376	5494.647995564947	9533.995487650887	13797.909380441688	17795.44259619525	21358.33558582124	23743.507709908994	23095.42435866136	25385.51168238863
2340.0248968013198	2686.9344233936145	4021.398870794623	3211.074701234615	4841.818350845586	5505.126889280695	9541.009396922831	13749.358165695006	17903.01005045573	21646.407934335562	23614.46179841694	23010.3089259221	25546.327550360496
