16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2312.72860827199	2655.2408033410393	3982.2810735457983	3175.9866002825584	4786.254509688958	5437.746090485118	9464.675030750264	13632.320222400484	17844.005064530807	21625.62625508913	24140.208959579468	23243.659072452123	26029.669393704633
2314.959852078471	2656.2872061960834	3992.0769920644834	3175.935927470019	4785.078043802845	5433.933875140022	9439.353381886202	13651.03040422712	17691.901560579794	21692.596115432418	24007.819419683412	23364.293825376284	25825.634598731995
2313.879433376218	2655.1142026964926	3986.4624355575033	3175.0098024690974	4785.952201256385	5439.477307455881	9475.71642258588	13632.61881816029	17728.66930280413	21575.739685918245	24303.57038974762	23362.253753232286	25755.90444165607
2311.5358375421856	2654.36399550665	3983.2717816955487	3175.101712322387	4791.182639204033	5434.513798466435	9439.11630053853	13668.060302734375	17778.31486293248	21640.221277872723	24250.097572803497	23335.298998602506	26047.767154754154
2311.7489958794963	2655.2247281487353	3982.6066223616453	3174.3975961284273	4792.560230601917	5438.924541134806	9457.81752510854	13667.543902667849	17718.761989048548	21662.50679228041	23963.85313019039	23146.708806355793	25832.541286945343
2313.161790608789	2655.279465813326	3982.1563622890376	3173.844057506479	4789.3450432217	5438.696770440964	9481.930662809578	13633.9809583581	17762.156895228796	21713.982165699275	24149.946464124576	23322.306888204224	26094.12372112274
2312.453524524947	2654.873378693111	3987.965283093152	3174.527992765267	4792.5892782150095	5433.487255424703	9432.20535681045	13680.408740865772	17759.328538721256	21578.59007517497	24310.34663366893	23285.97915756119	25993.177133013112
2313.4030633608245	2656.5962103733505	3985.369328371028	3174.0816812666635	4788.923813042048	5436.112232406639	9441.400755946212	13703.675249257984	17738.21765726263	21588.04072274102	24221.00305557251	23221.56840357287	25953.836739063263
2311.8864958453332	2655.671382120542	3981.19117237331	3175.602261982267	4789.091877101623	5436.436005091455	9451.205270332202	13640.876438306726	17785.933358328683	21634.51826068717	24315.308398149144	23296.429560734676	26065.804064273834
2312.996317302792	2654.1173173816483	3977.045933303539	3173.205998556521	4783.362264963721	5441.281353985822	9439.199900697055	13653.23087353727	17695.95009940011	21538.89338175456	24150.34919977188	23242.864343855115	25931.36578798294
2312.5674355733527	2655.45264633288	3983.0171050633135	3174.5276379035217	4792.392711200373	5430.140905634939	9455.081315068473	13678.654380466627	17759.31763923031	21565.570697917803	24096.578359603882	23234.79047963317	25906.458497047424
2312.412687168	2655.5008189693376	3982.0867209937087	3175.0858255457442	4787.974203786543	5437.4745762312805	9472.519771094896	13645.684048210904	17866.074698311942	21592.613746379982	24183.59621303288	23164.55708609687	25877.139365026193
2312.3916407473616	2656.8493960675687	3981.6735185615826	3174.937207293245	4782.214010915449	5441.246825085195	9443.619508437443	13647.95057288496	17812.378662454208	21517.45763318292	24123.51965904236	23221.49605586611	25702.882000780482
2314.1043743382197	2657.3473078026645	3983.620199875231	3175.5729845375013	4785.586941626764	5432.804073907632	9440.794019055857	13623.370294985563	17789.62395407937	21774.64122503576	24215.819343687996	23155.952667022917	25883.260623429174
2311.4432772664486	2656.639711169424	3980.257085719372	3176.1770316695256	4782.849980383804	5433.044490024183	9458.203469553302	13623.73500034727	17679.909528312037	21614.98136923347	24212.412536144257	23195.140891604955	26072.719904381458
2313.1336348940176	2659.0292620810733	3981.1661433438103	3175.6876380580247	4785.693797868552	5432.028295735194	9469.040677694282	13670.34912109375	17819.20841761998	21651.102436913385	24241.112172603607	23307.233423619837	26044.800877571106
2312.8427386854255	2658.61087375217	3989.6541580730423	3174.614261936497	4788.204816624311	5439.092979318624	9477.24510641659	13674.034184707707	17744.46759905134	21573.676003350152	24112.634360790253	23444.789272921902	26273.494630348025
2314.4345834435694	2657.7941955082	3981.5240776630785	3174.899490016281	4788.84854267553	5433.391039024828	9463.313038398093	13648.62507787244	17904.036385672433	21692.322684334707	24110.417033350746	23258.800237951145	25968.462228775024
2315.7602296480636	2656.440825978662	3984.420569901614	3174.841593182276	4788.726453155164	5433.062829914883	9442.004035500919	13666.144697181075	17758.30367515827	21537.133863755873	24231.674135193345	23235.801170612205	26060.87177991867
2313.956275073378	2656.4586721212736	3984.0180287796866	3175.7567000881854	4782.953885086978	5435.767627897717	9469.02672681447	13663.25046705163	17746.562307531185	21571.84995453933	24207.655839094026	23319.384434840063	26023.52201938629
2312.6548979861805	2657.7719640618006	3982.23867184374	3175.431206112816	4792.892181121551	5436.184144515312	9467.322346767949	13653.660233402665	17736.863006245007	21525.968354323813	24066.183302137586	23432.618254548186	25854.894357134206
2313.8032629908407	2655.8602585311537	3984.8906960113013	3174.416110358166	4787.786628223659	5437.4244202476375	9478.465248556698	13747.484148336402	17785.295758928572	21702.212887210444	24163.641035556793	23292.43479908763	25870.489695715525
2312.9012891711795	2654.851763231373	3982.911494568887	3174.4197212201057	4786.57107120308	5432.0664632888065	9431.267342372248	13658.635027996905	17717.150124636562	21609.879873849295	24254.603648748922	23341.53652191162	26031.91465843381
2313.056885008793	2654.94957091702	3983.837955264286	3175.5292737806167	4789.345052711752	5435.063506446182	9437.793161162883	13681.27905804178	17772.151402064734	21629.85669242011	24088.611752968136	23230.605655246312	26054.08713931129
2313.990801929003	2653.6723199065045	3981.5387210330446	3173.614514072894	4786.464356884514	5435.407338581029	9464.676239911249	13638.687133789062	17900.89442812163	21585.905140843886	24132.336756979774	23233.42694176568	26053.547859191895
2313.7939878668917	2655.606500869521	3981.5255530207164	3173.5662430051775	4788.458652985401	5435.739851139419	9444.661853600108	13651.777655531318	17793.996767564255	21602.757327206484	24152.807487073795	23293.62949854891	26261.715661911738
2313.176600746751	2656.196582118512	3985.074001596642	3173.994278281856	4784.549722941185	5435.491418204596	9466.40550044545	13657.648325998545	17750.63167918812	21530.544841206156	24036.06740079185	23148.907555474176	25863.041249356527
2314.871525859453	2655.0126454186816	3982.0296730620826	3175.2514289121546	4788.829118777544	5433.385379236601	9453.692394267779	13670.292483667099	17734.89605296742	21639.274226294623	24103.78794031819	23292.36931271023	26034.54887866974
2313.971519470215	2654.9254388612103	3982.6196531327523	3172.1538967556426	4789.954608248681	5437.302976802674	9450.40217617102	13628.509653595103	17787.5736781529	21586.318810780842	24042.710661888123	23117.238825017757	25884.931401688922
2314.819092769547	2655.749480182302	3984.9311995536973	3174.5127947681926	4783.602104973547	5439.927180608113	9437.180684109238	13642.2619799176	17751.502990722656	21526.67012248006	24130.438256451464	23256.66361841662	25911.015788401204
2315.3137875743123	2656.3652008178224	3982.8160734593407	3174.0796102049617	4786.391848141385	5438.013429994936	9459.39486327409	13664.87861200191	17738.87330835516	21508.1839725889	24128.462917120884	23219.988896296574	25821.81990146637
2313.808581095183	2657.6917008489418	3987.177305086546	3175.981852132679	4785.970984892188	5439.870828724189	9465.005041217524	13671.19380405971	17765.41363109242	21660.162342919244	24365.805089473724	23261.250315846264	25831.65466785431
2313.1001993004543	2656.910788309441	3985.558588480212	3176.7020456925593	4786.810512861844	5436.422566248085	9476.672934923201	13667.07760354747	17745.29977278276	21625.803576575385	24041.219858022836	23111.02993838437	26041.129278758217
2312.8538374688214	2656.7316359015786	3987.3774518671726	3174.1829100398077	4786.565036847324	5437.97051308781	9456.681926348056	13608.969975767177	17720.898219517298	21660.81146455147	24189.919233322144	23309.210936228435	26026.375591754913
2314.1724179940393	2654.0907242896533	3982.3122686469464	3175.6771008805363	4788.768184077632	5437.955348449346	9453.756619343716	13679.525126581606	17747.326330705124	21529.050973745492	24181.343615055084	23202.78353161282	26195.706344964936
2314.32459156984	2655.324247694507	3981.8045110543367	3176.6581402989627	4786.696103054331	5437.333081525582	9437.177341116412	13666.322220971573	17703.19180055098	21516.91831391433	24137.184023857117	23255.821708199026	26092.57400035858
2313.7464515740576	2655.6335679129133	3986.8403829461813	3177.1765814887153	4789.8720472286905	5440.985059879654	9469.288831565813	13659.519061707613	17863.388719229864	21641.197738113937	23886.109900286818	23230.39372762044	26038.22946548462
2313.8416800529335	2653.759495782814	3984.489293821673	3173.599182517047	4790.50790109942	5435.50934110369	9458.38571291918	13636.343468923937	17817.383462732487	21486.38238440027	24031.16226196289	23154.424296485053	25980.298833329547
2313.6063107246437	2655.4621649470732	3979.9603102596875	3176.185735471689	4789.9317403864525	5436.959077051357	9455.770079852546	13666.691987410835	17750.18508824925	21524.869984593886	24379.72271536279	23292.99185011122	25828.56111748274
2312.2949964681247	2657.4822536027764	3980.8381464063505	3174.5359835021536	4788.931822165465	5433.8282576654365	9453.28687293089	13614.957228950832	17696.19203556729	21586.444642808703	24122.849106788635	23210.82353591919	25917.984545230865
2312.788742771179	2655.753087883633	3980.423580850349	3175.810643821765	4782.919718031718	5431.641472710504	9472.071775916027	13618.436210599297	17780.516488211495	21709.548843490495	24235.151708126068	23316.648271348742	25942.82478094101
2312.8555115475597	2655.0466914105095	3988.5900195501026	3175.10701893623	4790.547574393853	5433.70570405043	9462.996090159697	13714.002526324728	17701.481410435266	21518.734139455875	24136.57307624817	23257.40787718031	25870.96897635873
2314.093392654504	2656.0859892271737	3985.589075272608	3175.4543106869396	4784.7325583989405	5431.0791580765335	9470.415394208585	13645.376180457237	17809.38554084164	21581.070998619343	24195.335805416107	23226.53267118666	25949.902832508087
2314.050550112095	2657.532976464611	3983.780416505787	3175.3074942930434	4786.458254781009	5434.95476421705	9459.227061341586	13671.924327981884	17869.458879743303	21582.961082458496	24185.233228788602	23140.44388247208	26221.063401963977
2313.891255048167	2655.234902077662	3979.2717500389617	3175.6136152479385	4791.828537967946	5431.284021448206	9465.664888905212	13680.864417034647	17715.044614285398	21696.27203068263	24056.18327532628	23302.03851064046	25982.065718303355
2314.021957823005	2656.1532701764786	3984.975263916329	3175.7794427189424	4783.952359071712	5439.904803187315	9438.269319590072	13641.569812224941	17797.52458844866	21540.008224807418	24110.877324664405	23214.115036858453	26032.835245132446
2313.368271189388	2656.09905088147	3984.4672089210676	3174.4416352290255	4783.820615005002	5432.800270496306	9467.451195967826	13647.157908518077	17735.638401725075	21652.34839165961	24098.850786685944	23065.626621246338	25873.76823721006
2311.7308791554524	2654.3988121880425	3985.466416349116	3176.856685329128	4780.35066185928	5432.314539735065	9471.259381263666	13661.898415664147	17727.04533168248	21582.93459150526	24432.6178483137	23274.508389559658	25940.614153248396
2315.157248204448	2655.0421946183405	3987.390869219177	3176.6550881522044	4791.184895440571	5438.572918927228	9479.49457309239	13669.77524339107	17751.243981448086	21597.788884089543	24234.321173720473	23296.662977525404	26128.558661994033
2310.7536279471815	2656.1148784497964	3980.020018040674	3175.640712671325	4785.975794638357	5439.847707748413	9463.147556080537	13694.936578924006	17817.126682826452	21496.375401814777	24124.87739740416	23446.536564326787	25945.506989955902
2312.7324077712587	2655.809369109962	3981.0300792703897	3175.6093302570966	4790.208027111534	5437.1159457596095	9437.000542356256	13661.310270235135	17818.63076346261	21495.170063442652	24219.021201133728	23180.20133705406	25914.50007881705
2312.9129067289286	2655.8785211472286	3985.6845987591028	3175.1302426726784	4790.410687846522	5430.964717158565	9441.078230521422	13678.817249281437	17788.752324163575	21538.900004492865	24017.35633611679	23293.468687269422	26056.31947517395
2311.5585982657276	2656.7571214307764	3981.5792387739243	3174.3390761043383	4791.143463879097	5436.781079772677	9457.783392298292	13672.988990257527	17719.501798803158	21557.70121754466	24104.583920456294	23152.96962343413	25910.78622000558
2312.884387742001	2655.990534032932	3982.4064787443695	3174.033134606234	4788.444155738467	5433.510818368751	9459.095616494456	13656.666185137487	17738.887241908484	21644.405551723667	24123.482406139374	23180.160257551404	25944.073994954426
2311.974027717256	2654.609649876359	3980.741745386368	3174.709952321911	4782.955312053823	5433.866208942294	9455.125472124884	13686.159292162765	17797.069988031497	21711.00936569534	24065.55085670291	23042.43874716592	26128.496442522322
2312.5068397278997	2656.2955517947153	3983.567580293044	3173.8728166478695	4789.74978129069	5440.485583568539	9453.002682126025	13666.677268552574	17753.639440426883	21777.05964842043	24189.708739753783	23225.161764356824	25981.91797733307
2311.304756492045	2654.438458140451	3985.05806616462	3175.0137741501267	4790.7731220470905	5434.0362548828125	9464.684654684628	13680.664491859865	17736.586657437412	21486.309212698063	24214.38694000244	23295.263449350994	26141.62117242813
2311.063155032801	2655.5466595105086	3979.536014894772	3173.880350022089	4780.842801878786	5441.794792811076	9450.769843943308	13660.128220267918	17770.445687430245	21589.23281563653	24257.294833660126	23154.39118279351	26071.14613056183
2310.9818111352965	2654.8388654880328	3981.306746199324	3174.3869660006967	4790.6027355047	5433.866056369117	9471.700902570758	13614.02701505851	17739.193005995316	21490.812301635742	24117.49935889429	23304.926024542914	26056.400565213935
2310.977619924363	2654.9323387236896	3976.0918961357825	3173.0588125442832	4785.3550751595385	5432.894392607827	9468.959573426904	13715.544990871264	17814.669115790006	21769.23685140543	24087.124922144132	23155.19924821525	26031.08864130936
2310.3724619385544	2656.754269542922	3980.255615390675	3174.953263433755	4779.945608889229	5437.7717151132465	9452.601040110869	13654.667217138032	17836.839303203014	21538.854478956102	24116.04303074634	23289.340359347683	26044.012054683655
2309.8455851918393	2654.325754253309	3986.5694806018037	3173.0330170576026	4786.468133693788	5435.118118804526	9442.441603716681	13620.184214841654	17757.90344585072	21651.32761001587	24091.54786838321	23203.3296064897	25925.59903860092
2310.7361508555623	2654.0027882432596	3987.307413684678	3174.846134488545	4789.315595590009	5440.27900129822	9443.01894385335	13718.427517713406	17889.337106184525	21666.063202752008	24127.194261926365	23142.926446322737	26050.89545249939
2309.7589196436907	2653.6877899533515	3986.761223241936	3174.7689322819783	4788.330097737839	5437.184086552373	9469.433834678248	13710.867369539352	17852.77778452093	21729.966284523547	24335.50827146515	23237.943649291992	25741.26926932748
2312.115260532924	2652.8638506692555	3978.5365493754775	3175.4454230047336	4786.780200053736	5442.136128743489	9497.231790098118	13651.56420345964	17769.60763064298	21525.255391295526	24191.02191925049	23325.913435929306	25936.20866537094
2310.6335643753114	2654.990665111587	3982.2803977829017	3173.7060728816045	4787.625493230046	5433.219020697219	9467.189642532034	13697.298058183678	17813.31533673166	21576.46417617798	24121.114449907644	23189.551346785538	26162.883428138073
2312.482258919894	2654.542976081988	3986.28509443033	3173.0526012911896	4788.3226451112805	5436.1225054922625	9452.117116827714	13665.348550547724	17729.67747279576	21660.191195828098	24172.700941562653	23210.2009985182	25982.2875030281
