16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2000.2905855473784	2345.303899234103	3487.409306448902	2794.6968196715366	4170.765952458457	4723.615701276372	8086.651393345424	11684.595027440031	15314.783368791852	18662.074743877358	20930.503805478413	20020.143701395857	22455.040697027875
2001.8027416815821	2345.2024513829692	3490.140438079834	2795.5230421572155	4172.240963188635	4727.257010105258	8086.301730229305	11698.368926223884	15282.620164684784	18662.080099416333	20942.434668540955	20052.865699485497	22618.194421132404
1999.347234509655	2345.1471156591974	3490.353985039911	2794.2971599144967	4177.052907036223	4726.142294726468	8084.081184841163	11713.071302934126	15314.156154416642	18661.00222565407	20927.270253499348	20085.866550146708	22522.379954655964
1999.3917578566598	2346.686884522868	3492.3521597980953	2795.6792726058843	4174.866668343344	4726.263547035718	8080.109782602595	11689.630421725187	15242.948067768682	18612.081759443907	20837.287108103435	20085.493723551434	22455.17592355995
2000.2336556233263	2346.1219819091543	3491.8765177204896	2795.428944470158	4170.483913437565	4720.27482151182	8091.3646207432375	11694.314139229911	15286.945671624459	18614.902674594774	20923.301577568054	20108.09551186276	22400.91562271118
2001.859532763571	2344.9950912050417	3488.288299866232	2795.69601262581	4172.901644754569	4727.772173116576	8091.218183228242	11678.576469421387	15258.215423813439	18662.52810456032	20991.454521814983	20041.29436158914	22477.298974990845
2001.196376322963	2345.6280652792534	3489.6923761948433	2795.823890564059	4172.76289949449	4725.075870580067	8094.702383411248	11696.434020996094	15231.968311781295	18630.12445687149	20855.201958374655	20107.810441837755	22461.026906967163
2001.6471216501284	2347.563416504663	3491.2677114225153	2796.7970683724766	4172.323538169701	4727.1562659222145	8084.939041283573	11682.402616166799	15247.900683180731	18661.880493164062	20890.685560789752	20033.924260996453	22480.340528238507
2001.3444491443092	2345.9127777682547	3488.504736992106	2796.6943069104977	4173.3598709106445	4728.938621903939	8087.926644545335	11694.213322230748	15231.72321604259	18633.0074538833	20855.34731547038	20038.91971133171	22539.799412091572
2001.9807248768573	2346.31887727764	3490.7270833401376	2796.2361485504907	4174.544783293502	4726.257837242398	8092.390671941161	11691.960911292814	15235.352872022942	18657.48028422511	20910.697897481175	20083.206671255608	22409.841418266296
2000.8348371323382	2346.2859760810247	3489.8564481775197	2796.286710332877	4172.45818658381	4725.496702276982	8092.512611214441	11709.852652116255	15216.402346721748	18669.900228810864	20836.311300801488	20053.417594344526	22552.134459500485
2000.499535987641	2346.4276618564254	3491.75900046004	2794.298717235018	4171.289397759943	4727.99049649133	8105.112638087631	11679.792539256152	15261.150031500541	18598.464227491808	20967.2749042511	20022.114117940266	22460.172573725384
2000.1621236511262	2345.545996458891	3488.5199692370597	2795.815283013869	4169.42261252942	4728.907323712087	8081.638176022595	11697.67487520552	15207.072768764996	18636.902173360188	20893.73270670573	20131.821985597962	22557.25860595703
2001.3770721640788	2345.922492670755	3489.169533145249	2795.6047294309633	4171.711659570884	4726.583558010917	8092.645948999445	11686.090031696784	15236.893551057155	18579.59341119837	21062.96519438426	20076.323438573767	22574.71779982249
2000.6560885420029	2346.4231422195985	3489.4368157314893	2795.964340974082	4171.302999200328	4727.500087360599	8081.967594059369	11733.291495559562	15238.42972316099	18629.52653751817	20886.744062105816	20058.565361555233	22564.902979666025
2001.1710330813073	2346.5813159204868	3488.9781146968176	2794.5770806661276	4175.319320780776	4726.577722109281	8093.800911536584	11706.466348762186	15239.29968812412	18667.47062897014	21018.37278036547	20066.66937539744	22387.09801121762
2001.0378933692164	2345.8710149837843	3489.570202340233	2795.2351764606087	4172.938947971417	4725.216671867481	8083.5542224702385	11684.68747820173	15264.805098225299	18595.05824779036	20890.310406684875	20117.184826146775	22455.976417027607
1999.950162508075	2346.9969146587014	3488.9238719255004	2795.6318609493296	4173.38503864742	4726.0339443500225	8085.8969506416615	11678.46952165876	15222.697546987823	18655.08379759612	20969.321330388386	20028.492272724205	22509.35633977254
2001.023489581652	2346.3857432267982	3491.0109529527135	2796.0158749760276	4175.29229838479	4725.577164795625	8094.725361712377	11681.659363484585	15253.674224967814	18638.619670161494	20938.403943446294	20060.892458315247	22512.050490305213
2001.939051168499	2346.7310569184183	3490.8267566591603	2796.2733789817576	4173.535198422533	4728.511119394174	8082.045195891342	11682.145656337143	15230.053349545127	18739.150291265443	20992.76337948145	20060.420036315918	22471.4328845342
2003.3521755614352	2346.973793179381	3492.4597170518255	2795.641087303477	4173.914325007449	4728.998193418346	8079.287649571211	11688.905443464007	15196.660407503745	18638.85480304097	20879.535774910015	20042.94284554415	22497.84767627716
2001.6026225676828	2347.2903930034836	3490.313239719557	2796.4026474755656	4173.837639453614	4725.290381390116	8084.067423074696	11700.287081364531	15273.011405512972	18670.376544723862	20861.986387578934	20052.764822261124	22644.807895024616
2001.658343972933	2346.603539289121	3490.8168795911492	2795.8451932277885	4172.1833180465	4727.585007919282	8086.820749136118	11693.499305031517	15226.609779126717	18713.3374037566	20943.952965612858	20052.477165504737	22479.817271232605
2002.9209862070636	2347.866571299628	3491.7014442565355	2796.89425045682	4172.7971951034115	4727.9319470308565	8086.474676095941	11701.269583268599	15233.122627690153	18641.397150980163	21027.345307834486	20082.164693761755	22490.819295247395
2001.7831007475197	2346.752965173056	3490.7536526604176	2797.6854138617537	4175.21805268865	4728.100014469338	8088.232688391277	11699.635989267495	15276.439207837098	18674.846048708314	20884.503920873005	20130.082063896712	22470.968374934222
2001.456662072514	2348.978124331985	3491.118039901593	2796.710889364026	4176.709962927777	4730.157475117432	8089.648046475155	11732.223706367688	15249.93506344882	18644.8272215117	20929.197470347088	20046.62266484013	22508.661160294298
2001.3199284688083	2347.306447378499	3488.3663132911133	2795.4729484074637	4174.8352242635265	4729.190084056818	8091.968675492592	11743.17873441256	15260.599244315668	18631.19778809724	20932.679375012714	20036.28236276132	22570.235566943105
2000.9267569940812	2347.7527748320495	3489.945180657923	2794.814638528337	4176.384629214488	4730.29515012655	8090.484210683557	11721.97719016526	15209.010861954599	18668.86472921767	20916.34582361409	20070.040830269387	22454.604506492615
2000.6097052708144	2346.680336391803	3493.8046438596075	2793.6211202268682	4175.523169954917	4728.739273145003	8094.596862792969	11701.09756945213	15259.746322058198	18681.967699969257	20958.075920740765	20137.125946754633	22511.607722232216
1999.973819545381	2347.7533664083653	3493.339245870175	2793.814963901166	4175.709602528049	4728.6056665982605	8082.162853394726	11715.709653675047	15231.068214673674	18620.127931647345	20908.72824192047	20013.976206977248	22506.921402530967
2002.099965255942	2345.2907324206158	3490.9244361781675	2794.132458911599	4171.708754472509	4730.997858820735	8078.604309782243	11679.754418841863	15202.493703320679	18643.048074510363	20990.92019036644	20052.49234388501	22624.308864275616
2002.2193078468483	2346.0290018455676	3491.041750089893	2794.648884745782	4172.376039328428	4731.4756165139925	8094.492195669141	11686.928251869658	15213.457265294584	18628.660984302995	20899.233393644165	20104.34616443723	22542.46175289154
2000.8766946713786	2344.890476502094	3491.761398635186	2795.1534470148044	4175.330484192507	4728.00274134372	8081.805615024712	11725.237710135323	15261.244953126836	18682.41393621067	20881.473081898315	20073.15335450349	22481.83886210124
2002.4215256187254	2345.6589192750216	3490.9526971425357	2793.5880715224785	4174.495262516603	4728.811996504019	8075.743286833024	11703.683571382002	15238.460741545025	18632.70068387373	20864.862234481257	20059.238381100142	22466.644644737244
2001.084221733941	2345.482262295466	3490.3677972925393	2795.464722151609	4174.717699633483	4725.145376645602	8098.496331108941	11684.512550180609	15227.714281403616	18678.616594385217	20998.613822027808	20135.681750038253	22617.73745218913
2002.0130194966434	2346.3845806308723	3489.4360658015166	2793.900155580056	4173.290779401069	4727.879358414385	8097.476225632888	11696.151711724022	15201.825774117802	18621.497684054906	20933.994493986433	20059.04061453683	22456.60622914632
2002.674150121742	2345.9374996852234	3492.326592680198	2796.0992437942655	4171.793017415229	4727.162377682725	8086.837871060948	11683.688922361895	15268.00791422526	18623.577223883734	20910.006113002953	20141.15121629503	22554.318110148113
2002.4035944187056	2345.645347780146	3492.722328198772	2794.5430008406493	4173.1577070932535	4724.655667863916	8072.5766875693525	11714.248333947133	15266.245716022995	18704.640588095022	20889.182885487873	19997.882403536325	22360.095088346017
2001.9947774765967	2345.930613950087	3493.251561120963	2795.2607998178023	4174.111192660439	4725.267528106808	8100.564452423447	11715.228740985576	15216.991696018405	18702.96847435736	21065.707008043926	20002.652097631384	22506.733735402424
2002.2178323321764	2345.5789321356983	3491.314829839899	2794.5588826518383	4174.348706992122	4724.2193120884685	8081.025876688912	11697.602476978029	15229.447443682448	18700.82484351264	20893.339048395505	20060.552430043022	22455.380225056753
2001.7530210508803	2344.9873690872937	3493.5995125870327	2793.6916715654443	4172.393766905972	4725.760972993206	8091.734743666375	11671.085195568397	15260.54941621938	18671.896722581652	20973.25523694356	20039.070586455033	22375.03230571747
2000.8264677724276	2344.5502998902625	3491.989039975729	2793.1659968013673	4173.1582015403355	4727.408432914748	8074.842180524553	11684.144085103815	15239.52984184808	18567.345760486744	20994.216203689575	20072.901690447772	22519.452948319285
2001.5608124646722	2343.867844438479	3491.7631907443124	2793.1446750938244	4172.421618050157	4729.5440703256845	8089.617582467886	11676.766717062455	15200.343998995695	18589.461615326207	20973.140656636024	20034.525129530164	22488.464911778767
2000.2451809969816	2344.8860522398013	3492.2741490333824	2793.459019468637	4170.999877827622	4727.537567551071	8089.356195359003	11674.696748906916	15292.117280780145	18642.32885123398	20830.899477005005	20037.4788708157	22643.773343550598
2001.4683446672009	2344.1689267022975	3491.1268038259714	2792.934740870452	4171.40176064992	4726.155660150141	8074.762260480775	11708.670229817248	15216.511891300517	18657.482164796045	20976.45604797683	20044.339966664116	22423.581138176003
2001.4410487133096	2345.5290789461774	3491.976752353074	2794.627621423724	4172.02751108464	4727.796908185301	8091.095306864187	11685.766492571149	15234.36281017791	18627.118626865773	20978.81277194198	20083.493351386987	22617.40465958913
2001.5695842123573	2344.422679237185	3488.743982984868	2792.2284190779073	4170.920139172405	4730.321998081685	8087.1728750375605	11684.00401800451	15242.367870402786	18623.39620236997	20930.90788688067	19978.170041684753	22417.488493449946
2000.7357355727281	2345.702920711372	3490.615965726977	2793.6561820433312	4172.117640283816	4728.838786986715	8099.721904922398	11711.426756598732	15262.665170611757	18594.843369943123	20904.358186870042	20156.177254610284	22509.61462656657
2000.855440451596	2345.780470053847	3489.967569646476	2792.8138406329576	4174.041748046875	4727.549714166761	8087.001684057804	11695.75344432484	15294.23695690227	18584.627623951765	20978.718996047974	20027.147399054633	22458.175818125408
2000.348627074691	2344.4097066662976	3490.3954583933837	2793.867849947067	4171.947158445029	4727.696455441988	8091.042591975285	11733.902825249566	15265.55835076098	18574.688291769424	20830.88340559555	20113.463755007142	22503.743569056194
2001.10442878664	2343.756495614539	3491.132953095197	2793.787680316549	4173.919633155275	4727.7135418425605	8093.160310770866	11730.18046787807	15320.355241948908	18669.471213345154	20930.7003515372	19987.53701486895	22470.533847808838
1999.8530700841306	2343.880994893203	3490.841577923487	2793.179700003074	4176.256640645482	4727.4407623820225	8077.956978267283	11695.90234081063	15272.118910303656	18609.6606431184	21044.821015203186	20154.286313939978	22495.017768187845
1999.3713008087695	2346.0103064468226	3491.653059316978	2793.23784346433	4173.827651363091	4729.374356553559	8096.933364868164	11704.518244816707	15303.897500484623	18591.085337274086	20869.433879852295	20076.588348106103	22572.97436396281
2000.0428268589924	2345.3105490436024	3492.0387842184723	2794.6421974583677	4169.7551574196705	4730.747799327215	8083.574144945493	11713.452109534071	15310.928056824881	18564.325791818123	20946.722380153795	20080.931832857223	22480.30058376452
1999.1242848682698	2346.0599892399146	3490.2986369939704	2795.4684199440467	4174.446361334254	4729.7298390932	8090.651987170086	11673.311505998883	15253.188458274813	18654.116877803095	20928.333202997845	20072.796377718172	22522.107468849703
1998.9535828267246	2344.823215939547	3491.7684701772837	2793.3710933407906	4172.333927586213	4729.780356854171	8084.379236283311	11688.66417127899	15262.54998113876	18685.309975235552	20972.957213719685	20040.110305503564	22470.993521325876
1998.8261934778607	2344.625512349237	3493.540069911514	2794.98775166086	4172.8178925426655	4726.8991406085515	8072.989587565415	11703.89175415039	15309.967184966465	18662.726437603986	20910.00841550178	20000.747821298064	22648.37423960368
1999.1644157851038	2344.538921911281	3491.6708417473924	2794.3885166785008	4172.485275077342	4730.262424314045	8090.350540951896	11689.104817130348	15259.607514338706	18653.55173746745	20932.493711772717	20140.03735836421	22530.18816312154
1999.2103872373123	2346.795163779559	3492.1807190247605	2796.3678636398436	4174.02578697045	4728.656344943576	8076.636786670575	11684.764515269886	15228.837283689585	18566.140381421912	20893.69609093791	20048.0438942133	22500.852743784588
2000.7510517918786	2345.9309388783354	3489.88265098138	2794.4203437328583	4172.375453776451	4725.0180631070525	8086.996812086839	11686.046015132557	15232.555901826317	18616.21273888482	20985.578497250874	20005.340400379373	22453.97717540801
2001.2236996830588	2346.3540866609824	3489.7257593386344	2794.647118378473	4169.123855667498	4728.053733346543	8082.192140897725	11704.59532401931	15267.9443359375	18641.66523454376	20956.645409266155	20062.850916989937	22453.347636010363
2001.6465093381896	2347.3665695781856	3491.30590590473	2794.7534102527475	4172.278009667069	4727.968131416335	8075.300425348263	11733.000774329204	15260.567342428336	18651.05296290198	20850.07781191811	20065.161916944715	22566.101313885592
2000.6440171534668	2344.534416829259	3492.6486015319824	2794.8502412776356	4172.790380255675	4727.082445442332	8095.836274011838	11719.158717564174	15237.290619917518	18683.350031277	20889.15805021922	20050.63773300241	22494.60269750091
2002.0444489314366	2345.4462726480992	3491.6540219111116	2794.94026117123	4170.5268452282935	4730.714704709222	8098.079608036922	11697.056618603792	15240.391688560372	18574.351564459845	21055.052677790325	20015.360572920417	22531.65344397227
2001.417213290036	2344.9174272085725	3488.6482965986065	2793.3774198348347	4171.412958759643	4730.158394764796	8101.5215575240045	11697.095343869636	15265.4754981566	18690.418314050745	20942.148737882446	20097.416117444016	22483.71144135793
2000.5211857218194	2345.380925567171	3489.567806173609	2794.267713409109	4170.582569103209	4726.808270774746	8086.837885033993	11712.345981869603	15269.763487622255	18646.5581258138	20969.122648239136	20150.925392328307	22573.18941422695
2001.359026335881	2345.9778304195943	3491.052124789569	2793.7822769377294	4174.290838505376	4725.693506812865	8084.6728148013635	11701.477898491754	15258.55874115566	18679.32301980478	20887.474219004314	20105.50257247714	22471.814406545538
2001.6555510419018	2345.220821419942	3491.9935255194428	2794.6783993402787	4173.3226648541195	4729.10296354762	8074.310899690818	11674.875562841242	15228.253625305404	18697.840196114998	20985.653003056843	20131.610057972095	22591.93540243578
2000.6410854378926	2344.1349108194568	3493.2397063214676	2793.9832862562685	4174.1223514828225	4725.613658121589	8084.549196772702	11700.417654854911	15224.926453783995	18649.354987188217	20893.96571613731	20036.3765663815	22463.76872062683
2001.0761978212468	2343.09163484982	3490.638255276943	2793.6488082728433	4167.472896863468	4727.310553721705	8095.333859381548	11710.452218341012	15248.035934736145	18648.178632869276	21028.588579587285	20131.610057972095	22562.230626742046
2000.8913446419506	2343.8725380600267	3490.4056657698484	2793.141544943324	4171.3053321679035	4731.364231772404	8089.640696384085	11682.483436024122	15253.538455603257	18686.36519820602	20850.74579528489	20092.00166772913	22413.6046177365
2001.1164321072272	2344.4309992050007	3486.8140053470465	2794.0251140771634	4170.709516441238	4725.799597368277	8082.238772443233	11698.817396299022	15244.361126061642	18567.96457133162	20943.40942066568	20084.583264891455	22455.185806195354
2002.1806078508866	2344.761514491553	3491.3052691951234	2794.6057826495885	4169.372869609001	4728.87624790166	8079.37871014088	11696.544560519133	15275.47836303711	18725.57706611101	20839.439154906595	20084.460210140947	22517.184416453045
2002.5232585287636	2345.296251515486	3487.8636682312626	2793.9049239011156	4173.483565736036	4729.224863835579	8086.231880844437	11733.881451866844	15232.222934938827	18645.46398783839	20933.427958908476	20048.24695499262	22459.756525069322
2003.1388781567775	2345.452926549089	3494.385698532539	2794.7157790453057	4171.914026551975	4729.124215932993	8089.696472051267	11701.70375279018	15251.206276112032	18640.29743053295	20940.855145454407	20029.854664604783	22588.014602661133
2002.0853691514644	2345.502499452571	3490.383355687353	2794.4424081020925	4169.821340503501	4729.108157475176	8086.809253327235	11716.668265206474	15253.179001085686	18569.32071370816	20915.746688842773	20084.971050883447	22386.348309294546
2002.3830666029748	2345.9995320847547	3492.3633205452093	2794.4319883900366	4171.967506408691	4725.6741942182225	8081.788760948912	11688.180798478956	15207.83766260687	18669.799522117333	20886.87817255656	19996.293094180044	22466.326753298443
2000.5049601952317	2344.2941004317304	3489.251918218606	2794.3030498227813	4173.884024986854	4725.951008074769	8083.038330078125	11692.093308494981	15232.620382667485	18566.122802171838	20928.189158439636	20086.565325337073	22472.05376625061
1999.5302607769568	2345.1703199111867	3492.002901823624	2793.4395245846335	4170.712267504577	4728.469149026171	8073.338131147862	11688.985607840797	15256.111576872052	18720.256948025428	20838.578542073566	20073.37649297055	22656.366229057312
2000.4349386063332	2347.058959393755	3489.499891470431	2794.4355727591837	4172.922578488961	4726.8601051874475	8088.82622664419	11696.715530525185	15263.639894643224	18551.994253087927	20920.593701107962	19986.563258700902	22463.1130695343
1999.7723700461372	2346.0614662780918	3490.9662300835867	2794.762995514813	4170.8140867609645	4729.7071903309925	8082.821168972336	11705.787093551071	15204.400944530516	18724.055622899254	21027.960307857535	20075.56403124774	22613.861686304997
2000.543478226637	2346.17815229409	3491.143102925193	2792.3623331432923	4172.959327697754	4726.839065551758	8094.272394289916	11699.61993977175	15209.219590672907	18651.760118897608	20914.896620505766	20066.895595816677	22565.50391515096
2000.1831133503558	2345.5075769616456	3490.5454421562567	2793.520996251057	4172.443147487066	4729.4087492661665	8081.160285920476	11704.80624902622	15270.601051130545	18718.936831452127	20874.82732003896	20118.642736364294	22512.421011924744
2001.754015930428	2344.3324506775407	3492.6011472566356	2794.192917452754	4168.835516950393	4729.149891779973	8088.3708100473905	11685.617945410988	15208.287508982532	18605.087209956437	20907.726587425354	20068.455625463415	22458.2701921463
2000.3355827311789	2346.0368510064786	3489.5389400727568	2794.679745223171	4173.266817718019	4725.999225770807	8091.025983989811	11694.6588863026	15255.949551001528	18707.132785119742	21105.527877807617	20196.422310762628	22444.290200663356
