16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.442	0.442	0.348	0.442	0.273	0.236	0.118	0.101	0.075	0.075	0.066	0.075	0.066
0.442	0.442	0.348	0.442	0.273	0.236	0.118	0.1	0.075	0.075	0.066	0.075	0.066
0.442	0.442	0.347	0.443	0.272	0.236	0.118	0.1	0.076	0.074	0.066	0.075	0.066
0.441	0.443	0.348	0.443	0.273	0.236	0.118	0.101	0.075	0.074	0.066	0.075	0.066
0.442	0.442	0.347	0.443	0.272	0.236	0.118	0.1	0.075	0.075	0.066	0.075	0.066
0.442	0.443	0.347	0.442	0.272	0.235	0.118	0.1	0.075	0.075	0.066	0.075	0.066
0.442	0.442	0.347	0.442	0.273	0.236	0.118	0.1	0.075	0.075	0.066	0.075	0.066
0.442	0.442	0.347	0.442	0.272	0.236	0.118	0.1	0.076	0.075	0.066	0.075	0.066
0.442	0.442	0.347	0.443	0.273	0.236	0.118	0.1	0.075	0.075	0.066	0.075	0.066
0.442	0.442	0.347	0.442	0.272	0.236	0.118	0.101	0.075	0.075	0.066	0.074	0.066
