16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.442	0.443	0.272	0.442	0.273	0.236	0.118	0.078	0.059	0.047	0.042	0.047	0.042
0.442	0.442	0.272	0.443	0.272	0.236	0.118	0.079	0.059	0.048	0.042	0.047	0.042
0.442	0.443	0.272	0.442	0.273	0.235	0.118	0.079	0.059	0.047	0.042	0.047	0.042
0.442	0.442	0.272	0.442	0.272	0.236	0.118	0.079	0.059	0.047	0.042	0.047	0.042
0.442	0.443	0.272	0.443	0.272	0.236	0.118	0.078	0.059	0.047	0.042	0.048	0.042
0.441	0.442	0.272	0.442	0.272	0.236	0.117	0.078	0.059	0.047	0.042	0.047	0.042
0.442	0.442	0.272	0.442	0.272	0.236	0.118	0.078	0.059	0.048	0.042	0.048	0.042
0.441	0.442	0.272	0.442	0.273	0.236	0.118	0.078	0.059	0.047	0.042	0.047	0.042
0.442	0.442	0.272	0.442	0.272	0.236	0.118	0.078	0.059	0.048	0.042	0.048	0.042
0.442	0.442	0.273	0.442	0.272	0.236	0.118	0.078	0.059	0.047	0.042	0.047	0.042
