16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2368.046687199519	2715.257497934195	4086.606642779182	3241.1765189192415	4913.274185124771	5594.32658743351	9866.358870166843	14437.904840783227	18989.9509235964	23568.335999833776	26652.381533668155	25387.76397705078	28669.44812593006
2370.3769321355344	2714.690040139591	4090.701832490809	3242.1546918813046	4909.178789924173	5592.02291197696	9816.444526284427	14418.577536558494	18970.554157838982	23132.76131947835	26644.025530133928	25377.638796542553	28052.420843215215
2367.282884692714	2717.0742259306066	4089.0188778147976	3241.7828141294453	4908.802745106456	5592.34619140625	9858.341540320445	14403.717427314083	18991.761288400423	23570.37862141927	26090.054284958613	25361.406042220744	28639.657156808036
2369.4297307217284	2715.140985687394	4085.3311727335163	3240.3743563064336	4910.637350643382	5588.660805912341	9867.393364340573	14398.502398140823	19045.554985434323	23576.127721908244	26173.909505208332	24886.88627878825	28646.55994233631
2369.365001695728	2716.209014616401	4087.566892742674	3242.7364884458516	4910.020267262178	5585.6866351628705	9773.117000773802	14433.655557753165	18969.778287208686	23572.881171043882	26644.025530133928	25369.644165039062	28650.919596354168
2371.7686061945437	2717.6093192122103	4089.187789749313	3241.290873531842	4912.5446992761945	5571.7128818318	9824.461856130827	14433.269259295887	19014.002913135595	23130.913575490315	26673.089890252977	25359.13345661569	28662.545340401786
2369.4513070637286	2716.1550737614007	4087.1756417410716	3243.6577982492577	4908.112918629366	5588.078902939618	9856.789799059852	14433.076110067246	18977.019746424787	23585.001627604168	26612.781343005954	25380.23603723404	28025.377364385695
2370.7590038566505	2716.1421279562005	4090.5851147550366	3241.9921046468467	4908.337312586167	5590.794450145657	9856.660487288136	14432.882960838608	18985.037076271186	23547.17254638672	26091.144198463076	24931.907653808594	28657.12235613567
2369.0348836631256	2714.9338528041926	4078.8266248318737	3243.7807833986585	4909.739774816177	5584.846108646716	9769.754894709184	14408.79626151843	18522.77119954427	23555.025141289894	26671.61895007622	25357.882181803387	28641.110374813987
2366.7262150691104	2715.41647125313	4087.1676276711855	3241.0211692568405	4909.515380859375	5585.428011619439	9833.513680150952	14350.021941752373	18972.36452264301	23591.06185588431	26625.860305059523	25389.00172456782	28642.926897321428
