16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1633.8167190551758	1904.0441513061523	1750.4806518554688	2725.5306243896484	2515.6494140624995	2472.8759765624995	2134.6435546875	2076.45263671875	2056.34765625	2030.8593749999998	2041.717529296875	2333.9843750000005	2348.011474609375
1634.7799301147463	1904.7670364379885	1751.8577575683594	2719.9745178222656	2514.0747070312495	2474.7436523437495	2146.435546875	2077.166748046875	2082.12890625	2030.5297851562502	2045.8557128906248	2332.8515625	2344.1796875
1636.614799499512	1904.2091369628906	1752.702713012695	2721.2779998779297	2518.8537597656245	2474.8718261718745	2147.9003906249995	2077.716064453125	2057.0617675781245	2032.2509765624998	2043.71337890625	2334.2578125000005	2342.98828125
1635.1709365844729	1904.1624069213867	1752.0790100097656	2721.049118041992	2513.394927978515	2481.829833984375	2151.416015625	2092.3095703125	2057.0068359375	2030.4931640625002	2041.571044921875	2337.98828125	2314.014892578125
1633.2378387451172	1901.409149169922	1752.211570739746	2725.9380340576176	2519.64111328125	2481.427001953125	2150.5554199218745	2092.730712890625	2080.18798828125	2034.7412109375002	2047.66845703125	2362.265625	2344.19921875
1632.554054260254	1901.5226364135742	1752.6845932006834	2721.8856811523438	2511.43798828125	2481.0424804687495	2137.6464843749995	2097.8759765625	2081.524658203125	2054.425048828125	2042.340087890625	2360.68359375	2346.328125
1636.826515197754	1902.170181274414	1747.9190826416016	2726.4816284179688	2514.9902343749995	2474.0844726562495	2135.7421874999995	2081.7626953125	2056.34765625	2053.41796875	2040.6005859375	2360.87890625	2343.92578125
1634.1638565063479	1902.3265838623047	1752.1123886108398	2725.349807739258	2516.802978515625	2480.6030273437495	2147.845458984375	2080.953598022461	2057.830810546875	2055.3955078125	2052.593994140625	2336.71630859375	2342.98828125
1633.1729888916018	1905.4012298583984	1752.3269653320312	2726.507949829102	2514.0563964843745	2473.883056640625	2140.924072265625	2078.2836914062505	2082.147216796875	2053.4912109375	2043.49365234375	2360.234375	2318.447265625
1632.5397491455078	1902.449607849121	1748.7249374389648	2724.8497009277344	2522.882080078125	2474.2675781249995	2138.48876953125	2091.2841796875	2056.2561035156245	2054.5898437500005	2042.9626464843748	2361.15234375	2345.234375
