16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2485.770122230203	2828.22087669853	4266.493661063058	3384.6790304111896	5145.338715099898	5861.11059686019	10276.43455649322	15228.056571852992	20070.777749115565	24877.50386082849	27993.051629317433	26825.677780877977	29718.49943462171
2484.487346197556	2824.545507166788	4269.533741230867	3384.9610222710503	5149.153412365523	5854.746741706161	10344.877697172618	15224.403058978873	20074.80837264151	24897.73062772529	28130.782277960527	26259.44448071857	30303.955078125
2483.4135617657334	2825.6647514574456	4266.980229591837	3385.772032461479	5137.089320591518	5852.4326125592415	10347.474296137972	15093.521333076584	20083.73332473467	24919.782366071428	28162.906044407893	26767.819426780523	29938.547234786183
2484.4275580512153	2824.6800304960543	4269.097775829082	3386.1371672123446	5150.495256696428	5852.071029880036	10346.898492777123	15216.93638392857	20056.094763413916	24943.033854166668	28206.077781883447	26834.39708891369	30258.981805098683
2485.622059215199	2826.486486631917	4266.855668048469	3388.938135103855	5150.9044209464655	5850.80992500737	10379.575333505307	15207.56312779018	20080.278504569575	24925.23193359375	28180.096600506757	26818.411690848214	29675.935444078947
2487.447526719835	2827.7692626645644	4268.163564253827	3387.3959212219083	5151.342173091701	5858.007467017984	10379.71928434552	15205.38330078125	19782.737449363427	24416.369061137353	28178.85940139358	26708.55854832849	30323.33786423142
2485.715981685754	2828.571598235546	4264.9872448979595	3387.862985784357	5147.13209502551	5849.730293705778	10359.278265035377	15220.860072544643	20069.05033903302	24869.342182957847	27881.42154091283	26779.52966024709	29572.13552374589
2486.8261934530856	2826.849219180475	4268.8486527423465	3389.269639022404	5137.556426379146	5857.071786556604	10340.564655807782	15205.165318080357	20105.613852446935	24795.5322265625	28126.365260074013	26860.918317522322	30213.606984991777
2488.285604149404	2827.3553559274383	4269.284618144133	3386.185211258511	5152.3427494236685	5836.630767246463	10336.677983122052	15223.475864955357	19744.996671323424	24937.22098214286	28196.18018897804	26825.314476376487	30240.510639391447
2486.067588883217	2829.9346114649916	4270.59251434949	3383.8550750194327	5138.693050462372	5831.632974012843	10373.961250737028	15213.0126953125	20063.29230542453	24925.595238095237	28190.406593116553	26290.53869912791	30324.987463048987
