16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.397	0.397	0.245	0.397	0.244	0.211	0.106	0.071	0.053	0.043	0.038	0.042	0.038
0.397	0.397	0.245	0.396	0.244	0.211	0.105	0.071	0.053	0.043	0.038	0.043	0.037
0.397	0.396	0.245	0.397	0.245	0.211	0.106	0.071	0.053	0.042	0.038	0.043	0.038
0.396	0.397	0.245	0.397	0.245	0.211	0.106	0.07	0.053	0.042	0.037	0.042	0.038
0.396	0.397	0.245	0.397	0.244	0.212	0.106	0.07	0.053	0.042	0.037	0.042	0.038
0.396	0.397	0.245	0.397	0.244	0.212	0.106	0.07	0.054	0.043	0.037	0.043	0.037
0.396	0.397	0.245	0.396	0.245	0.212	0.106	0.07	0.053	0.043	0.038	0.043	0.038
0.396	0.397	0.245	0.397	0.245	0.212	0.106	0.07	0.053	0.043	0.038	0.042	0.038
0.396	0.396	0.245	0.397	0.244	0.212	0.106	0.07	0.054	0.042	0.037	0.042	0.038
0.396	0.396	0.245	0.397	0.245	0.212	0.106	0.07	0.053	0.042	0.037	0.043	0.037
