16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.579	0.579	0.357	0.579	0.356	0.308	0.155	0.102	0.077	0.062	0.055	0.062	0.054
0.579	0.579	0.357	0.579	0.356	0.309	0.154	0.103	0.077	0.062	0.055	0.062	0.055
0.579	0.578	0.357	0.579	0.356	0.309	0.154	0.103	0.077	0.062	0.055	0.062	0.054
0.579	0.579	0.358	0.579	0.356	0.309	0.155	0.103	0.077	0.062	0.055	0.062	0.055
0.579	0.579	0.357	0.579	0.356	0.309	0.154	0.103	0.078	0.062	0.055	0.062	0.054
0.579	0.58	0.357	0.58	0.357	0.309	0.154	0.103	0.077	0.062	0.055	0.062	0.055
0.579	0.579	0.357	0.579	0.356	0.309	0.155	0.103	0.078	0.062	0.055	0.062	0.055
0.579	0.579	0.357	0.58	0.356	0.309	0.155	0.103	0.077	0.062	0.054	0.062	0.055
0.578	0.579	0.357	0.579	0.356	0.309	0.154	0.103	0.077	0.062	0.054	0.062	0.055
0.579	0.579	0.357	0.579	0.356	0.309	0.154	0.103	0.078	0.062	0.054	0.061	0.055
