16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2213.659933057882	2560.7941428679883	3824.6562879200114	3065.7846320239105	4594.551169591872	5210.63283924075	9036.898455915087	13120.9322886289	17144.056657950085	21078.618776376607	23726.407831365414	22713.291339385203	25495.971206330905
2215.762659196257	2559.707037506697	3825.593432155224	3065.935882999703	4590.421863759446	5213.870851219801	9027.119383724343	13097.742612366555	17145.54032208714	21088.883184617567	23742.940304053092	22678.375244140625	25502.820954705676
2215.1017576014397	2559.992449864903	3825.4688177780213	3065.0526390480068	4593.848635297303	5214.777345078602	9020.980344999822	13109.063167198032	17215.296394466735	21068.679638944875	23732.658720364536	22674.520554081086	25480.936223810368
2214.0974537998195	2562.052121088225	3825.7165289089407	3065.092072643521	4593.818541990227	5210.652367116594	9024.308036059378	13094.896417703985	17167.553382834005	21090.83456870837	23673.59854958274	22669.67871564761	25533.613725142044
2213.937039925372	2560.4074284181756	3825.2172459143585	3066.2973048323292	4594.5495281558715	5212.56227827798	9026.248464471266	13094.67720376485	17219.426731268566	21119.077744022492	23777.011537203824	22691.662494952863	25617.37673125998
2215.3537377946955	2560.756824634693	3824.0161976544055	3064.8566908755547	4592.762386226	5209.540186224595	9021.599459239775	13106.25654843922	17175.359875743925	21106.606145058908	23754.99031760476	22744.003982789265	25559.07762437951
2214.8595161559433	2560.70713538908	3822.716081707495	3065.7305402273673	4593.320336325434	5211.062286457581	9028.638487249651	13094.395164429672	17178.532971414512	21142.885522934997	23750.28451857584	22732.053047571426	25487.453817463607
2214.713008939967	2560.4165909023536	3823.7768350188267	3065.607833457777	4594.995881435597	5209.64823835816	9028.2352347123	13085.47063221828	17169.77156601943	21072.359918390663	23720.22614861927	22722.08377381359	25546.453294962863
2216.110458481783	2558.948460311728	3826.2676755222706	3065.5070386113275	4592.746564398096	5210.15018579037	9022.250968107763	13109.160312735028	17170.629675643562	21110.926631199116	23678.99887753229	22762.596991754348	25500.178773761232
2215.4313321663653	2559.6046985793014	3825.385955600804	3064.9873926746436	4593.902771626043	5214.074338959731	9024.28133303341	13088.106170414001	17192.89799635323	21062.497513743634	23745.373217728888	22736.659770609866	25519.49981355319
2214.685424567532	2559.1296523525402	3827.4899767021693	3066.626110137498	4591.973020780107	5211.540439285086	9026.114937518558	13100.473899540939	17160.739305723517	21064.044583228326	23740.705782479614	22728.82709255466	25502.105051860053
2215.096536732765	2559.4607548257227	3826.262823685927	3066.1706490185084	4593.269658389097	5212.044936347669	9030.652454562181	13127.01095490766	17153.15477655077	21128.771381993447	23694.371310147373	22694.52925651304	25498.418042259495
2215.492375376876	2560.1358410329985	3824.8812619763144	3066.4259756287934	4595.4519455586005	5211.118977797393	9023.151422703095	13114.85081502836	17171.889621346178	21078.048213835686	23682.852514384027	22697.825262075876	25574.35348956254
2215.5207602250516	2560.5838962801345	3826.721973572127	3067.1908240436246	4592.73319189733	5211.133805532304	9041.360244449419	13092.376394215642	17177.15325293603	21145.07749483183	23707.971085597128	22676.21255690052	25515.218720818957
2216.407808206849	2559.7533964319978	3824.2083518383633	3065.8404369495834	4592.320578438895	5211.382946640096	9023.054022538034	13098.416263110017	17170.463999112446	21126.013535719652	23790.967333447803	22708.99401600338	25523.175326260654
2217.618537344978	2560.1184974282473	3823.735869627228	3066.0338950368155	4595.036498464444	5212.834936983928	9018.961838849886	13096.92742548195	17194.742957750957	21098.899841308594	23774.340532828068	22665.285835631737	25659.12608682674
2216.555012128443	2559.524422945045	3825.293707642651	3065.2388099557343	4592.432045022214	5210.85002634785	9032.51331314268	13096.191091481267	17174.439109051167	21138.90416413835	23709.95715044547	22742.108375795426	25570.18528813901
2217.8451613624497	2559.9071053976895	3825.3746995138467	3065.87381049406	4591.853844060597	5213.103804594617	9024.532217728463	13108.201120413985	17170.722763259688	21130.318008966045	23684.51886228706	22684.828748980774	25549.525799958603
2217.821181873551	2559.798152614576	3824.437976977147	3065.307331523134	4594.494990252573	5213.86308752094	9020.383178952183	13113.016218650999	17142.993708451588	21079.121678588475	23705.55877685547	22659.393457266	25458.457253196022
2218.070241202295	2560.3866442305834	3825.710454118361	3063.5872816963692	4592.876936834976	5209.26954571101	9032.057706641142	13099.36313591678	17176.396470969346	21094.741944742047	23728.516850158245	22729.858373984312	25449.194474653763
2216.203883817206	2559.7255783647392	3824.299081749872	3064.597574510719	4594.51215549123	5213.967099353317	9036.938767684134	13096.79439821974	17115.436494350433	21054.473337253192	23695.130781693893	22689.803904314256	25533.524112424988
2217.5077076557877	2560.10704794846	3825.4341628285056	3065.9902407068053	4594.104806172479	5208.337330644609	9026.907619677091	13120.008592287075	17164.324475573256	21068.11313567424	23758.90920450399	22786.738404890348	25547.78359153054
