16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
113.64509582519531	129.59856033325195	119.97974395751955	186.18038177490237	172.7551116943359	169.97994232177734	149.88876342773438	146.84680938720703	144.91930389404297	142.91649627685547	142.94011688232422	164.86271972656252	163.9801513671875
113.61686706542969	129.55514907836914	120.02401351928711	186.15296173095703	172.4403305053711	169.6133880615234	149.94440460205078	146.08717346191406	144.26346588134766	142.84103393554688	143.12338256835938	166.04677734375002	164.68208007812498
113.84170532226561	129.63228225708008	120.12598037719727	186.10160064697268	172.78438568115234	170.0730285644531	150.1600799560547	145.5996322631836	143.94426727294922	142.31151580810547	142.98722076416013	165.62707519531247	164.4035888671875
113.90962600708008	129.84743118286133	119.5892333984375	186.1255645751953	172.87795257568357	170.2012939453125	150.65711975097656	146.04936218261722	144.17255401611325	144.14721679687497	142.1924285888672	164.34282226562502	163.73134765625
113.85498046874999	129.55949783325195	119.93118286132814	186.00611114501953	172.74073791503906	169.94771575927734	149.1008148193359	146.76995086669922	144.8141326904297	144.0182418823242	142.57669830322263	165.37019042968748	164.83715820312497
113.74433517456055	129.68572616577148	119.81082916259766	186.2750015258789	172.35980987548825	170.23338317871094	149.04553985595703	145.9841537475586	144.0640411376953	143.8885345458984	142.58608245849607	165.01723632812502	164.1993896484375
113.86295318603517	129.85389709472656	120.084285736084	185.81840515136716	173.09809112548828	170.3122329711914	149.42953491210938	146.09145355224612	143.06517791748044	144.26474761962888	143.60279846191403	163.36960449218753	164.44384765624997
113.89324188232423	129.62467193603516	119.8816680908203	186.14634704589844	172.60892486572266	170.01805114746094	149.99244689941403	145.56907653808594	144.53766632080078	143.28968811035156	142.45916748046872	164.5259521484375	164.27773437500002
113.89545440673827	129.78200912475586	120.04060745239258	186.0187225341797	172.6834716796875	170.09337615966797	149.10777282714844	145.96607208251956	143.73831939697266	141.5371856689453	141.89685058593747	165.10280761718747	163.60546875
113.93898010253908	129.8939323425293	119.93625640869142	186.07775115966797	172.7018280029297	170.37059783935547	149.66365814208984	147.06763458251953	144.18186950683594	143.5202178955078	143.82538604736328	165.36657714843747	164.886962890625
