16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
152.08013534545898	177.3531341552734	161.89781188964847	254.14423370361328	232.71265411376953	228.10574340820315	195.18820953369135	190.71789550781247	187.2904357910156	186.11725616455075	184.61602020263672	212.8305419921875	211.71787109375
151.92584991455078	177.43215560913083	162.03086853027344	254.44477844238278	232.50780487060547	227.9523010253906	195.95185089111328	190.18698120117188	188.12136840820312	185.44308471679688	184.25749969482422	212.80109863281248	213.7642333984375
152.11387634277347	177.34983444213867	161.97011947631836	254.32218933105472	233.0554275512695	229.10293579101557	196.1395568847656	190.45355987548828	188.003173828125	184.8907012939453	184.6717758178711	212.96669921875002	212.6770263671875
151.88982009887695	177.4321365356445	162.36055374145508	253.9193572998047	232.6819152832031	228.68845367431643	196.05631256103516	190.02458953857422	187.50494384765622	184.5145568847656	185.1667327880859	213.5487548828125	213.7768310546875
151.98766708374026	177.50280380249023	161.9309234619141	254.00765991210938	232.77742767333984	228.41709136962888	196.38734436035156	189.70870971679685	187.3084487915039	185.8480682373047	186.1013488769531	213.56135253906248	212.56474609374996
151.87026977539062	177.49713897705078	161.94690704345703	254.03485107421875	232.34859466552734	227.95738220214844	196.38361358642578	191.27114868164065	187.51011657714844	186.8641891479492	185.72115325927732	213.76115722656252	212.92395019531247
152.07965850830078	177.54405975341794	161.9045066833496	254.35633850097656	232.48512268066403	228.35135650634763	195.8841705322266	190.42284393310547	187.1846466064453	185.52447509765625	186.0320892333984	214.0187744140625	212.8896728515625
152.32070922851562	177.45052337646482	162.24414825439453	253.9287872314453	232.53341674804688	228.43377685546875	195.57270812988284	191.07778930664065	187.44039916992188	185.3478240966797	185.77459716796872	213.6792724609375	212.27026367187497
152.29415893554688	177.69220352172852	161.9997215270996	254.16119384765628	232.907844543457	228.71310424804688	196.25745391845703	191.52252960205078	187.24429321289062	186.64173889160153	185.19992065429685	212.1948974609375	211.99643554687498
152.2178077697754	177.33293533325195	162.00504302978516	253.95822143554685	232.13527679443357	228.73299407958982	196.57960510253906	190.11637115478513	186.8353271484375	185.43457031249997	186.27335357666013	213.24389648437497	212.83251953124997
151.90834045410156	177.41218566894534	162.06060409545898	254.02603912353513	232.7577209472656	229.05484771728513	196.36113739013675	189.7353973388672	188.5931625366211	185.97608184814453	185.43573760986328	213.5893310546875	211.39970703125002
151.95339202880857	177.44329452514648	161.99268341064453	254.38455963134766	232.76179504394534	228.70298767089844	195.73436737060547	190.50398254394528	187.29537963867185	185.70137786865232	185.49936676025388	212.99904785156252	211.35654296875
151.95499420166016	177.44239807128906	162.11566925048828	254.36194610595703	232.8733978271484	228.92623901367185	195.71060943603516	190.7470779418945	188.46109771728513	185.6559906005859	185.39641571044922	213.8021728515625	212.25063476562497
152.09930419921875	177.40411758422852	161.97008132934573	254.1844711303711	232.6292724609375	228.28699493408203	196.71233367919922	190.38761901855466	187.34520721435547	186.40827941894528	185.5776443481445	214.10263671875	212.66513671874998
152.1321105957031	177.52201080322266	162.1489143371582	253.90260314941406	232.51812744140625	228.77474212646484	196.27308654785156	190.58388519287107	187.8225860595703	187.19698333740237	184.99191284179685	213.15935058593752	211.93825683593747
152.07067489624023	177.82451629638672	162.2399139404297	254.19504547119138	232.66264343261716	229.274917602539	195.76148986816406	190.42607116699216	187.3055419921875	185.10344696044922	184.52918243408203	212.8008544921875	213.7881103515625
152.0054054260254	177.6039123535156	162.3195457458496	254.16833496093747	232.2011489868164	228.66446685791018	195.66790008544922	189.53512573242188	186.9802780151367	185.54754638671875	184.3827667236328	212.9298583984375	212.541650390625
152.09976196289065	177.72937774658203	161.96578979492188	254.2204284667969	232.56310272216797	228.3303451538086	196.27562713623044	191.1899871826172	188.50282287597656	185.27041625976562	186.21865081787107	214.587548828125	211.3883056640625
152.01166152954104	177.40875244140625	162.0772933959961	254.01171112060544	232.9679946899414	228.36284637451172	196.72155761718753	191.01535034179685	186.42821502685547	185.27856445312503	185.1689987182617	214.0645263671875	212.8848876953125
151.7971420288086	177.50450134277344	161.912841796875	254.3061676025391	232.32591247558597	228.21180725097656	195.7928237915039	190.4337387084961	187.47573852539062	185.07014465332028	185.27492523193357	213.8058837890625	212.93513183593748
151.92716598510742	177.3422622680664	161.9780158996582	254.18172454833982	232.71011352539062	228.35662078857422	195.8320770263672	191.08222961425784	187.65637207031247	185.47425842285156	184.15173339843747	212.37160644531252	212.93093261718747
152.10031509399414	177.46948242187497	161.9249725341797	254.12617492675778	232.80642700195312	228.3548583984375	197.20431518554685	189.77146911621094	187.63959503173825	186.45483398437497	185.2551040649414	214.0328857421875	213.2506591796875
152.34266281127927	177.54888534545898	162.0538330078125	254.4681701660156	232.3843688964844	228.6368637084961	195.68463134765625	189.98794555664062	187.31968688964844	186.37012481689453	184.0648956298828	213.54169921875	213.942138671875
152.29726791381836	177.53948211669922	162.30396270751953	254.3496551513672	232.76909637451172	228.10276794433597	195.31311035156247	189.86762237548825	187.09323120117185	185.4727249145508	184.8053741455078	214.76298828125002	212.8847412109375
151.85024261474607	177.40070343017575	162.42738723754883	254.1247100830078	232.22529602050778	228.78643798828125	196.2253189086914	190.2682113647461	186.87904357910156	185.17288970947268	184.37823486328125	213.48103027343748	212.72019042968748
151.95049285888672	177.06806182861328	161.97345733642578	254.52404022216797	232.51146697998047	228.09123229980466	195.87146759033203	189.9696807861328	186.81571197509763	185.03096008300778	184.3861541748047	213.2686767578125	212.1967041015625
151.88549041748047	177.33354568481445	161.80549621582034	254.36045837402347	232.80928802490234	228.98883819580075	196.93244934082028	189.8473892211914	188.53864288330078	185.2697982788086	185.25258636474607	213.27727050781246	211.8658935546875
152.0220947265625	177.53850936889648	161.9461441040039	254.11031341552732	232.9164276123047	228.69751739501953	195.83660888671872	190.00838470458984	186.2342834472656	186.31981658935547	185.5131683349609	212.633642578125	212.29599609375
151.964111328125	177.58001327514648	161.97891235351562	254.0152816772461	233.22866821289062	228.79932403564453	196.68299102783203	190.34738159179685	187.0876922607422	185.71675872802734	185.48336791992185	212.5192626953125	211.435986328125
151.97198867797852	177.5333786010742	162.1885871887207	254.11523437499997	232.77472686767575	228.10045623779297	196.64474487304685	190.409912109375	186.79373931884766	185.49066925048828	186.2892379760742	213.400830078125	212.048486328125
152.07305908203122	177.4348068237305	162.02150344848633	254.08016967773435	232.78619384765628	228.54691314697266	195.88689422607422	191.1550827026367	187.7101821899414	186.22968292236328	184.98557281494138	213.48481445312495	212.631640625
152.1986961364746	177.3378562927246	161.8962097167969	254.43235015869143	232.86600494384763	228.52718353271484	195.90628051757812	189.449592590332	188.08293914794922	186.19235229492188	185.46949768066406	213.2158447265625	213.83735351562498
151.9621467590332	177.3789978027344	162.0359230041504	254.39678192138675	232.41998291015622	228.41079711914062	196.10291290283203	189.6166305541992	187.94615936279294	184.78878021240232	184.3381576538086	212.48349609375	213.54999999999998
152.1624755859375	177.71713256835935	161.7586898803711	254.0856170654297	232.77710723876953	228.2262268066406	196.94837951660153	189.53588104248047	187.25228118896484	185.47002410888672	184.49748229980466	213.27700195312497	211.33757324218752
151.82781219482422	177.70793914794922	161.81007385253906	254.14949798583984	232.82354736328125	228.4049606323242	196.1095275878906	190.25099945068357	186.93047332763672	185.69412231445307	184.64600372314453	213.7307861328125	211.945361328125
151.81602478027344	177.33247756958008	162.21792221069336	254.45221710205078	232.61478424072266	228.1688461303711	196.17398071289062	190.1908264160156	187.26727294921875	186.06324005126953	184.358642578125	214.58579101562503	212.9005615234375
151.91862106323242	177.56956100463867	162.1580696105957	254.31909942626956	232.76889038085938	228.37147521972656	196.14761352539062	189.79925537109372	186.74828338623044	186.73374938964844	185.81011962890625	214.06345214843748	214.33530273437498
151.91987991333008	177.49378204345703	162.00498580932617	254.78391265869143	232.99534606933588	228.77336883544922	195.89984893798828	190.07086944580075	187.24042510986328	186.9095993041992	185.54610443115234	213.32802734375	213.48759765625
151.86277389526367	177.71154403686523	162.0461082458496	254.5103988647461	232.91203308105466	228.35939025878903	196.50274658203125	189.86151123046872	187.3655776977539	185.08838653564453	185.7966613769531	213.16518554687497	212.91611328124998
151.9607353210449	177.26692199707034	162.3111343383789	254.21248626708982	232.642822265625	228.60399627685547	195.59097290039062	190.18643188476562	187.49311065673825	186.1082611083984	184.1600189208984	212.85251464843748	213.10983886718745
151.82567596435544	177.69527435302734	161.88459396362308	254.13537597656247	232.39102935791016	228.35044097900388	195.75732421875	190.56019592285153	187.7654800415039	186.16898345947266	184.17244720458982	212.9099853515625	212.637939453125
151.99958801269534	177.29164123535156	162.07754135131836	254.06039428710938	233.27311706542966	228.18534851074216	196.4366683959961	190.1821746826172	187.6207809448242	186.68076324462888	184.42524719238278	213.50849609374998	213.97578124999998
151.9167137145996	177.28473663330078	161.93038940429688	254.5451202392578	233.5227127075195	229.03621673583982	196.0133285522461	190.6003646850586	188.16703033447263	185.79414367675778	184.4233703613281	213.8307861328125	212.4209228515625
151.8559455871582	177.4307060241699	161.85096740722656	254.1938781738281	232.93700408935544	228.29754638671872	196.1612777709961	189.91136169433594	188.01832580566403	185.6914672851562	184.39869689941406	214.490087890625	211.7318115234375
151.77005767822266	177.45758056640622	162.0454978942871	254.0866928100586	232.49020385742185	228.5174789428711	195.59165954589844	190.4369201660156	187.40247344970703	186.38470458984375	185.14423370361328	212.93046875000002	212.2734619140625
151.8825912475586	177.51234054565433	161.94190979003906	254.43663024902344	232.92755126953122	227.8704071044922	196.22064971923828	190.17489624023438	186.19951629638672	185.49723815917966	185.51374053955078	214.37399902343753	212.00830078125
152.08948135375977	177.40314483642575	162.0391082763672	254.38865661621094	233.23187255859378	228.28122711181635	195.69635009765625	191.21981048583982	187.94954681396484	185.62900543212893	184.45930480957028	212.74809570312502	212.572119140625
152.1314811706543	177.5608253479004	162.26669311523438	254.06439971923828	232.7098846435547	228.88080596923825	195.9085922241211	190.3098907470703	187.48436737060544	185.713508605957	185.58309173583982	212.431787109375	211.45114746093748
151.8647575378418	177.43837356567383	161.8897247314453	253.95174407958982	232.937255859375	228.2873840332031	195.6091003417969	189.57838439941406	187.26974487304688	185.91284179687494	185.76326751708984	213.53586425781248	211.61953125
151.95634841918948	177.71448135375977	162.0802879333496	254.07506561279297	232.9061279296875	228.31775665283197	196.42275238037112	189.95738983154297	188.4348907470703	185.80007171630857	186.31759643554685	213.041748046875	211.494580078125
