16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2054.026679436237	2395.3691809194142	3551.9484837570963	2858.1222863654216	4247.2013088365	4809.922052298481	8223.29834570658	11931.800269507788	15576.383548820328	19242.892490131388	21607.680267162537	20680.828474054288	23230.98129101014
2053.6070548060393	2395.1424893241206	3551.7507349906496	2859.9583945056966	4247.183341929809	4809.12027479727	8230.5044897141	11916.477518870419	15583.281014596017	19220.88357346568	21565.718597240662	20677.96745110507	23259.513557455335
2053.9275768670464	2394.677753742083	3551.976304305227	2859.3518318386255	4247.875246997476	4809.045671515861	8230.092182140215	11951.1521006205	15604.513099943973	19211.4195026959	21614.20597119278	20694.0589259513	23270.858102151993
2054.230728954246	2396.436203884988	3552.747346640155	2858.6796057349893	4248.501228513057	4810.038147280759	8226.599217901778	11924.233781286033	15594.223540224239	19172.335503404574	21611.430063968946	20699.127140471126	23196.270730760363
2053.33243831046	2397.3906510330935	3552.6749333460743	2858.901268594784	4248.3834806785635	4809.185855011557	8232.199210276307	11922.367377878134	15609.037399291992	19167.49878685073	21599.50660131768	20700.348222226126	23193.604453315947
2053.9663210087992	2396.0196946146166	3553.0256042882193	2859.207309947537	4247.999756207535	4809.227472619165	8223.769413166909	11930.58562135982	15625.843048095703	19224.710817690247	21615.590463137494	20668.428723174748	23232.798336604454
2055.130520382443	2396.0062044995675	3552.095363829522	2858.964329882391	4246.769009949292	4810.232484545578	8227.66173270441	11931.255885532924	15629.98051156023	19229.319558214786	21591.46810972591	20693.337563240882	23229.05822839151
2055.610111046095	2395.3904343475274	3551.7545589841184	2858.013542583348	4247.6511900490805	4807.1080988103695	8222.868656655013	11918.524782100838	15620.033264160156	19211.009960269454	21621.81065735204	20711.778115397945	23291.593187310722
2054.6972333452086	2396.0653117816682	3552.6254720855177	2857.541754898096	4248.902593101595	4808.1295040373125	8226.754439908495	11946.265568990193	15603.691101074219	19201.824988847897	21615.3035310804	20670.481750792696	23261.547088623047
2055.330917766343	2396.391018016918	3549.6284625281587	2858.3448297715972	4247.827492212589	4808.547638740116	8231.9767630879	11929.993169853486	15600.812220143413	19267.93124610349	21619.470006576157	20669.57743528759	23222.82205080853
2054.4812071152496	2396.8141808828063	3550.845839076665	2858.3360239843273	4248.023816383151	4808.036266105902	8222.828198916948	11924.044578862946	15622.362701840713	19180.70151074098	21642.826518424754	20651.814961197353	23261.41142509353
2055.6465371862632	2396.586906066268	3552.471127426415	2858.510423761098	4248.098172067917	4807.916827928407	8237.978424688783	11936.339758392563	15576.794713795067	19199.894320580268	21650.25288985223	20697.20225547677	23256.661858357173
2054.0010029962173	2396.5747983696524	3553.6095846227154	2857.4856891565228	4248.274186864208	4807.758715844923	8228.666727044869	11933.625997365774	15611.422938807584	19195.201674998545	21699.01869270239	20672.394497559802	23289.43938351749
2054.2855780553587	2396.057773963108	3551.9754677488095	2858.574799037012	4247.540031787495	4806.44675202295	8229.264293808536	11929.048810686383	15612.100601196289	19225.276342713005	21659.388929522003	20701.446155510326	23269.55715147387
2054.7286682293775	2397.6500648733477	3552.780769876385	2858.490983849118	4247.371902699953	4806.999960633401	8227.409731214435	11941.346190029517	15589.524075329542	19211.51306828842	21591.026242039785	20712.77893597807	23255.16336419609
2053.898904595357	2397.849464622259	3553.217563303322	2859.4655043105586	4248.149346929177	4807.811558516588	8230.805998493275	11931.458093169937	15608.795166015625	19185.680655104603	21597.51667065567	20677.94372786337	23197.49461279975
2055.238039832685	2398.108457379363	3551.8500163205604	2859.1650351077383	4250.89976909081	4809.533629015442	8235.180980027324	11929.451518908729	15612.91566592658	19231.71086097831	21580.38000042519	20639.13794960041	23256.045429646467
2054.8468246810407	2397.213079937713	3551.8813551517956	2858.207731457961	4250.056701794006	4807.359465087768	8227.516228044537	11925.523152608357	15614.879297214758	19202.986759925956	21613.121032714844	20697.10154592255	23260.156873246313
2054.7669847193974	2396.1203733307166	3551.2115117439985	2858.174803319442	4248.139946935475	4808.043758937842	8237.921173249058	11932.493149787411	15598.076893143865	19203.831307330536	21611.694528275177	20646.655706711757	23228.53610502275
2054.6445862047726	2396.766153696644	3550.72021484375	2859.171699075138	4249.449672146363	4807.292872661286	8223.824924038303	11931.938515569931	15622.978210449219	19230.064905789724	21624.057566752286	20672.753305718452	23234.018400394718
2054.1801782734915	2395.869525372418	3550.592194205572	2859.31565591635	4249.016095628664	4807.912682932757	8225.473665422009	11918.801747396321	15606.81737111714	19224.114678985443	21614.053215779048	20739.41469192505	23233.560210499683
2054.8542974060274	2395.6463609864336	3550.9862397846423	2860.2351761070345	4250.774667724823	4807.8755768577885	8233.31309224895	11944.327109529893	15605.422075161201	19230.077762414912	21621.74417191193	20694.70197847574	23268.44657599593
2054.797178463438	2396.0713271991767	3550.697480451632	2860.221317395194	4248.653811914663	4808.95304788188	8227.574476440306	11939.91613603825	15609.973907470703	19221.341255867836	21603.860989422865	20698.443240030825	23214.20775519477
2055.2937640191412	2395.2979238626444	3551.5090307991145	2860.4324690886997	4248.231427480503	4809.859310567138	8228.560429371524	11932.3543473786	15622.34729468703	19223.955733266044	21629.842479577226	20663.003028907213	23293.586004348028
2054.2511176237294	2396.011661671742	3552.6550139446376	2859.4462832276513	4249.4747478500185	4809.671165243047	8233.690790059223	11939.521295478546	15604.462556705208	19192.878286636886	21640.637894751322	20692.562642819237	23340.96190634738
2053.9401575951165	2395.4012693264785	3552.0495029917934	2859.306643998472	4249.113066154614	4807.183280639957	8227.128174997146	11938.768274643842	15630.497989884341	19225.99335858352	21641.567391409	20671.979369359928	23218.301831841134
2053.6166903391086	2395.7517655338347	3548.366145083779	2859.782091810841	4248.964958842575	4809.073382808316	8230.209350585938	11931.082781623392	15617.846494640555	19202.922707173362	21621.450322682784	20672.812355363338	23182.104949523753
2054.3526314400337	2395.9313005249187	3551.450528596577	2858.5123449370876	4249.059172728851	4810.228785861928	8225.664015739194	11941.200647598658	15581.851024704285	19216.152701047387	21591.383651648153	20661.69567962191	23229.166239249607
2054.124240715396	2395.8447554660884	3550.611844662771	2858.2149797151646	4249.174103864062	4807.516474105827	8228.03677325268	11926.527668658951	15621.884791311139	19153.956139441765	21587.91526069854	20650.581340884688	23265.403425189812
2054.2307201673225	2396.5088904032696	3552.093455731947	2859.3396612543884	4250.195860131386	4807.377681626053	8226.436783510997	11930.445620888158	15597.33962248227	19225.815635415453	21621.31359982291	20684.788895599897	23267.258419079728
2053.931105916143	2395.8250988891505	3551.5454504271443	2858.945108445116	4248.54347071938	4807.061104386939	8236.078633790541	11941.222057885852	15580.194404875614	19206.856737042417	21590.286276253664	20692.929440633237	23265.892050179446
2053.9635106136925	2395.162834855816	3551.913332970533	2859.0474442499485	4248.139319611932	4809.073727540295	8228.59041152462	11924.068012986658	15611.133727419425	19203.006631076925	21646.766769451922	20666.858398588953	23267.469698340115
2054.0976853072884	2396.3658173836043	3551.8615301216655	2860.190478518919	4247.44120815344	4809.05333331524	8236.849500286964	11934.581479997432	15599.780823604993	19248.831272125244	21635.93399692589	20698.594928085062	23236.202994428968
2054.583791330509	2397.0479170266976	3552.0133921908455	2859.7786901835684	4246.517572219234	4807.5966213060465	8230.87510517392	11929.499058564985	15604.35676574707	19223.675799013963	21593.806448947176	20672.786324550732	23254.574520487182
2053.3921043389805	2396.923916211886	3551.5819546211383	2859.725200128723	4249.2252037392545	4808.930449560473	8228.83214115016	11938.441230590084	15608.756957885498	19199.144159889693	21611.189574338077	20665.492161665814	23255.94291258394
2053.232685694799	2397.0326786912688	3551.1804336841806	2858.499787701658	4249.137517184032	4808.819046753732	8231.536619372719	11934.665312249976	15605.606079101562	19189.690599347105	21638.338330765844	20696.932003821858	23230.24632544491
2053.509341216983	2398.292288015109	3551.4250900261873	2859.317091948524	4248.227667923408	4808.225434136066	8238.727046597389	11928.057778474971	15624.856374349938	19211.291089470003	21565.705620810848	20697.657424624602	23256.868786282008
2052.971350180136	2397.2688012352382	3552.740916871188	2859.142569560681	4248.638695647993	4809.396418505071	8228.320267892654	11927.13789193027	15603.368759155273	19229.38264446494	21595.21699617695	20626.54967355256	23294.299674433703
2053.3095442842573	2397.619320518959	3552.084792763034	2858.382736576214	4248.979003959696	4810.4017159333725	8228.75823207836	11931.970288490997	15613.798141479492	19184.119665800634	21564.1436138525	20661.94804075634	23231.943226393374
2052.4140372912602	2396.1465530828646	3551.6659592643086	2858.8898590540916	4249.64968335571	4808.261742319861	8231.943303888494	11934.38955100186	15593.239409243037	19241.96248019008	21554.309330629498	20734.54202856506	23253.081231143886
2052.8079497614312	2396.753093512643	3551.6584897679477	2858.7942761942327	4246.9120862191185	4807.782570721827	8222.33384655368	11939.861899928042	15584.784199992024	19200.59647890601	21555.76395184806	20688.548016904006	23266.58126018962
2053.493488417932	2397.128734929037	3551.2169445950562	2859.4948033395167	4251.8430494573795	4809.166846036549	8225.991138860807	11934.122407292745	15603.857364007337	19205.839839982396	21585.35196540061	20695.22488501764	23347.566913626048
2054.03885498377	2396.3873564923056	3549.548211405017	2860.3146377119047	4248.957654794751	4807.645187570106	8224.795592155342	11942.378739665326	15618.11340757575	19209.485491807052	21585.132298844583	20675.161097309378	23242.835571118096
2051.552899042937	2396.4168830925164	3549.363320333916	2859.4523732657053	4249.434546288592	4809.098971745845	8231.003598984395	11935.103173349418	15636.919977184303	19198.86965313857	21643.03954218475	20687.701378339603	23232.510920321005
2052.6110045742853	2395.485698790581	3548.959656029065	2860.563505472154	4248.724485698499	4806.442010408697	8223.66547031191	11932.13785501351	15616.872787475586	19222.84494532217	21608.804120403045	20690.538396882774	23226.700577081418
2051.9128782431585	2396.872003046912	3549.800740684767	2860.638494434964	4249.262099925774	4809.827910851321	8225.211675018372	11915.72031580416	15610.288086551536	19178.788064431315	21591.45024901662	20625.577184367063	23197.686972738313
2052.4896269063397	2396.044635824227	3550.374852681139	2858.556461437106	4249.232483577353	4808.755205422489	8228.067192131528	11945.265522603688	15600.061986550867	19240.15396269993	21589.33810973435	20672.817135331643	23259.379282718946
2053.056426054714	2397.5266722643855	3550.693503615632	2859.5398851886175	4249.011916512465	4806.804560845898	8228.687509413689	11924.178618237489	15592.512256371047	19201.148532460404	21599.52185007447	20693.5578153615	23201.71474071031
