16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
238.73794555664065	265.4914855957031	288.4680938720703	386.00614929199224	364.1666564941406	358.2452087402344	320.47206115722656	350.67137145996094	344.88869476318354	383.55029296874994	379.6151962280273	440.36015625	438.94052734375003
239.13816452026364	265.43689727783203	288.3041000366211	386.7352981567383	364.62062072753906	357.39239501953125	320.0006790161133	350.4356002807617	343.9360885620117	385.0243835449219	382.5648880004883	440.472314453125	438.58078613281253
238.85080337524414	266.13611221313477	287.6394081115722	385.7875213623047	364.2974624633789	358.061279296875	319.41123962402344	350.9657821655273	344.00093078613276	385.415885925293	380.6989288330078	440.82573242187505	438.25214843749995
238.90611648559573	265.84218978881836	288.4896850585937	386.15901947021484	364.408950805664	358.1275405883789	319.55912017822266	350.8080825805664	345.27779388427734	383.0412139892578	381.59305572509766	443.63642578125	439.4093505859375
239.04258728027347	265.9426498413086	288.0923461914062	385.97218322753906	365.80343627929693	358.31563568115234	320.2994613647461	351.7715606689453	344.8846664428711	383.1116867065429	381.88803863525385	440.18422851562497	439.13364257812503
238.80130767822263	265.5883979797363	288.84281158447266	385.62020874023443	364.1098022460937	359.20912170410156	320.46185302734375	350.2845153808594	346.19153594970703	382.8100204467774	381.6840591430664	442.25332031249997	437.60065917968745
238.41020584106445	265.6886863708496	288.3654403686523	385.40345764160156	364.34314727783203	358.1012191772461	320.5887451171875	350.2634811401367	345.190933227539	383.452033996582	383.5734329223632	440.1643310546875	439.82214355468756
238.55724334716797	265.8014678955078	288.2313919067383	385.98021697998047	363.88570404052734	358.17093658447266	321.04763031005865	350.9304428100586	345.11311340332026	382.66275787353516	382.87813568115234	442.9723388671875	437.92395019531244
238.9681434631348	265.6155586242676	288.55602264404297	385.69342803955084	364.23426818847656	357.7828903198242	321.13490295410156	350.68299865722656	344.8088150024414	383.3237915039062	381.6044540405273	442.0388427734375	437.7006591796874
239.19254302978516	265.5500030517578	288.4393310546875	385.5486145019532	364.5267562866211	358.2946014404297	320.2606887817383	349.892463684082	345.4206161499023	382.3044891357422	380.70460510253906	441.6919189453126	439.0857177734375
238.9040374755859	265.71638107299805	288.1378173828125	385.44541168212885	365.48247528076166	358.0685348510742	319.97183990478516	351.55702972412104	346.678825378418	383.20800018310547	383.84712982177734	444.5661865234375	437.38984374999995
238.98855209350586	266.02684020996094	289.36388015747065	386.0626602172851	365.0414199829101	358.0469970703125	320.81865692138666	349.94013977050776	345.93873596191406	382.45811462402344	382.20668792724604	440.36298828125	439.09326171875
238.58856201171878	266.1195945739746	288.26887130737305	386.11168670654297	364.5301208496094	358.36997222900396	320.3244094848633	351.68019104003906	343.96467590332026	382.7202758789063	381.27793121337885	441.01511230468753	437.8087646484375
238.63576889038086	265.87940216064453	288.56384277343744	386.72481536865234	364.7380142211914	357.90348815917963	320.4660415649414	350.7641830444336	344.6249313354492	383.63717651367193	381.9543228149414	440.0746826171875	437.7725830078125
238.69539260864255	265.5422782897949	288.52224349975586	386.167236328125	364.84627532958984	357.80431365966797	321.6719512939453	350.88633728027344	343.90491485595703	383.9255676269531	379.9951858520507	440.3548583984375	438.9528076171875
238.90184402465817	265.45970916748047	288.7742042541504	385.6003875732422	364.6626205444336	357.90776824951166	319.7908630371094	350.6547546386719	345.7307052612304	383.63273620605474	381.7197189331054	440.78203125000005	440.27902832031253
238.77740859985354	265.57538986206055	288.2565879821778	386.1185302734375	365.32010650634766	358.601577758789	320.0679244995117	350.49190521240234	345.22645568847656	383.76864624023443	382.0056381225586	440.156494140625	439.18193359375
238.94243240356448	265.5981636047363	288.24136734008795	385.9923019409179	363.8428115844726	358.12371826171875	319.3140563964844	351.66238403320307	345.3006362915039	382.8496856689453	383.2713088989257	444.32158203125005	438.546142578125
238.9607810974121	266.0387992858887	288.06068420410156	385.5907516479493	364.4563980102539	357.9683303833007	320.8699264526367	351.1322021484375	345.6991424560547	382.9937667846679	381.756477355957	443.59707031249997	437.20678710937494
