16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
208.12259674072266	239.76570129394528	229.9681282043457	344.13002014160156	321.83441162109375	317.0412139892578	283.58580780029297	281.51172637939453	279.7445983886719	285.8579635620118	283.11939239501953	327.6828125	327.0862548828125
207.44575500488278	239.79196548461914	229.86818313598633	344.2599792480469	322.1368103027344	317.5314331054687	282.95446014404297	282.16065216064453	280.59379577636713	285.63647460937506	285.76148986816406	328.3849609375	325.84414062499997
209.11930084228516	239.70821380615234	230.46241760253906	344.3808059692382	322.04967498779297	317.0585632324219	282.4747238159179	282.0080108642578	278.9351577758789	285.5807418823242	284.42578125	327.795458984375	324.7865966796875
206.6824531555176	239.92568969726562	229.76825714111328	343.3440856933594	322.1664276123047	317.63610076904297	282.6474151611328	283.24205017089844	278.52223205566406	285.63686370849615	284.30104064941406	328.023876953125	326.8386474609376
206.72054290771484	239.70720291137695	230.48753738403323	344.00573730468744	321.67675781249994	317.6615982055664	283.95318603515625	284.26670837402344	279.15545654296875	285.43885803222656	284.59293365478516	326.751904296875	326.8483154296875
211.76849365234375	239.93410110473633	230.4528045654297	343.9805603027343	321.6275253295898	318.09388732910156	283.36864471435547	282.76194763183594	279.06360626220703	285.1674041748047	283.8822784423828	327.65493164062497	325.98813476562503
208.9833450317383	239.82311248779294	230.27956008911136	343.83011627197266	322.1923828125	317.57732391357416	282.1540603637695	282.92301177978516	278.74626159667963	285.78211212158203	285.90520477294916	327.80830078125	325.65144042968745
206.69605255126953	239.8456764221191	230.81348419189453	343.7346496582031	322.3948516845703	317.02608489990234	282.91609954833984	284.64466094970703	280.0822219848632	285.23240661621094	285.20384216308594	328.113427734375	325.4257080078125
206.8072319030762	240.1445770263672	229.5742416381836	343.6644515991211	322.5041198730468	317.7822647094727	282.8949508666992	283.9684524536132	279.4747009277343	284.59107971191406	283.74151611328125	327.49970703125	326.5482666015625
206.91009521484375	240.11188507080078	230.44878005981445	344.0807876586914	322.7245101928711	317.5889739990234	283.53662109375	283.01637268066406	279.8319396972656	285.06939697265625	285.0955810546875	327.98532714843753	326.9142089843751
206.50787353515628	239.8084831237793	230.5343246459961	343.76699066162115	321.44297790527344	317.7661056518554	281.92588806152344	283.3857879638672	278.9472198486328	285.2255630493164	284.53145599365234	326.1419677734375	325.4179443359375
206.7812156677246	239.73308563232425	230.4321098327637	343.913818359375	321.70976257324213	317.41884613037104	283.35447692871094	282.8396530151367	280.74261474609375	285.4954605102539	285.24222564697266	327.243896484375	328.5279052734375
206.59807205200195	239.7029685974121	230.63684463500974	343.45035552978516	321.796142578125	318.3307800292969	283.98321533203125	283.77447509765625	278.4147033691406	287.20662689208984	286.00282287597656	327.3072021484375	326.62412109375003
206.70442581176755	240.18323898315433	229.85416412353516	343.45987701416016	321.70445251464844	317.6491470336914	282.1211700439453	282.45652770996094	279.25552368164057	283.9153060913086	284.3026428222656	328.51345214843747	326.04416503906253
206.85613632202148	240.03847122192383	229.8946380615234	344.05030059814453	322.5213088989258	317.6945114135742	282.6479415893554	282.27330780029297	279.7765731811523	283.89438629150385	283.7575149536132	327.017822265625	327.08493652343753
207.0975685119629	239.89501953125	230.20217895507815	344.29456329345703	322.50755310058594	317.4856796264648	282.98128509521484	282.5962371826172	278.6436080932617	286.75799560546875	286.24491119384766	327.79929199218753	326.8864990234375
207.1416473388672	239.9025535583496	230.22521972656253	344.04364013671875	322.9552459716797	317.02752685546875	283.5596923828125	282.25323486328125	279.88357543945307	284.68347930908203	286.4322967529297	329.145361328125	326.67668457031255
207.23043441772458	239.67645645141602	229.91909027099607	343.7846145629883	322.50913238525385	317.74948883056646	283.0150451660156	282.2900848388672	279.4823684692383	286.3479537963868	285.2209167480469	326.34726562500003	326.48999023437506
207.11973190307617	239.89305496215817	229.78450775146482	344.16231536865234	322.0377731323242	317.2803955078125	282.6279830932617	282.18042755126953	278.6220474243164	284.2042465209961	284.00885009765625	327.56123046875	326.7741455078125
207.10962295532227	240.14995574951172	230.12218475341797	343.59798431396484	322.7060623168945	317.4824295043945	282.6288986206054	282.28726959228516	278.5041275024414	285.40553283691406	285.32979583740234	329.18901367187493	326.3887939453125
