16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
240.9507179260254	266.4529800415039	286.96990966796875	383.7465133666992	364.02566528320307	359.7655563354492	322.35010528564453	352.32000732421875	344.5944671630859	383.75010681152344	381.1310348510742	441.23957519531245	437.70849609375
240.94064712524417	266.3938522338867	286.8115234375	383.77954101562506	365.0525665283203	359.81778717041016	322.948471069336	351.7496337890625	344.73527526855474	384.49381256103516	381.9008102416992	444.010791015625	439.7522705078125
240.94541549682617	266.58599853515625	286.8783760070801	383.78391265869135	364.8965148925781	359.8407897949219	321.94596862792963	350.75045013427734	345.86006927490234	385.64822387695307	381.52974700927734	442.77182617187503	437.9294189453125
240.94709396362305	266.1847114562989	287.36829757690435	383.21445465087885	365.2971954345703	359.3828201293946	324.2333908081054	350.66942596435547	345.21537780761713	383.92371368408203	383.09056091308594	441.8575927734375	439.62495117187507
241.08697891235352	266.7123794555664	286.8863105773926	383.4549407958984	364.4605178833008	360.19388580322266	324.2103424072265	353.8727416992187	345.16770172119135	383.4540710449219	381.1093597412109	443.18957519531256	438.57114257812503
241.32953643798828	266.3023376464844	287.2180366516113	383.7166213989258	364.9956893920898	358.5084457397461	323.55235290527344	350.85374450683594	346.69825744628906	383.90210723876953	382.6427764892578	443.6030517578126	439.347705078125
241.37079238891602	266.75119400024414	286.8689727783203	383.7991790771484	364.59869384765625	358.68836975097656	322.2926559448242	351.4346466064453	344.9143295288086	385.600959777832	381.52418518066406	441.84765625	439.14968261718747
241.13836288452148	266.71438217163086	287.04633712768555	383.10953521728516	365.5385284423828	359.0865783691406	323.26430511474615	351.3882751464844	344.55438995361334	383.6895675659179	382.48320007324213	441.6393798828125	439.63420410156255
240.7814598083496	266.51050567626953	287.33203887939453	383.8766098022461	364.27164459228516	360.3687286376953	322.32740020751953	349.9096984863281	345.1683197021484	383.88919830322266	380.7080841064453	443.91352539062495	439.79357910156256
240.57485580444336	266.3263511657715	286.5121841430664	384.40811920166016	364.36768341064453	359.65447998046875	322.70088958740234	351.8098526000976	344.5929336547851	386.55672454833984	381.3013687133789	442.691796875	439.52043457031255
240.92941284179688	266.6489028930664	286.94231033325195	383.4927749633789	364.3307189941406	359.2884521484375	323.3440246582031	351.1443786621093	345.1901321411132	383.7091827392578	380.8979415893554	441.6206787109375	441.2985595703124
240.76272964477536	266.3936424255371	287.088623046875	384.57712554931646	365.51964569091797	359.2535934448243	323.88414001464844	352.3215637207032	345.060791015625	383.6038055419922	382.47610473632807	441.3572265625	440.10705566406256
