16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2789.5655495925216	3115.3601716652283	4542.640837112276	3721.456631855362	5653.212413361483	6421.131382656468	11458.017851567245	16053.618549811366	21008.845048183557	25204.37849328873	28393.383209521955	27167.8859904661	30572.10032756512
2788.7446221426744	3115.5887598799172	4543.5495659856515	3719.098926118127	5659.324121716452	6423.905048212114	11459.488152992888	16019.102343085671	20978.259003680687	25239.004957195048	28463.536832869486	27142.264075198415	30614.67909412704
2782.3529001009665	3116.1319444109504	4544.0458543229815	3719.5158079150315	5658.525725624194	6419.259248918042	11460.759801772034	16024.130217883052	21016.893834413604	25247.54758608543	28500.552360828107	27169.618383840898	30618.821199123675
2783.2138036998194	3115.9243069856752	4542.03199632097	3719.270772187002	5658.188283995811	6426.923469810634	11469.592862916224	16023.237741009763	21021.316969804262	25308.20405154218	28496.084143982673	27138.55986899518	30636.25326523414
2785.5311431557675	3115.8542558608997	4542.010737163633	3718.872307988342	5655.1756235114635	6426.781531901675	11440.663574040806	16021.715505061338	21008.402001556507	25283.98392048288	28408.893906926533	27199.40977581477	30595.56570397802
2777.401701867066	3117.336756606726	4543.733785274942	3720.2505546286375	5658.803036338405	6423.267014342758	11451.640716463935	16030.093007003139	21001.435018494427	25190.74906694128	28481.520139254055	27129.24835529733	30580.9664439006
2782.0589684492707	3115.4630582055147	4543.925896611031	3719.4462204674337	5656.708745513787	6423.5439319109155	11459.075987107095	16026.060327846932	21041.610180686097	25242.728539080123	28482.22851753235	27181.95548424354	30641.24325671828
2782.1506836624576	3114.7015591462455	4545.94556200901	3718.179778537636	5656.694512618215	6421.830454300254	11463.812782738998	16024.900491045735	21040.72951578185	25268.410927677356	28465.154079290536	27152.950480832893	30624.282159965387
2784.531003927468	3115.91548304404	4544.472354338777	3718.1940110995997	5656.697076081224	6426.273070163717	11440.403144028258	16008.86757344536	20964.10434598957	25223.76046251895	28452.845653855657	27230.884983087144	30568.32508868482
2781.2895856701766	3114.758048252057	4545.323877972391	3718.5843107479545	5656.922588477263	6427.926626818919	11453.200397234203	16013.638547140125	21011.378360569262	25266.653426150056	28442.24526331975	27192.395204191755	30617.65417995223
2779.58789971569	3112.393992677432	4544.936613671797	3720.378875732422	5655.163848722304	6430.35483209172	11460.928921565139	16037.191849588697	21017.88486259571	25265.54083212828	28467.277078067556	27193.515858751663	30684.718718895547
2781.818982972351	3112.5822270803933	4540.759553460913	3719.487871442522	5659.13601501568	6425.429762194413	11459.83622766908	16012.526600738693	21007.743062852303	25279.59819541557	28399.134256753576	27188.04690883612	30577.620634665855
2784.3287056177423	3112.9433921325463	4544.690027184082	3721.426628061216	5658.165412613108	6423.4146206964	11457.972025592968	16025.020188231423	21023.569974032314	25347.69143268561	28528.57888463032	27214.439879072474	30625.324982863207
2786.1601547441715	3115.1997076498496	4541.95082894427	3720.351167627283	5657.6376874353355	6427.504546450872	11467.941995959935	16025.569198566822	21023.89915452462	25216.452888116208	28481.153341440055	27187.75526006171	30580.60753545601
2782.6089046827665	3114.1079021474716	4546.237199531126	3719.1807293370907	5659.193529861386	6426.807971316089	11441.86871723064	16009.947069648171	20995.124554763435	25262.001233223156	28412.30204922976	27213.242094395526	30592.047450054124
2785.8611884594093	3112.0904311518357	4540.996777681494	3716.2286557962693	5661.367011402367	6421.748049255699	11460.215717957606	16013.288173545785	21004.721657061447	25293.095499022395	28389.20063949658	27203.590311902633	30616.663270077464
2786.422356082399	3113.5645892437165	4544.0500089437655	3718.4623843138793	5657.433758418571	6426.899478427387	11448.116358206358	16048.807915442629	21054.10864911365	25306.918773245303	28444.06832322228	27169.75538139669	30606.512257235227
2788.00494540009	3114.6189847838054	4541.831747238858	3718.304174880942	5658.055961383546	6425.30382753754	11466.460130841378	16011.245925840698	21009.283083041366	25228.921284299417	28426.960470595797	27229.559192779478	30626.95264816284
2789.0521228776984	3116.3945267453264	4542.058635606125	3720.6773634080764	5657.184768367458	6428.707418242026	11470.504871849875	16051.512297959478	20973.853442979896	25289.652960062533	28505.096068749062	27222.04385427483	30637.313658932606
2786.9083557047024	3115.0778702769862	4541.560948508558	3718.6605757992525	5658.997875529776	6429.649523640931	11462.94895746533	16038.799416350275	21011.254061823307	25264.59998272835	28521.377691547932	27175.339232099817	30664.5683620287
2785.943699955749	3115.6217394460623	4544.658374182785	3715.66370652773	5657.480537639892	6425.5415034028065	11458.95337595523	16020.359237337372	21015.153464857853	25317.345961390532	28434.959246957904	27168.600554194058	30597.83278469834
2786.8944746059797	3117.168213208103	4544.41957240417	3718.427240507589	5659.669336646494	6425.259932766971	11478.438901020787	16026.65020269659	20998.93573407902	25247.314128469912	28415.576769755437	27202.807509822887	30617.307818107056
2789.320750199448	3114.9802108605704	4542.465678671263	3720.00723565264	5656.200574512377	6426.5913176305085	11455.906095255494	16004.170297444109	21002.20036980903	25240.965092435796	28448.75653584798	27178.92765746812	30620.164278021268
2787.5851689970204	3113.8755849916615	4542.649924000607	3718.033649817326	5656.151717153339	6428.231267682638	11454.185701275523	16027.542810673935	21015.118773749433	25280.401396598896	28497.551496212298	27194.297919839115	30598.134879606318
