16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
286.73513412475586	324.0862274169922	330.0962829589844	465.56687164306635	437.8385696411133	430.4823303222656	381.42455291748047	399.1944808959961	392.3835296630858	423.7727737426758	421.2074661254882	487.1289306640625	484.1256591796875
286.8280220031738	324.16913986206055	330.24366378784174	465.90474700927734	437.5445480346679	430.9165420532226	382.46665191650385	401.07460784912104	393.4993286132813	423.0656433105469	421.32680511474604	487.9697509765625	484.7040771484374
286.71173095703125	323.87063980102533	329.73215103149414	465.86512756347656	436.94753265380854	429.9510955810547	383.27538299560547	399.6274337768554	392.43724822998047	423.505142211914	422.5670700073243	487.5396240234375	485.19128417968744
287.06212997436523	323.7934112548828	330.34944534301763	465.2739944458008	437.69892883300787	430.38867187500006	382.22016906738276	399.9284362792968	392.36936187744135	425.52660369873047	421.86806488037104	486.61638183593755	485.70952148437493
287.1440124511719	323.68141174316406	329.7496223449707	465.3108444213867	438.62628936767584	430.01921081542963	382.5309677124023	400.20423889160156	392.3122329711914	423.94324493408203	421.8811340332031	486.66711425781256	484.8451904296875
286.9730377197265	323.8399696350097	330.3848266601563	465.19347381591797	438.06486511230463	430.7494812011718	382.85570526123047	400.01985168457037	392.349494934082	427.115982055664	420.245361328125	488.15520019531243	484.2033447265625
286.9939422607422	324.23957824707026	330.67871093750006	465.8991394042969	437.8973236083985	430.85655212402344	382.2394866943359	399.30656433105474	392.5181121826172	425.01404571533203	421.02937316894526	486.89462890625003	484.414013671875
287.34437942504877	323.8350486755371	329.95594024658203	465.47545623779297	437.6979446411133	430.56120300292963	382.5579528808594	399.99572753906244	392.27632141113276	423.67147064208984	420.2674484252929	486.325634765625	484.5084716796875
287.137680053711	324.07176971435547	330.20338058471674	465.73331451416016	437.7477951049804	430.52098846435547	382.2825851440429	400.2350463867187	391.91679382324213	423.78355407714844	420.3351745605468	490.81662597656253	485.3250732421876
286.96277618408203	323.9063262939453	329.4824028015137	465.3185348510743	437.6878509521484	430.4123840332031	382.80347442626953	399.60154724121094	392.2568435668945	424.43318939208984	421.54449462890625	487.26884765625	485.98728027343753
286.92230224609375	324.0002632141113	329.88731384277344	465.5076370239258	438.33785247802723	430.06839752197266	382.4781188964843	398.9424362182617	392.3457641601563	422.6604537963866	420.04614257812494	486.64851074218757	483.041357421875
287.11687088012695	323.8624763488769	329.842300415039	465.5492477416992	437.89833068847656	430.30506134033203	382.49377441406244	398.94314575195307	392.7323913574219	423.1808853149414	420.22803497314453	487.4166259765625	484.47150878906257
287.33362197875977	323.9898490905762	330.095272064209	465.0510864257813	438.21528625488287	430.88511657714844	381.94567108154297	399.28532409667974	392.91677856445307	423.71408843994135	422.13276672363276	487.1748046875001	485.86506347656257
287.1545600891113	324.03711318969727	330.2415657043457	465.5055313110351	437.7757415771485	430.1071243286133	381.59944152832026	399.5149154663086	393.46192932128906	423.3049163818359	420.6225128173828	486.31359863281256	483.09128417968753
287.2548484802246	324.5580101013183	329.6378517150879	466.0364456176758	437.9011688232422	430.6423873901367	382.5347900390625	398.6788101196289	393.1992416381836	423.1981658935547	421.95888519287104	486.40429687500006	483.46535644531247
286.9720268249512	323.6336326599121	329.6201133728028	465.3419723510742	438.6405715942383	431.1999206542969	382.51018524169916	399.4077072143554	391.45584869384766	422.81069183349604	422.3485794067382	486.97080078125	485.99384765624995
