16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.10802	0.1082	0.07954	0.10822	0.0666	0.05774	0.02884	0.02302	0.01732	0.01618	0.01426	0.01618	0.01428
0.10804	0.1082	0.07952	0.10826	0.06656	0.05772	0.0289	0.0231	0.01736	0.01614	0.0143	0.01618	0.01432
0.108	0.10808	0.07946	0.10826	0.06648	0.05768	0.02896	0.02306	0.01734	0.01616	0.01434	0.01618	0.01432
0.10814	0.10806	0.07956	0.1081	0.0666	0.05768	0.0289	0.02308	0.01732	0.01624	0.0143	0.01614	0.01432
0.10812	0.10802	0.0794	0.1081	0.06676	0.0577	0.0289	0.02308	0.01734	0.0162	0.01434	0.01614	0.01432
0.10804	0.10808	0.0796	0.10814	0.06664	0.05772	0.02892	0.02304	0.01732	0.0163	0.01426	0.01622	0.0143
0.10798	0.10822	0.07964	0.10826	0.06662	0.05778	0.0289	0.02304	0.01734	0.01622	0.01428	0.01616	0.01428
0.10812	0.10804	0.07946	0.10814	0.06658	0.05772	0.02892	0.02308	0.01732	0.01618	0.01426	0.01614	0.0143
0.10802	0.10814	0.07954	0.1082	0.06656	0.05774	0.0289	0.0231	0.0173	0.01618	0.01426	0.01628	0.01434
0.10804	0.10808	0.07936	0.10806	0.06658	0.05768	0.0289	0.02306	0.01732	0.01618	0.0143	0.01618	0.01434
0.108	0.1081	0.07946	0.10812	0.0667	0.05766	0.0289	0.02304	0.01734	0.01612	0.01424	0.01614	0.01424
0.10804	0.10812	0.07944	0.10814	0.06662	0.05774	0.0289	0.02302	0.01734	0.01616	0.01428	0.01618	0.0143
0.10818	0.10812	0.0795	0.10806	0.06668	0.05776	0.02888	0.02304	0.01732	0.01616	0.01432	0.01614	0.01434
0.10814	0.1081	0.07952	0.10818	0.0666	0.05774	0.02886	0.02306	0.01736	0.01616	0.01428	0.01614	0.01426
0.10816	0.1083	0.0794	0.10824	0.06662	0.05776	0.02892	0.023	0.01734	0.01614	0.01432	0.01614	0.01428
0.10804	0.10804	0.07938	0.1081	0.06674	0.05782	0.0289	0.02306	0.01728	0.01612	0.01432	0.01616	0.01432
0.10814	0.10808	0.07954	0.10802	0.06652	0.0577	0.0289	0.02304	0.01738	0.01622	0.01428	0.01616	0.01424
0.10808	0.10818	0.07954	0.10818	0.06662	0.05774	0.02896	0.02306	0.01736	0.0162	0.01434	0.0162	0.0143
0.10816	0.10816	0.07976	0.10812	0.06664	0.0577	0.02892	0.02298	0.01738	0.01614	0.01426	0.01614	0.01434
0.10826	0.10824	0.07962	0.10824	0.06656	0.05762	0.02896	0.0231	0.01732	0.01618	0.0143	0.01618	0.0143
0.1081	0.10814	0.07972	0.10816	0.06664	0.0577	0.02894	0.02306	0.01732	0.01618	0.01432	0.01616	0.01434
0.1081	0.10808	0.07942	0.10806	0.0667	0.0577	0.029	0.02302	0.01732	0.01614	0.0143	0.01612	0.01432
0.1081	0.10802	0.07938	0.10814	0.0666	0.05766	0.02894	0.02306	0.01728	0.0162	0.01428	0.01614	0.01432
0.10804	0.1081	0.07958	0.10812	0.0666	0.0577	0.02888	0.02308	0.01736	0.01616	0.01434	0.01614	0.01434
0.1081	0.10812	0.07952	0.10832	0.06666	0.05776	0.02894	0.02302	0.01734	0.01622	0.01428	0.0162	0.01432
0.1081	0.10822	0.07956	0.1081	0.0666	0.05774	0.02892	0.02312	0.01734	0.01618	0.01428	0.0162	0.0143
0.10802	0.10814	0.07958	0.10812	0.06664	0.05774	0.02894	0.02304	0.01732	0.01622	0.01432	0.01622	0.0143
0.10798	0.10828	0.07944	0.10814	0.06654	0.05782	0.02898	0.02304	0.01738	0.01618	0.0143	0.01616	0.0143
0.108	0.10818	0.07948	0.1082	0.06652	0.05768	0.0289	0.02312	0.01738	0.01626	0.01426	0.01616	0.01432
0.10796	0.10804	0.0794	0.10808	0.06664	0.05784	0.02894	0.02306	0.01734	0.01626	0.01436	0.01622	0.01432
0.10826	0.10808	0.07952	0.10804	0.06664	0.05782	0.02888	0.02306	0.0173	0.0161	0.01432	0.01616	0.01424
0.10804	0.10828	0.07966	0.10812	0.06654	0.05766	0.02894	0.02306	0.01734	0.01614	0.01432	0.01616	0.01428
