16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02306	0.0231	0.01432	0.02326	0.01432	0.01248	0.0063	0.00428	0.00326	0.00266	0.00238	0.00266	0.0024
0.0231	0.02316	0.01428	0.02318	0.01432	0.01242	0.00634	0.00424	0.00324	0.00266	0.00234	0.00262	0.00234
0.02308	0.0232	0.01438	0.02312	0.01424	0.01242	0.00628	0.00428	0.00318	0.00262	0.00236	0.00264	0.00236
0.02308	0.02316	0.01428	0.0231	0.0143	0.01242	0.0063	0.00426	0.0032	0.00266	0.00234	0.00264	0.00234
0.02306	0.02318	0.01432	0.02316	0.01432	0.01242	0.00634	0.00426	0.0032	0.00264	0.00236	0.00264	0.00236
0.0231	0.02312	0.0143	0.02316	0.01424	0.01248	0.00628	0.00426	0.00326	0.0026	0.00236	0.00264	0.00236
0.02304	0.02308	0.0143	0.02324	0.01434	0.01244	0.00628	0.00424	0.00326	0.00262	0.00232	0.0026	0.00234
0.02312	0.02314	0.01436	0.0232	0.01428	0.01242	0.00628	0.00428	0.0032	0.00264	0.00232	0.00262	0.00234
0.02308	0.02314	0.01428	0.02314	0.01424	0.01252	0.0063	0.0042	0.0032	0.00262	0.00236	0.00262	0.00232
0.02308	0.02312	0.0143	0.02314	0.01432	0.01244	0.00624	0.00428	0.00322	0.00262	0.00236	0.00262	0.00232
0.02306	0.02314	0.01438	0.0231	0.01426	0.01238	0.00628	0.00424	0.00322	0.00264	0.00238	0.00264	0.00234
0.02304	0.02314	0.01432	0.02316	0.01434	0.01234	0.00632	0.00424	0.00326	0.00264	0.00236	0.00262	0.00234
0.02308	0.02312	0.0143	0.0231	0.0143	0.01244	0.00624	0.00422	0.00326	0.00266	0.00234	0.00264	0.00234
0.02308	0.02314	0.01426	0.02318	0.01428	0.01248	0.00628	0.00424	0.00326	0.00264	0.00234	0.00266	0.00236
0.02306	0.0231	0.01432	0.02314	0.01438	0.01236	0.00624	0.00426	0.00326	0.00264	0.00234	0.00262	0.00236
0.02308	0.02308	0.01428	0.02314	0.01424	0.01242	0.00628	0.00428	0.00324	0.00262	0.00232	0.00264	0.00232
0.02308	0.02322	0.0143	0.02316	0.01428	0.01244	0.00624	0.00424	0.00322	0.00266	0.00234	0.0026	0.00234
0.02306	0.02312	0.01434	0.02312	0.01436	0.01236	0.00626	0.00428	0.0032	0.00264	0.00234	0.00264	0.00232
