16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.03458	0.0346	0.02186	0.03468	0.02136	0.01854	0.00932	0.00644	0.00486	0.00424	0.00378	0.00424	0.00376
0.03462	0.0346	0.0219	0.03462	0.02136	0.01856	0.00932	0.0064	0.00486	0.0042	0.00374	0.00422	0.00372
0.0346	0.0347	0.0218	0.03456	0.02142	0.0185	0.0093	0.0065	0.00488	0.00424	0.00374	0.00424	0.00374
0.0346	0.03458	0.02186	0.0346	0.02138	0.01854	0.00936	0.00642	0.0049	0.00424	0.00376	0.00422	0.00376
0.03464	0.03464	0.0219	0.03466	0.0213	0.01848	0.00936	0.00646	0.00486	0.0042	0.00374	0.0042	0.00372
0.0346	0.0346	0.02192	0.03466	0.0214	0.0186	0.00934	0.00644	0.00484	0.00422	0.00378	0.00426	0.00374
0.03458	0.03466	0.0219	0.03472	0.02142	0.01848	0.0093	0.0064	0.00488	0.00418	0.00374	0.0042	0.00376
0.03462	0.0346	0.02188	0.03466	0.02128	0.01854	0.00936	0.00646	0.0049	0.00422	0.00374	0.00422	0.00376
0.03458	0.03458	0.02184	0.03468	0.02138	0.0185	0.00934	0.00648	0.00488	0.00424	0.00376	0.00424	0.00376
0.0346	0.03462	0.0219	0.03462	0.02138	0.01862	0.00934	0.00646	0.00488	0.0042	0.00374	0.00422	0.00376
0.03454	0.03462	0.02192	0.03464	0.02138	0.01864	0.00936	0.00646	0.00486	0.00422	0.00374	0.00418	0.00374
0.03454	0.03466	0.0219	0.0346	0.02138	0.01846	0.00934	0.00642	0.0049	0.00422	0.00376	0.00422	0.00374
0.03454	0.03468	0.02184	0.03462	0.02134	0.01852	0.00934	0.00644	0.00492	0.00426	0.00376	0.00424	0.00376
0.03456	0.03466	0.02186	0.03462	0.02132	0.0185	0.00932	0.00646	0.00488	0.00422	0.00374	0.00424	0.00374
0.03456	0.03458	0.0219	0.03468	0.02132	0.0185	0.00934	0.00644	0.00488	0.0042	0.00376	0.00422	0.00378
0.03452	0.03456	0.02186	0.03466	0.0214	0.01852	0.00936	0.00642	0.0049	0.00422	0.00374	0.00422	0.00374
0.03456	0.03462	0.02192	0.03462	0.02142	0.01858	0.00932	0.00642	0.0049	0.00422	0.00374	0.00422	0.00376
0.0346	0.03468	0.02188	0.03464	0.02142	0.01858	0.00934	0.00644	0.0049	0.00422	0.00374	0.00422	0.00378
0.03456	0.0346	0.02186	0.03468	0.02134	0.01854	0.00936	0.00642	0.00488	0.00422	0.00376	0.00416	0.00374
0.03456	0.03464	0.02198	0.03462	0.02138	0.01852	0.00934	0.00646	0.00484	0.00426	0.00376	0.00422	0.00374
0.03452	0.03466	0.02188	0.03464	0.02134	0.01864	0.0094	0.00644	0.00488	0.0042	0.00374	0.00422	0.00376
0.03454	0.03468	0.02188	0.03462	0.0214	0.01862	0.00938	0.00642	0.00488	0.00422	0.00376	0.00422	0.00376
0.03458	0.03462	0.02184	0.03466	0.02144	0.01852	0.0093	0.00646	0.0049	0.0042	0.00374	0.00424	0.00376
0.03458	0.0346	0.02186	0.03466	0.02138	0.01862	0.00936	0.00644	0.00486	0.00422	0.00372	0.00422	0.00376
0.03458	0.03474	0.02186	0.0346	0.02132	0.01854	0.00934	0.00642	0.00484	0.00424	0.00376	0.00424	0.00376
0.0346	0.03466	0.0219	0.03466	0.02138	0.01854	0.00932	0.00646	0.00494	0.00424	0.00374	0.00416	0.00376
0.03462	0.03466	0.022	0.03466	0.02138	0.01852	0.00936	0.00644	0.00482	0.00426	0.00376	0.00422	0.00376
