16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
100.83242416381836	117.57143020629883	108.93104553222656	168.6653366088867	155.91858673095703	152.6342239379883	132.38665008544925	128.34361267089844	127.47873687744138	130.0528335571289	128.3320770263672	147.87861328125	148.02890625
100.63541412353517	117.67992019653319	108.76943588256836	169.12667083740234	155.15435028076172	152.605224609375	131.74404144287107	128.49412536621094	126.70978546142577	128.9237823486328	130.2198486328125	149.0972900390625	147.5742919921875
100.6928825378418	117.7505111694336	108.74637603759767	168.94120788574216	155.64310455322263	152.60128784179688	131.85237121582028	128.20921325683594	127.55770111083983	129.29360961914062	129.6089630126953	148.2693603515625	147.1719482421875
100.65860748291016	117.53589630126955	108.95637512207031	168.72573852539062	154.97547912597656	152.710075378418	132.7016372680664	128.46590423583984	126.48536682128905	129.96480560302734	129.4362487792969	148.17187500000003	147.157373046875
100.93339920043947	117.57162094116211	109.03976440429688	168.8291473388672	155.5558319091797	153.22208404541013	131.8340606689453	128.7268295288086	126.9583740234375	129.1919403076172	128.5455551147461	149.45554199218753	148.57460937500002
100.632266998291	117.53379821777345	108.6330795288086	168.8170166015625	154.91059112548828	152.39861297607422	132.171501159668	128.60437774658203	126.50807189941406	129.1113510131836	128.75491333007812	148.95129394531253	147.35446777343753
100.82408905029297	117.5510025024414	108.8053512573242	168.6770782470703	155.67327117919922	153.11993408203128	132.05667114257812	128.77674865722656	126.55863189697266	128.61671447753906	129.46092224121094	148.2735595703125	147.27441406250003
101.02088928222656	117.46742248535158	108.68419647216797	168.84741210937497	155.5917205810547	152.48751068115234	132.18674468994138	128.73946380615234	127.20730590820312	130.16921997070312	128.47405242919925	149.1831787109375	148.78054199218752
100.70383071899413	117.59626388549803	108.82591247558595	168.80399322509763	155.61598205566406	153.11485290527347	132.20656585693362	128.62586975097656	126.81646728515625	129.64771270751953	129.07747650146484	148.4169189453125	148.792724609375
100.83330154418947	117.3771858215332	109.1506004333496	168.689826965332	155.31893920898438	152.36627197265625	132.27518463134768	128.16716766357422	126.9019775390625	129.35311889648438	128.47293090820312	147.8458251953125	148.0981201171875
100.82422256469727	117.74789810180663	108.9345932006836	168.72983551025388	155.25604248046875	152.50005340576172	132.00386810302732	128.46746063232422	127.18219757080077	128.84186553955078	128.7653045654297	147.43410644531252	148.21767578125002
100.7265281677246	117.64198303222656	108.80422592163086	168.97130584716794	155.1317596435547	152.15814971923828	131.6931610107422	128.21125030517578	126.7833023071289	129.6997833251953	129.2446060180664	149.12675781250002	148.1588623046875
100.83534240722656	117.66876220703126	108.85835647583008	168.6100616455078	155.77867126464844	152.5675964355469	132.26396942138672	128.4130096435547	127.03262329101561	129.87792205810547	129.66245269775393	149.39238281250002	146.6379150390625
100.78451156616212	117.74681091308592	108.87845993041992	168.6148452758789	155.1833724975586	152.4403381347656	131.566291809082	128.14556121826172	126.53379821777344	128.8590545654297	128.5060043334961	148.9966796875	147.69228515625002
100.79044342041017	117.85263061523436	109.07302856445312	168.82566833496094	155.27350616455078	152.64518737792972	132.03723907470703	128.38128662109375	126.43972778320312	129.19006347656253	128.73875427246097	147.602734375	147.23723144531252
100.65757751464842	117.53477096557616	109.05565261840819	168.56714630126956	154.97911834716797	152.61891174316406	132.36577606201172	128.73728942871094	126.77563476562499	130.50798797607425	128.29202270507812	148.6416259765625	148.539990234375
100.73963165283203	117.89142608642577	108.94245147705078	168.79474639892578	155.72474670410153	152.77667999267578	132.17177581787107	128.83909606933594	126.89602661132811	128.9508361816406	128.00012969970703	149.0614013671875	147.91069335937502
