16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2312.6940035245534	2647.002065929249	3959.06540811844	3172.8469841923443	4762.9653567100195	5416.688202433504	9508.438778218231	13518.312536639933	18197.648711655856	22615.247983236597	25496.83019553587	23642.684280780315	27351.529066871455
2362.0184926143193	2673.091437542681	3947.9736351322945	3154.093688222724	4760.693248389609	5414.543509507901	9488.583691901775	13666.684573045699	17731.24965169472	21975.264858634782	24832.706073503115	23846.967896418784	26594.167531922805
2346.355939746244	2695.4860568721847	3990.7791865017757	3132.315057939809	4761.041083817995	5414.76981447399	9493.226863603419	13554.85421028656	18099.217047453614	22148.960902367107	25377.438254784814	24001.852965649265	27162.11864402562
2293.2500474755175	2694.2090495060247	3965.977410961735	3114.152422858331	4731.084440571782	5379.19983425964	9422.111354117731	13855.535012704355	18135.55548711078	22608.62940436347	25449.432876034964	24095.760710070335	27294.796941441535
2333.0786356562194	2708.689952400369	3915.579822671472	3149.7475468312946	4737.483196800193	5388.867987909447	9447.842387716459	13643.336428782051	17978.42940152968	22393.800984428697	25201.618323665516	24074.90038883998	27015.162514639902
2320.766291654531	2667.494785710981	3981.826710026239	3175.1642335151805	4685.38402232892	5323.53631218549	9316.182264453166	13604.685060387235	18088.367032377344	22083.821142715773	25353.46002862005	24025.82095030954	27173.72754237035
2334.114164933644	2661.002149460128	3948.4286930546573	3119.2933819572695	4690.8248856416285	5332.362479770307	9339.685669698989	13591.504414089686	17871.642279321157	22184.87625750004	25045.292519354625	23890.266320392835	26895.40851915543
2300.8830821981937	2712.831665055849	3953.248718196213	3167.689701592932	4691.870527350948	5333.873111095037	9336.358216714909	13653.968719143128	17722.8456662025	21949.785736131103	24822.173454626813	23853.842205362726	26589.731802029866
2334.5639865652824	2632.0550686609936	3958.278942363831	3112.831600721868	4687.670347728968	5328.48269669051	9341.379539253785	13580.218759228877	18110.178684000617	22176.920141212242	25373.678513240535	24008.317962097324	27166.26566509868
2296.798787106768	2697.8780764189564	3951.0756760332238	3146.125672182348	4755.093030113929	5405.151327860724	9478.184772858238	13867.802221339554	18133.36966261636	22604.984467713217	25416.707297455814	24108.507015086987	27283.330619474113
2328.17839316503	2659.6880362628385	3935.113457340435	3122.4226305311336	4740.051830736489	5392.381340701286	9456.567300417555	13647.324361918885	17995.357513427734	22399.416176101575	25197.044629679385	24086.506608320724	27034.259078526262
2348.6914036658977	2646.2635392338093	3980.149221919438	3134.6242306373842	4729.896126287545	5380.8020385389855	9440.539696267644	13610.365658961651	18097.37212983626	22096.224213430596	25346.715505733046	24036.456477605305	27195.24984109506
2299.3196885809657	2647.711377913764	3969.435332703929	3169.4818380436877	4749.459651741374	5401.527775953392	9474.294669933834	13585.638881909965	17872.59769361076	22176.04505385138	25049.400772901554	23887.892900887182	26873.696504145548
2319.912707133339	2704.345792497548	3949.806756532296	3111.474950548629	4736.994119643313	5385.342269196305	9438.39532837643	13668.835089439515	17734.866977966936	21970.800928890367	24821.089254122664	23871.44834586236	26579.1592517424
2295.1958760538023	2682.365197555134	3932.9256111085706	3139.2964764678372	4705.541529895026	5346.277575472217	9371.06805446344	13574.521286830703	18114.099396468682	22163.1285215369	25373.747854521782	23996.014337613222	27171.47238569857
2311.9884559423876	2641.2652709625117	3965.635453844492	3127.1584877633304	4758.7863166534635	5410.069769637481	9485.315721174093	13854.863066220483	18152.672746830292	22613.74958258107	25422.212960836772	24106.476246727183	27299.08060597068
2303.2265456793934	2690.223498706377	3983.976801538446	3140.0808824404085	4720.882178950172	5365.16740849066	9393.921597589182	13646.243752556624	18001.459259347816	22406.28417357458	25223.793755334344	24095.849412563282	27039.907252156743
2326.3329611324307	2644.649725419651	3943.6248084971503	3148.7961021073743	4822.281036567927	5485.327697841962	9631.837387273652	13596.645868174628	18097.563922723722	22080.46163341369	25338.78459874812	24039.93832463462	27164.768588445568
2321.158186295589	2638.6648121446665	3961.3011053630285	3122.0464096086116	4712.143891451987	5357.227945155615	9391.46467996646	13587.62530997248	17893.21647826444	22169.498843499838	25033.118215215436	23894.261405815247	26864.212799960438
2332.0497242796737	2701.3764105790888	3912.935780430232	3180.629341098218	4727.678439509607	5371.842679010264	9422.015731122945	13667.74015326497	17719.895544001043	21965.66394519708	24811.497112092096	23849.518620827188	26592.516704367925
2331.4209013755953	2663.9544360021264	3978.4691473064795	3180.751305720931	4754.359288959203	5406.267699220712	9485.992777004163	13574.360399986619	18135.52818722719	22158.471232514763	25391.791652312433	24011.221843535215	27188.853272196156
2320.7238962332135	2685.2332656924114	3920.912870384617	3167.5816395319334	4794.701715587249	5452.255352728523	9566.680714795144	13863.854158696246	18149.847253739736	22623.00335571101	25438.109109568042	24097.737274012776	27291.473633346333
2360.404157436578	2662.583213607256	3979.4797082436608	3145.1228112834588	4747.1503915132	5398.094703221459	9464.777705105296	13625.91055113897	17987.265766939312	22407.03504312314	25202.164752598484	24063.409322833573	27014.857888152314
2343.859500795857	2692.250877495809	3957.3872684047024	3123.507666002866	4750.690472135594	5400.547058652841	9466.174403671079	13603.82598924121	18091.649738024134	22095.749514548817	25348.255406448614	24020.93146944414	27168.49845050376
2293.4890231559334	2682.2300390883024	3923.087255102502	3123.353177516967	4709.520562384725	5352.042586219805	9374.34450627947	13591.673495780557	17874.25027877068	22192.22123268273	25041.358027960854	23870.679034276644	26891.46634724698
2334.3125489396107	2713.336949824369	3987.753602274624	3132.4221182645706	4757.548281447127	5410.743765306311	9485.03343547918	13674.656525553284	17730.945627906818	21973.792834159656	24821.93239775243	23850.559328906198	26599.882366911366
2320.371262374144	2678.5436424642025	3965.0596889913645	3111.013346697708	4798.889245412312	5460.355441989255	9582.536617260199	13579.847196713366	18124.59138572388	22181.73304069931	25385.619042499795	23981.57266922939	27183.932069435185
2331.714970162695	2668.696373822363	3989.863759477632	3123.2750482663037	4716.982114055234	5362.668366826404	9392.49737062407	13850.989722143962	18140.193607564517	22604.809581284408	25418.71054169734	24095.71409225464	27286.013245304704
2300.8007049350845	2678.6164848653766	3990.3553608451593	3153.3431293925987	4760.55463381933	5415.622263919588	9497.648208910214	13650.5688076703	17987.159332916675	22430.35676787766	25210.457382602992	24092.64578748105	27021.04482945135
2333.3153420842177	2634.8359307186893	3931.9796968575606	3132.7048869725995	4760.167681819313	5414.201341934739	9495.392364923624	13613.193618254765	18081.883728479643	22090.21931018525	25356.77428292756	24027.12957500616	27154.17746206704
