16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.42442	0.42444	0.261	0.42444	0.26152	0.22622	0.11306	0.07546	0.05658	0.04536	0.04014	0.04562	0.04022
0.42428	0.42446	0.2609	0.42438	0.26138	0.22634	0.11312	0.07562	0.05672	0.04532	0.04008	0.04542	0.0401
0.4241	0.42424	0.26122	0.42434	0.26126	0.22644	0.11346	0.07564	0.05678	0.0454	0.04012	0.04538	0.04012
0.42434	0.42438	0.261	0.4246	0.26126	0.22632	0.11332	0.07552	0.05674	0.04544	0.04012	0.0455	0.04006
0.42414	0.42408	0.26102	0.42456	0.26126	0.22648	0.11328	0.0756	0.05664	0.04534	0.04006	0.04548	0.0401
0.42418	0.42454	0.26118	0.42424	0.26114	0.22638	0.11312	0.07552	0.05658	0.04534	0.04014	0.0454	0.04004
0.4242	0.42438	0.26102	0.42472	0.2613	0.22632	0.1132	0.0755	0.05666	0.04534	0.04004	0.04542	0.0401
0.42418	0.42456	0.26106	0.4247	0.26114	0.22628	0.11326	0.07562	0.0567	0.04534	0.04012	0.04554	0.04018
0.42426	0.4243	0.26112	0.42428	0.26118	0.22672	0.11332	0.07544	0.05666	0.0454	0.04004	0.04536	0.04016
0.42416	0.42442	0.26112	0.4246	0.26132	0.22626	0.11326	0.07558	0.0567	0.04542	0.0401	0.04544	0.04026
0.42436	0.42432	0.2609	0.42432	0.26142	0.22632	0.11316	0.07546	0.05668	0.04562	0.04006	0.0455	0.0401
0.42432	0.42418	0.26114	0.42468	0.26128	0.2265	0.1131	0.07554	0.0566	0.04538	0.04016	0.04546	0.04012
0.42416	0.42452	0.26118	0.42442	0.26174	0.22662	0.11326	0.07558	0.0567	0.04544	0.04002	0.0454	0.04
0.42442	0.42414	0.26104	0.42442	0.26138	0.22628	0.1132	0.0754	0.05672	0.04532	0.04008	0.04534	0.0401
0.42442	0.4244	0.26098	0.4246	0.26156	0.2265	0.11338	0.07566	0.05664	0.04546	0.04004	0.04544	0.04014
0.42434	0.42434	0.26132	0.42446	0.26148	0.22636	0.11322	0.07554	0.0566	0.04534	0.0401	0.04534	0.04008
0.42426	0.42458	0.26096	0.42472	0.261	0.22642	0.11326	0.07548	0.05654	0.04542	0.04008	0.04536	0.04004
0.42412	0.42424	0.26086	0.4245	0.26136	0.22662	0.11332	0.07556	0.05664	0.04542	0.04002	0.0455	0.04004
0.42448	0.42448	0.2612	0.42456	0.2613	0.22632	0.11322	0.07548	0.05662	0.0454	0.04024	0.04552	0.04008
0.42432	0.42428	0.26102	0.42424	0.2614	0.2264	0.11334	0.07538	0.05672	0.04542	0.0402	0.04538	0.04008
0.4244	0.42442	0.2608	0.4248	0.2614	0.22646	0.11336	0.07548	0.05668	0.04536	0.04008	0.04536	0.04014
0.42446	0.42438	0.26096	0.42438	0.26124	0.22646	0.11322	0.07542	0.05666	0.04532	0.04006	0.0454	0.04008
0.42424	0.42432	0.26124	0.42452	0.2612	0.22626	0.11336	0.07566	0.05672	0.0455	0.04006	0.04548	0.0401
0.4243	0.42444	0.261	0.42446	0.26146	0.22662	0.11338	0.07554	0.05668	0.04538	0.04012	0.04542	0.04016
0.42428	0.4244	0.26122	0.4244	0.2614	0.22668	0.11316	0.07548	0.05662	0.04542	0.04006	0.04532	0.04018
0.42438	0.42432	0.26096	0.42472	0.2614	0.22638	0.11326	0.07544	0.05662	0.0454	0.04024	0.04544	0.04002
0.42416	0.42434	0.26088	0.42428	0.26128	0.22636	0.11318	0.07542	0.0566	0.04546	0.04006	0.04552	0.04006
0.42438	0.42454	0.26098	0.42476	0.26128	0.22648	0.11336	0.07546	0.0567	0.04542	0.04008	0.04552	0.04006
0.42444	0.42422	0.26108	0.42454	0.26154	0.22636	0.11334	0.0755	0.0567	0.0455	0.0401	0.04538	0.0401
0.42444	0.42458	0.26106	0.42436	0.26136	0.22646	0.11326	0.07552	0.0567	0.0454	0.04008	0.04534	0.0401
