16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1047.334098815918	1238.0214309692383	1130.9026527404785	1755.0928802490234	1609.7850036621091	1581.025131225586	1350.774169921875	1311.8911514282227	1294.9520187377932	1281.2182846069334	1276.4734954833984	1474.14912109375	1466.8426513671877
1047.9849243164062	1237.4286651611328	1130.5881690979004	1754.6914443969727	1609.3940505981443	1579.5532608032224	1350.1650466918945	1314.353874206543	1293.5588607788084	1279.146171569824	1277.2317581176756	1472.7915283203124	1465.6250244140622
1047.730484008789	1237.6145935058596	1131.862621307373	1754.127616882324	1609.327377319336	1580.160873413086	1349.061584472656	1312.1035537719727	1291.7971115112302	1280.9179687500002	1277.3742599487305	1471.0666503906248	1468.0292480468752
1047.7763557434082	1237.4809265136719	1130.8154296875	1755.3767852783203	1610.6514358520508	1579.368896484375	1350.008056640625	1311.3102264404297	1292.6916732788086	1281.0148315429685	1277.2284393310547	1471.84814453125	1464.597509765625
1049.0676879882812	1236.918601989746	1131.7982864379883	1753.8233184814455	1609.2370605468748	1579.4992904663086	1348.139533996582	1310.8112411499023	1292.5172424316404	1282.4932708740234	1276.4233474731445	1474.68310546875	1465.3084228515622
1048.392562866211	1236.3432693481443	1131.8085479736328	1754.1416244506836	1609.9286041259766	1581.2026748657224	1347.4652481079104	1313.7533111572263	1293.995361328125	1284.7013168334959	1279.462532043457	1469.804931640625	1466.5335205078127
1048.2503128051758	1238.0732727050781	1132.1579360961914	1754.6607971191409	1609.692741394043	1580.5003051757812	1350.062873840332	1311.9737091064453	1292.3858642578123	1281.215148925781	1278.3757553100586	1468.9572753906252	1465.6986328125
1048.647403717041	1237.3781204223633	1132.0290184020996	1753.9736022949216	1609.6366195678709	1581.2105712890625	1350.039161682129	1313.1520614624023	1293.180679321289	1281.713996887207	1276.439872741699	1470.52939453125	1462.8479492187503
1048.2729339599612	1237.818660736084	1131.42728805542	1754.2626571655271	1608.0841598510742	1579.7870864868164	1347.9631805419924	1313.0101776123045	1292.6772537231443	1282.9062881469729	1277.7533340454102	1473.07568359375	1468.5674804687499
1048.7971496582031	1237.655162811279	1132.347412109375	1753.7291107177732	1610.084129333496	1578.2216262817383	1350.7039489746094	1312.431037902832	1291.7184219360352	1282.1787643432615	1275.4349670410156	1472.9161865234375	1464.8015136718748
1048.5918426513672	1237.6669883728027	1131.7580604553223	1754.0126037597656	1608.81241607666	1580.982078552246	1350.0397109985352	1310.6063461303709	1292.7188873291013	1280.2539825439453	1276.5898818969724	1471.5801025390624	1465.7882080078123
1047.8772163391113	1236.8510437011719	1132.6457786560059	1753.457771301269	1608.8829116821291	1578.9925231933594	1349.7451858520508	1311.8889999389646	1293.9906463623047	1280.7527160644531	1276.2426910400388	1471.9509521484374	1465.949267578125
1048.132495880127	1237.3967933654785	1132.0325660705566	1754.8089523315432	1609.5691909790037	1580.622299194336	1351.3118362426758	1312.1401519775388	1293.0387725830076	1279.5609741210938	1275.8406829833984	1471.6777832031253	1466.7619140624997
1046.4194107055664	1237.7594947814941	1131.9496154785156	1754.021530151367	1609.0686721801756	1581.3428421020508	1349.506004333496	1311.463737487793	1296.1641311645508	1282.1404037475586	1276.9737854003904	1469.6147460937502	1464.4822998046877
1047.6014137268066	1237.9709815979004	1132.2836303710938	1755.1289520263672	1610.5743255615234	1579.8982315063477	1347.8908767700195	1312.2409744262695	1293.2871551513672	1281.1528701782224	1277.8546829223635	1472.206201171875	1463.5815429687502
1047.3211479187012	1236.9324684143066	1132.8636741638184	1754.0193328857422	1610.0970840454104	1581.6465225219727	1348.5532608032224	1313.5465850830076	1292.5792922973633	1284.0762634277344	1278.5295867919922	1471.2841064453125	1464.2871093750002
1047.6530265808108	1237.6438903808596	1130.9633445739746	1753.834098815918	1610.8889923095703	1580.6386184692378	1349.8578186035154	1311.0881881713867	1292.7949905395506	1281.5132904052734	1277.478630065918	1473.2566650390625	1466.3745605468753
1047.6483154296875	1237.759532928467	1133.0635643005369	1753.1801376342773	1608.8295822143555	1580.5151138305666	1349.5219116210938	1312.471984863281	1291.4671096801756	1280.6730194091795	1275.5721130371094	1470.6827880859373	1466.6302490234377
1048.105354309082	1237.8383445739746	1132.2580528259277	1753.7658462524414	1610.6678009033203	1580.2992553710938	1349.2711257934573	1315.0561752319334	1291.761474609375	1281.0885543823242	1276.9044799804688	1478.2964111328126	1465.2329101562498
1047.8838729858398	1237.880172729492	1131.4602279663086	1752.8985214233398	1609.49503326416	1580.8324356079102	1350.1199569702148	1312.27677154541	1291.8417892456055	1280.6542510986326	1276.6940689086914	1471.071728515625	1467.4995605468753
1047.3009872436523	1237.8826332092287	1132.2969055175781	1752.5567092895508	1608.3616333007812	1581.2287673950195	1351.5804748535156	1310.9294815063477	1293.4751129150388	1280.4334716796875	1277.0114822387695	1470.344189453125	1462.55283203125
1047.03218460083	1237.419548034668	1132.0325660705566	1752.9352569580076	1608.7147750854492	1578.7915649414065	1349.9164581298828	1311.705207824707	1294.5030212402346	1281.6399307250977	1276.0965042114258	1474.1034667968752	1465.6839843750001
1047.8770637512207	1237.729377746582	1132.157859802246	1752.1634445190432	1609.3478393554688	1579.3880310058594	1350.2208938598633	1311.4423828125	1292.5633392333982	1282.014106750488	1274.8717346191406	1469.0832031250002	1466.6188232421873
1048.2358169555664	1237.6848793029785	1132.3944664001465	1753.6950988769531	1608.3255615234375	1580.203308105469	1351.5834274291992	1310.8825149536133	1292.590576171875	1280.839828491211	1275.7117309570312	1471.6421874999999	1467.6285888671875
1047.5087547302246	1237.4975395202637	1132.091999053955	1753.1787643432615	1608.5204772949219	1579.9960327148438	1350.3378982543945	1313.7269439697263	1290.9213180541992	1279.6057891845703	1276.4811401367185	1470.9392822265622	1465.510888671875
1049.1423034667969	1238.4034729003906	1131.8511962890625	1754.741226196289	1610.1940383911133	1581.2014846801758	1350.4503021240232	1311.8303604125974	1291.9606018066406	1282.949317932129	1279.996078491211	1473.2503662109375	1464.5070556640626
1048.4289932250979	1238.219795227051	1132.6996994018555	1753.7916183471677	1607.6255950927734	1579.8022155761716	1349.2547378540037	1311.8475494384766	1291.6474685668945	1280.9450225830076	1277.7057266235352	1471.57001953125	1465.4154785156247
1049.178295135498	1237.8106117248537	1131.3126945495605	1754.6850814819336	1609.7848205566406	1579.4967041015625	1348.3288192749021	1310.3015441894531	1293.4786834716795	1280.8912811279297	1277.164924621582	1471.8857666015626	1464.80205078125
1048.76859664917	1238.0914878845215	1131.8381881713867	1753.780952453613	1608.7955932617185	1579.6094055175781	1349.468879699707	1313.5387802124023	1292.2497024536133	1279.3791275024412	1275.4659347534177	1475.8027099609376	1467.7833496093751
1048.8726997375486	1237.1501922607422	1131.9976997375488	1754.2935333251953	1607.7468566894531	1580.6775741577148	1349.5116119384766	1312.4476776123047	1295.7306747436523	1281.2392959594724	1277.2048873901365	1469.906494140625	1469.3115966796875
