16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1919.0378532980028	2266.6912574045887	3369.3917671924637	2678.516958844626	3991.5719562358895	4521.969188248175	7724.712747746105	11268.219193879464	14794.71733317102	18307.302877899714	20679.00297245008	19720.530836549522	22234.59102407092
1919.948930669072	2266.518911937015	3369.2578647571236	2678.198597624108	3992.5033008805285	4522.415941739454	7723.349388453543	11266.147862292935	14795.027687560716	18302.801218661632	20675.209759739635	19715.87356922968	22233.389326669636
1919.834507290631	2266.6933946993763	3369.44100174855	2676.063660787572	3990.199785082158	4522.291118360596	7722.3381443917215	11267.720817635105	14791.118341934945	18321.86132209063	20677.516510436584	19719.8150414838	22243.945888995753
1920.622421350237	2266.282555332342	3369.734280015198	2676.793272822306	3991.3450989553617	4521.266736758202	7723.511697564105	11265.55177354321	14793.230720484398	18304.39574106894	20675.156036827484	19716.758623371727	22235.071988037205
1922.0030192889253	2265.1697652084863	3370.453503388887	2676.285354454992	3992.3515444747322	4521.95069644745	7723.426451696812	11265.910694701444	14791.23457877461	18306.68709138437	20670.1539621898	19720.920509199947	22237.22232620014
1920.6253670652015	2265.0287068520893	3371.086400112089	2676.771080465549	3992.4031963604943	4522.166571904165	7720.6250464562145	11263.317139550982	14791.89942076046	18313.110343732125	20671.166667368765	19716.43377136398	22238.534800014142
1920.9982275421048	2266.5371864108783	3371.3237332386143	2677.0731067971756	3993.0065423241326	4522.641259688498	7723.825311457801	11264.284197974152	14789.731120775114	18313.53843518841	20677.661673622842	19711.83221227973	22243.144073130647
1921.0218431102826	2266.1772836569417	3371.3414092623134	2677.5933695667572	3992.8673264270183	4521.258152876128	7725.811253503004	11265.116167922606	14794.763400618811	18308.1076003772	20670.42156920746	19719.38018327393	22234.43502582001
1920.6877019311096	2266.4029968069503	3371.557566170272	2677.74031512243	3991.154792736563	4521.221370763836	7723.47806966213	11266.218575064393	14793.065706801526	18306.311189311826	20675.62029199693	19712.92185350492	22234.851630159126
1922.0707943741581	2266.601646053914	3372.49050544846	2676.533690337615	3992.7888776472446	4521.399506903586	7724.311173109441	11261.24929556933	14794.282824079566	18308.469904376023	20670.21533516491	19710.787439558677	22229.529575682835
1921.2720192227036	2266.208276948773	3371.3376838109093	2676.770262974407	3992.486639062587	4521.225344750189	7722.6324306615825	11261.826717969092	14793.542151070007	18306.079594828778	20672.8507885894	19719.93061935922	22235.86480594376
1920.1737453989433	2265.9589691139745	3372.7764238461255	2677.1982583688614	3992.186040183145	4521.12116087525	7725.189937340034	11261.236436778643	14791.845523117338	18306.928474334665	20667.228446690617	19718.135825891062	22238.30806398855
1919.7972303467782	2266.1284766051544	3372.758211388859	2676.907068920003	3992.224713224507	4521.7481954295	7723.547303627548	11263.39232229037	14797.202835564953	18315.025966464756	20668.75134433966	19707.718000127552	22250.6358322588
1918.3460634772428	2266.7096926738714	3371.9082975231327	2677.3722542027926	3991.933790265396	4522.567443721975	7723.8209954984895	11266.870596974166	14796.39419137615	18314.198430858738	20671.033822202644	19720.65476444078	22241.967276874264
1918.4028232618052	2267.180026367849	3373.305220672984	2677.101182454099	3993.291494499463	4522.160677298286	7724.1259614107385	11266.57887240083	14795.981548043283	18306.36817241402	20669.23335472249	19721.555121151017	22245.58522265245
1919.0141232752514	2266.606443623665	3372.6218343668306	2676.976626139675	3991.3956747912953	4522.815073667938	7723.672742286499	11266.181085177437	14796.008382524762	18310.4646279337	20672.12499663679	19715.964119389373	22239.002803250754
1919.1299259586199	2267.7438624685933	3371.179636860542	2676.791970109765	3991.459008061693	4523.037046646402	7724.7734892386325	11265.96710809262	14794.413056618498	18317.800034380696	20671.17524378508	19715.343774610614	22236.124328944996
1919.6839436905623	2267.124941256625	3372.0122739733856	2676.3820766992094	3992.291461235075	4522.994258901575	7723.912039955893	11266.240771041763	14795.47142425277	18312.07131390385	20672.437978690352	19721.43714713592	22240.001592576875
1921.084633434294	2267.5184916174658	3371.62185940661	2675.903651940276	3992.097934148574	4522.376532083029	7722.476681510171	11267.531832475954	14794.77591407109	18305.44916527098	20677.945329389637	19715.245326007338	22236.076360908515
1919.6934616675335	2267.42897155272	3372.4596958757334	2675.462045959162	3991.565564708847	4522.349340908314	7724.151888932072	11266.886217678155	14795.695772008492	18311.802949820303	20666.50590696535	19719.883114324504	22244.548538557356
1918.9771827243703	2267.184309907012	3371.7375543969333	2675.430359067852	3990.4172951172573	4521.620477303718	7724.023195569399	11266.926924387613	14802.196201993947	18308.64607183264	20663.61621745582	19710.130370800514	22247.26246153454
1918.6252741347762	2266.5852438631864	3373.160208791885	2675.3221142052303	3991.531131735071	4520.545758147237	7722.987654640274	11264.300012234706	14789.587574721625	18307.049633257593	20664.86112533077	19719.920093066074	22251.566513660488
1920.3846053425589	2267.4019523459037	3372.7295632812384	2675.418139412689	3989.7756871032625	4521.632171584729	7722.6086356661135	11266.687137564433	14791.762098706839	18318.6743648618	20669.126696159867	19713.52202750612	22248.46515840697
1920.6900779748726	2267.3204354491436	3371.626470553643	2675.6977230903017	3989.6151136200847	4522.101957719405	7724.040068973159	11264.199791654752	14796.13754775498	18314.456481514684	20674.700683213912	19713.999639649777	22237.87500101804
1920.4839299102093	2266.894192196856	3371.12738685592	2676.18387972484	3989.8610878649292	4522.440614809724	7724.338151281316	11267.72800852311	14797.355777787703	18309.37770696787	20671.08984545794	19724.87666047892	22240.294906272386
1921.365290943515	2268.138228755294	3371.816004197636	2677.0977905671234	3989.499807712219	4521.85279306845	7727.102799849076	11267.697041955247	14788.926302731692	18306.92519880321	20671.77129346271	19715.259482738864	22233.6987414992
1920.9736399741612	2267.8018227601665	3371.3307321919624	2677.1193861542106	3990.4920645497573	4521.575238059749	7723.44379867887	11265.522374265565	14793.470182413581	18315.96062947563	20666.8239942989	19713.032883381158	22238.84698116418
1922.1352321843362	2267.4676895490998	3370.8142975673695	2677.6003807024563	3989.9094356786245	4521.632612222496	7723.448923534176	11266.17781150651	14794.110662820016	18315.192191831527	20674.12789143975	19710.50317376535	22238.177267253235
1921.38464870506	2267.400717684641	3370.5723292775065	2677.4954694501644	3990.5435003713706	4522.265944979554	7723.608514764806	11263.795535881889	14792.23560500931	18306.13449379638	20670.71721044694	19715.644103231574	22240.219974443837
1921.716195928085	2267.254686546095	3371.248137880603	2676.708799199861	3989.8423086396992	4522.527335707257	7722.792267193589	11263.711616995406	14791.446058717493	18307.603108703028	20682.81006914977	19724.569710535266	22237.498738977254
