16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.36406	0.3637	0.24258	0.36426	0.22416	0.1941	0.09718	0.0702	0.0526	0.04546	0.04016	0.04548	0.04006
0.3635	0.3642	0.24266	0.36384	0.224	0.19418	0.09716	0.07004	0.0526	0.0454	0.04016	0.04544	0.0401
0.3635	0.3636	0.24272	0.36386	0.22404	0.19412	0.09726	0.07016	0.05258	0.0454	0.04012	0.0455	0.04006
0.36404	0.364	0.2426	0.3641	0.22406	0.19418	0.09722	0.07016	0.05268	0.0455	0.0401	0.0455	0.0401
0.36358	0.36358	0.24278	0.36374	0.22404	0.19422	0.09732	0.07012	0.05262	0.04546	0.04008	0.04546	0.0401
0.36384	0.36374	0.24278	0.36406	0.22388	0.19404	0.09702	0.07	0.05272	0.04536	0.04008	0.04544	0.04012
0.36366	0.36378	0.24262	0.36382	0.22422	0.19414	0.09706	0.07024	0.05272	0.04552	0.04008	0.04554	0.04016
0.36368	0.36384	0.24286	0.3638	0.2239	0.19414	0.09722	0.07016	0.0527	0.04552	0.04018	0.0455	0.04008
0.36382	0.36356	0.24264	0.36402	0.22394	0.19424	0.09718	0.0702	0.05268	0.04556	0.0401	0.04536	0.04014
0.36356	0.36406	0.24264	0.36368	0.22408	0.19406	0.09708	0.07012	0.05268	0.04546	0.0401	0.04536	0.04014
0.3635	0.36382	0.24288	0.36394	0.22388	0.19424	0.09708	0.07016	0.0527	0.04544	0.04016	0.0455	0.0402
0.36382	0.3638	0.24244	0.3639	0.22418	0.19418	0.09728	0.07026	0.05274	0.04538	0.04024	0.04542	0.04008
0.36352	0.36368	0.2425	0.36386	0.22408	0.19416	0.0972	0.07006	0.05272	0.04542	0.04012	0.04542	0.04008
0.36384	0.36354	0.24264	0.36398	0.22406	0.19412	0.09722	0.07012	0.05262	0.0455	0.04004	0.0454	0.04012
0.36386	0.36416	0.24272	0.3637	0.22422	0.19432	0.09718	0.07006	0.05266	0.04552	0.04022	0.04552	0.04016
0.36368	0.36378	0.24284	0.364	0.22406	0.19418	0.09706	0.07008	0.05268	0.0455	0.04014	0.04552	0.04016
0.36378	0.3638	0.2428	0.36402	0.22414	0.19388	0.097	0.07018	0.05258	0.04554	0.04008	0.04548	0.0401
0.36362	0.36406	0.24262	0.36388	0.22396	0.19422	0.09706	0.07014	0.0527	0.04546	0.04018	0.04544	0.04006
0.36366	0.36386	0.24268	0.36408	0.2239	0.19418	0.09712	0.0701	0.05258	0.04534	0.04006	0.0454	0.0402
0.36404	0.3638	0.24282	0.36358	0.2242	0.19426	0.0973	0.0702	0.05266	0.04538	0.04022	0.04548	0.04012
0.36346	0.36384	0.24264	0.36368	0.22412	0.19412	0.09714	0.07018	0.0527	0.04536	0.04012	0.04544	0.04008
0.36376	0.36396	0.2425	0.36392	0.22396	0.19438	0.09712	0.07018	0.05256	0.0454	0.04014	0.04542	0.04016
0.36368	0.36382	0.24296	0.36382	0.224	0.19412	0.09716	0.07024	0.05264	0.04544	0.0401	0.04542	0.04006
0.36348	0.36374	0.2425	0.36402	0.22414	0.19416	0.09714	0.07018	0.05274	0.04554	0.04022	0.04542	0.04008
0.36378	0.36392	0.24294	0.36386	0.2241	0.19414	0.09712	0.0701	0.05266	0.04562	0.04006	0.04544	0.0401
0.36364	0.36386	0.24268	0.36394	0.22414	0.19406	0.09722	0.0702	0.05262	0.04542	0.0401	0.0455	0.04012
0.3637	0.364	0.24274	0.36406	0.22398	0.19406	0.09706	0.07014	0.05264	0.0455	0.04004	0.0455	0.04016
0.36392	0.3637	0.24266	0.36396	0.22422	0.19416	0.0971	0.07012	0.05264	0.04536	0.04012	0.04538	0.0401
0.36362	0.3639	0.24256	0.36374	0.22408	0.19444	0.0973	0.07008	0.05264	0.04548	0.04016	0.04538	0.04008
0.36406	0.3638	0.24276	0.36386	0.22408	0.19412	0.09702	0.07012	0.05264	0.04548	0.04012	0.04536	0.04006
