16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1094.3818283081055	1283.6264610290527	1182.502269744873	1835.3319396972654	1688.0026245117185	1659.1181488037112	1428.2348098754883	1383.9171524047854	1366.754470825195	1358.9890594482422	1355.743927001953	1560.4939453124998	1550.4721191406252
1094.977912902832	1284.5170593261719	1180.9024238586426	1835.6713714599607	1688.2150955200193	1659.9755630493164	1425.9426956176758	1386.3904724121094	1365.762680053711	1356.0828323364258	1352.3483047485352	1561.155712890625	1554.4215820312502
1094.565086364746	1284.947681427002	1182.3637962341309	1836.3071594238281	1687.4967956542966	1659.2827377319336	1425.7712631225586	1385.0516738891602	1365.4289245605466	1360.2885360717771	1354.523941040039	1559.6664062500001	1554.3534667968752
1095.0188064575198	1285.3710556030273	1182.242431640625	1835.306625366211	1687.2655105590823	1660.231636047363	1424.9393920898435	1384.2764739990234	1365.6727752685545	1359.7145919799802	1350.3957824707031	1558.9848144531247	1553.3825439453124
1094.4185066223145	1285.0823974609377	1181.4617538452148	1836.1627120971675	1689.646728515625	1660.7197036743162	1427.6615982055664	1384.2580261230466	1365.790901184082	1355.4066925048828	1352.8167343139648	1560.6327392578125	1554.1895507812503
1096.259880065918	1284.62646484375	1182.0169258117678	1834.7707901000977	1688.291130065918	1658.1586761474607	1427.6279296875	1386.3103179931638	1365.3014373779297	1358.1957778930664	1352.2410736083984	1558.8544189453123	1557.8312499999997
1094.665298461914	1284.4492340087893	1181.6865921020508	1835.4831619262695	1688.0516967773435	1661.0106124877932	1425.8736648559573	1384.244728088379	1365.4621810913084	1354.8379440307615	1351.391830444336	1561.4095947265623	1553.63779296875
1094.6187782287598	1285.362377166748	1181.7132377624512	1833.9093017578127	1688.4378433227537	1658.9640884399414	1426.0411834716797	1385.1173400878906	1363.4850769042969	1357.001449584961	1351.0970306396482	1559.956201171875	1558.110595703125
1094.2866325378418	1285.4496002197266	1182.1129608154297	1834.289360046387	1689.4636459350581	1659.2595520019531	1429.7512435913086	1383.4811782836916	1367.2624282836914	1355.09033203125	1350.5141830444336	1562.5821777343751	1554.3741943359378
1094.6186256408691	1285.548973083496	1181.6555786132812	1833.545310974121	1687.9617233276367	1658.8336715698242	1427.1317596435547	1383.509033203125	1365.6302947998045	1358.710578918457	1351.7530517578125	1560.2673828125	1554.4581787109378
1094.5594596862793	1285.614891052246	1181.8611145019531	1835.5302886962893	1688.3314819335935	1658.7825393676756	1425.4889831542969	1383.2807922363284	1365.2596664428713	1356.1141204833984	1353.0035018920898	1558.3253173828123	1553.3637207031252
1094.1279411315918	1285.2756881713867	1182.419776916504	1835.5343627929688	1688.8200988769527	1660.1263275146484	1425.3491821289062	1384.4787368774412	1367.9120864868164	1359.133735656738	1351.5625991821291	1559.5052978515628	1551.2317626953127
1094.5338439941406	1285.2095222473142	1180.887680053711	1835.3815841674805	1688.7241058349607	1660.6835174560547	1428.068161010742	1386.915916442871	1365.7023468017578	1359.4922103881836	1353.1743392944336	1558.2585693359374	1554.6416748046877
1094.6216201782227	1285.5422973632815	1182.1781158447266	1834.8605346679688	1688.9795608520508	1659.208854675293	1426.288513183594	1386.7407989501953	1363.8331604003904	1356.674789428711	1350.1078720092771	1562.0455322265625	1552.3723632812498
1095.0533866882324	1285.284366607666	1181.0827827453613	1835.1236572265625	1688.377830505371	1659.487907409668	1427.3371810913086	1385.789405822754	1368.1511535644531	1358.6436767578125	1350.4632110595703	1559.1260009765624	1555.4501464843752
1094.5600509643555	1285.6011199951172	1180.9195709228513	1835.714538574219	1689.013412475586	1659.447509765625	1428.423110961914	1384.9320373535156	1364.803527832031	1357.0774612426758	1353.0914840698242	1560.1631591796872	1554.6024902343752
1096.4173889160156	1285.3239250183103	1181.7037200927734	1834.824851989746	1690.049674987793	1660.5614089965818	1425.2179870605469	1384.6990585327148	1364.4972381591797	1354.5467147827146	1350.6238403320312	1557.6512207031249	1554.5390380859376
1095.3557014465332	1285.2388381958008	1182.1078491210938	1837.023193359375	1689.8277282714841	1659.411117553711	1424.5981521606445	1383.1320419311523	1367.3277740478516	1358.1188049316406	1350.8482818603516	1557.7334960937499	1550.9574951171876
1095.6286239624023	1285.136375427246	1181.475944519043	1835.2251663208008	1687.5947113037107	1658.3180236816406	1426.2521896362302	1384.3886489868162	1365.6993713378906	1356.4017562866209	1352.3437271118164	1563.857177734375	1554.8579589843753
1095.4314613342285	1284.3038177490232	1181.9371032714844	1836.0662841796873	1690.4460525512698	1659.4736709594727	1428.7215728759766	1384.3708877563477	1369.1589889526367	1356.1596908569334	1351.9827117919922	1561.2998779296875	1552.6601562499998
1095.5193138122559	1285.4389953613281	1181.9828414916992	1836.4074325561526	1689.3983688354492	1659.2017135620117	1427.4233093261719	1385.9061584472654	1364.8970489501953	1357.0664520263672	1349.232032775879	1561.9553955078125	1556.4713623046873
1096.0845565795898	1284.8540306091309	1180.6084251403809	1837.0351181030271	1688.6303100585935	1661.0051193237307	1425.355453491211	1386.3370056152344	1365.0920104980466	1357.4201431274414	1350.349411010742	1558.5363037109373	1552.5438720703123
1094.936752319336	1285.340938568115	1182.5925064086914	1836.5851364135742	1688.6049499511716	1658.3944015502927	1425.9113845825193	1384.466079711914	1364.1683807373047	1357.9591827392578	1355.2960052490234	1562.0854003906252	1554.4942138671875
1095.0185203552246	1285.4273986816406	1180.7697677612305	1836.0303268432617	1687.2826538085938	1659.4527740478516	1425.9022293090823	1384.986213684082	1364.1663665771484	1356.177177429199	1351.9388809204104	1561.1282226562498	1554.6894531250002
1094.5021247863767	1285.3364181518555	1181.0882568359375	1835.7290725708008	1687.754951477051	1660.8839263916016	1424.810302734375	1385.658805847168	1366.8064498901367	1357.1712341308594	1351.1899108886716	1561.0546875	1552.206787109375
1095.0307273864746	1285.1369667053223	1181.9695091247559	1835.4294204711916	1687.809310913086	1658.8226165771482	1428.0310821533203	1384.1466064453125	1366.4780273437498	1355.6485290527344	1353.2510833740234	1561.1537353515625	1557.345458984375
1094.167709350586	1285.2983093261719	1181.9331169128418	1836.2677688598633	1687.7658233642578	1660.4241027832031	1426.1120681762698	1384.8307800292969	1366.1290283203125	1355.2251663208006	1353.6219635009766	1558.560107421875	1551.0591064453124
1095.2488327026367	1284.6906471252441	1181.6741180419922	1833.5157165527341	1687.3398742675781	1659.2158813476565	1425.1736755371094	1385.4239044189453	1367.3810348510744	1356.9404296875	1351.0033264160156	1559.927587890625	1552.9997314453124
1093.839511871338	1285.4014015197752	1182.611713409424	1834.9665298461916	1688.1005401611328	1661.4703216552734	1424.8278121948242	1383.9805526733398	1364.6744842529297	1355.6152496337888	1354.5604705810545	1558.5962890625	1551.362353515625
1093.8726806640627	1285.266857147217	1181.2426567077637	1834.5579757690432	1687.6421813964841	1659.9848098754885	1425.980598449707	1383.225975036621	1364.306739807129	1355.6227569580078	1353.149070739746	1558.7643798828124	1552.4277832031248
