16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.48482	0.4848	0.29824	0.48488	0.29858	0.25858	0.12942	0.08618	0.0646	0.0518	0.04582	0.0519	0.04582
0.48444	0.48468	0.29832	0.48496	0.29844	0.25886	0.12932	0.08634	0.06476	0.05194	0.04576	0.05178	0.04572
0.4849	0.48486	0.29828	0.48488	0.29848	0.25892	0.12914	0.08626	0.06472	0.05184	0.0458	0.05186	0.04576
0.48454	0.4847	0.2983	0.485	0.29856	0.25854	0.12932	0.08626	0.0648	0.05186	0.04574	0.05176	0.04574
0.48486	0.48488	0.2983	0.4849	0.29862	0.25852	0.1293	0.08618	0.0647	0.0518	0.04572	0.05186	0.0457
0.48472	0.48468	0.29816	0.4848	0.2985	0.25894	0.12952	0.08622	0.06468	0.05188	0.04574	0.05188	0.0458
0.48494	0.48512	0.29822	0.4851	0.29854	0.259	0.1295	0.0862	0.06466	0.05182	0.0457	0.05188	0.04582
0.48456	0.48464	0.29812	0.485	0.29836	0.2589	0.12936	0.0862	0.06476	0.05194	0.04578	0.05186	0.04574
0.4851	0.48494	0.29818	0.48492	0.29832	0.25864	0.1293	0.0862	0.06468	0.05178	0.04582	0.05184	0.04574
0.4846	0.48462	0.29812	0.4849	0.29876	0.25856	0.12944	0.0863	0.06466	0.0518	0.0458	0.05196	0.04582
0.48472	0.48476	0.29824	0.48484	0.29816	0.25882	0.1293	0.08632	0.0647	0.0518	0.04576	0.05182	0.04572
0.48442	0.48446	0.29814	0.48476	0.29858	0.25852	0.12932	0.08618	0.06464	0.05182	0.04572	0.0518	0.04576
0.48482	0.4848	0.29814	0.48512	0.2985	0.25848	0.12936	0.08622	0.06478	0.0519	0.04574	0.05174	0.04576
0.4844	0.48466	0.2982	0.4849	0.29866	0.25894	0.12922	0.08622	0.06472	0.052	0.04572	0.05178	0.0457
0.48504	0.48482	0.29816	0.48486	0.29882	0.25888	0.1293	0.0861	0.06482	0.05188	0.0458	0.05186	0.04574
0.48456	0.48482	0.29836	0.4849	0.29862	0.2589	0.12938	0.0863	0.06474	0.05182	0.04588	0.05174	0.04588
0.48486	0.48462	0.2983	0.48488	0.29846	0.25858	0.12942	0.08626	0.06474	0.05186	0.04576	0.05186	0.04576
0.48474	0.4849	0.2982	0.48488	0.29828	0.25874	0.1292	0.08622	0.06468	0.0519	0.04574	0.05188	0.04576
0.48492	0.48486	0.2983	0.4849	0.29826	0.25892	0.12926	0.08612	0.06466	0.05176	0.04574	0.0519	0.04578
0.48456	0.48472	0.29806	0.48508	0.29864	0.25872	0.12946	0.08628	0.0646	0.05176	0.0458	0.0518	0.04578
0.48484	0.48488	0.29838	0.48478	0.29848	0.25848	0.12932	0.08638	0.0647	0.05192	0.0459	0.05186	0.04574
0.48472	0.48438	0.29828	0.48506	0.29866	0.25908	0.12938	0.08614	0.06466	0.05182	0.04576	0.05182	0.04572
0.48472	0.48434	0.29808	0.48482	0.29844	0.25868	0.12942	0.0864	0.06466	0.0518	0.0458	0.05194	0.04572
0.48468	0.48468	0.29862	0.48476	0.29878	0.25876	0.1293	0.08624	0.06472	0.05184	0.04586	0.0519	0.04568
0.48482	0.48434	0.29826	0.48492	0.29842	0.25888	0.1296	0.08622	0.06462	0.05178	0.04572	0.05178	0.04582
0.48454	0.48482	0.29802	0.48502	0.29826	0.25874	0.12944	0.08614	0.06466	0.05178	0.04568	0.05188	0.04582
0.4849	0.48454	0.2981	0.48488	0.29858	0.25884	0.12924	0.08614	0.06472	0.0518	0.04578	0.05192	0.04582
0.48464	0.48488	0.29834	0.48508	0.29854	0.25864	0.12946	0.08624	0.06478	0.05176	0.04578	0.05186	0.04582
0.48502	0.48482	0.29808	0.48482	0.29856	0.25848	0.12948	0.08618	0.0648	0.05184	0.04576	0.05184	0.04574
0.4848	0.48506	0.29812	0.48514	0.2985	0.25908	0.1294	0.08632	0.0647	0.05178	0.04582	0.05186	0.04578
