16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.3031	0.30316	0.2612	0.30376	0.1871	0.16192	0.08102	0.07564	0.05682	0.05838	0.05158	0.05842	0.05162
0.30306	0.30302	0.26128	0.30358	0.18674	0.16188	0.08108	0.0755	0.05672	0.05834	0.05156	0.0584	0.05156
0.30308	0.30324	0.26124	0.30352	0.18682	0.16206	0.08102	0.07564	0.05674	0.0583	0.05152	0.05834	0.05154
0.30296	0.30306	0.2612	0.3034	0.18674	0.16192	0.08092	0.0757	0.0568	0.05842	0.05162	0.05834	0.05148
0.30312	0.30304	0.2616	0.30398	0.1867	0.16178	0.08094	0.0757	0.05676	0.0584	0.05148	0.05842	0.05158
0.30314	0.30318	0.26116	0.30356	0.1868	0.16186	0.08098	0.0756	0.0567	0.05832	0.05162	0.0583	0.0515
0.30288	0.30324	0.26142	0.30382	0.18644	0.16196	0.08098	0.07566	0.05668	0.05844	0.05152	0.05842	0.05158
0.30302	0.30298	0.2613	0.3034	0.18678	0.1618	0.08108	0.07568	0.0567	0.0583	0.05164	0.05846	0.05152
0.30296	0.30324	0.26136	0.30346	0.18678	0.16198	0.081	0.07554	0.05672	0.0584	0.05156	0.05846	0.05148
0.30296	0.30326	0.26148	0.30362	0.1868	0.16188	0.08098	0.07556	0.0568	0.05838	0.0516	0.05832	0.0516
0.30312	0.30308	0.26128	0.30326	0.1867	0.16168	0.08102	0.07566	0.05682	0.05838	0.05156	0.05842	0.05158
0.30328	0.3033	0.26096	0.30348	0.18688	0.1618	0.08104	0.0757	0.05678	0.05834	0.0516	0.05848	0.05158
0.30284	0.30326	0.26144	0.30346	0.18708	0.16202	0.08094	0.07562	0.05682	0.0583	0.0517	0.0583	0.05154
0.30294	0.30326	0.26114	0.30332	0.18674	0.16182	0.08092	0.0757	0.05674	0.05854	0.05156	0.0584	0.0515
0.30314	0.30324	0.26128	0.30364	0.18672	0.1619	0.0809	0.0756	0.05666	0.0584	0.05156	0.05836	0.05154
0.30298	0.30302	0.26146	0.30358	0.1868	0.16178	0.081	0.07564	0.05682	0.05848	0.0516	0.05844	0.0515
0.30298	0.30314	0.26112	0.30356	0.18688	0.16176	0.081	0.07564	0.05686	0.0584	0.05156	0.05832	0.05146
0.30314	0.30322	0.2612	0.30328	0.18654	0.16186	0.081	0.07564	0.05676	0.0583	0.05152	0.05844	0.0516
0.30284	0.30288	0.26154	0.30332	0.18672	0.16204	0.08104	0.0757	0.05676	0.05846	0.05152	0.05838	0.05162
0.3031	0.30316	0.261	0.3037	0.18692	0.16194	0.08108	0.07568	0.05682	0.05836	0.0515	0.05838	0.05148
0.30318	0.30338	0.2615	0.30322	0.18674	0.16184	0.0809	0.0757	0.0568	0.05832	0.05152	0.0585	0.0517
0.30292	0.3031	0.26132	0.30346	0.18678	0.16196	0.08098	0.07568	0.05672	0.0583	0.05146	0.05832	0.05158
0.30298	0.30304	0.26118	0.30356	0.18678	0.16188	0.08104	0.07576	0.05674	0.05836	0.05152	0.0584	0.05156
0.30316	0.30326	0.2614	0.30368	0.18688	0.16192	0.08096	0.07566	0.0567	0.05842	0.0515	0.0583	0.0515
0.30302	0.30314	0.26122	0.30352	0.18672	0.1618	0.08122	0.07554	0.05682	0.0583	0.05166	0.0585	0.05164
0.30288	0.3031	0.2613	0.30354	0.18664	0.16198	0.08088	0.07558	0.05684	0.05844	0.05162	0.05834	0.05152
0.30314	0.30338	0.26166	0.30356	0.187	0.16194	0.08098	0.0756	0.05672	0.05844	0.05162	0.0584	0.05158
0.30286	0.30308	0.26134	0.30382	0.18672	0.16188	0.08092	0.07564	0.05668	0.0583	0.05154	0.05834	0.05158
0.30292	0.30324	0.26122	0.30352	0.18654	0.16174	0.081	0.07564	0.05682	0.05836	0.05156	0.05842	0.05158
0.3031	0.3032	0.26136	0.3035	0.18686	0.16202	0.08104	0.0756	0.05678	0.05834	0.05162	0.05848	0.0516
