16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2490.694790317933	2824.1145890052467	4240.640515555395	3390.362222816565	5119.209567548224	5821.8594873064985	10270.60214058668	14624.14186350223	19689.229566519814	24513.29330969854	27669.6114944649	25572.245411327403	29674.74011599479
2548.147144884166	2855.231093101376	4226.024829017926	3365.7503927290495	5117.750990067762	5817.60868082401	10261.771711842313	14806.26936540586	19107.380897465737	23748.92451813007	26841.875085559346	25827.013455904445	28789.43640954496
2528.764100606614	2879.7416546080826	4277.033733336056	3341.19903751764	5117.536331238825	5819.056528119224	10249.43718109018	14673.757060063643	19592.08786048233	23952.009053247883	27518.066146277586	26004.752573530295	29453.166680083632
2468.6010088095554	2881.022043961261	4251.77004897574	3319.1946111147918	5081.440527033967	5776.185609608513	10191.998418360025	15015.111529906415	19698.391544383463	24481.974642700945	27575.416644469493	26124.69413063743	29588.725831773547
2516.2422902610524	2897.1268556298987	4184.8948928761065	3362.107877918861	5090.326898361538	5785.11070857212	10202.125258046419	14787.872941062666	19497.936261939907	24240.381818793638	27267.89999506615	26100.842645563233	29269.61226715683
2500.3192621344774	2850.833639046207	4265.313030451827	3394.4653738190555	5024.0213754793895	5710.710521739503	10063.466990565901	14725.937013657805	19630.105315846566	23876.7342200646	27504.426831148325	26032.384549077666	29468.61535207049
2514.4448628994332	2841.4872869963256	4225.200191914033	3327.4226893117493	5032.108264417573	5718.717184445599	10086.471506917298	14708.398009193013	19375.33153460612	23971.118856706547	27124.700898002568	25861.670359850075	29129.475313698633
2477.0459628176004	2898.520144304657	4229.887329964898	3378.9017043789513	5032.674059354845	5719.220716382358	10085.62650875361	14786.73332541652	19169.5854743792	23715.446270654476	26835.345225051722	25862.74076565146	28777.85864393635
2513.463119667094	2807.7475255048726	4236.572457585141	3315.091518246916	5022.486876460975	5716.257155435012	10075.513468965812	14705.447797422055	19661.01315997985	23988.224071718258	27531.08581904753	26024.680087811095	29470.24410391053
2472.1196989323294	2885.3135432125846	4227.02514638628	3358.26043403243	5110.015758889259	5809.168445282416	10237.93496725916	15021.040699618581	19672.95547492872	24476.313180946894	27573.51852756548	26127.621109928445	29569.598682395612
2506.821204198522	2842.041248299122	4208.893604474525	3330.499146160207	5093.703054211232	5794.6572444590065	10207.390514688064	14777.07220612305	19500.04229991894	24230.325733957114	27307.721048281997	26127.712336294055	29285.095368384653
2530.1440043506404	2823.0174131798167	4267.144938667513	3344.914893195203	5076.767226743142	5775.5982706680625	10179.99425952407	14728.882112038189	19631.674439888302	23878.79537321293	27491.285474083037	26031.137172180814	29455.455232795568
2475.0616085564725	2828.268531288341	4253.457015461664	3384.763144227261	5102.115373082937	5805.529886655538	10226.908323948472	14699.417841672368	19365.19386377818	23962.87730636409	27099.0228553544	25879.613890401855	29081.343279024062
