16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.30294	0.30302	0.1868	0.30304	0.18666	0.16172	0.08122	0.05408	0.04054	0.0325	0.0288	0.03252	0.0287
0.30286	0.30304	0.18686	0.30318	0.1867	0.16182	0.08106	0.05414	0.04068	0.0325	0.02874	0.03254	0.02876
0.3032	0.3031	0.18658	0.30352	0.18676	0.1622	0.0811	0.0542	0.04062	0.0326	0.02872	0.03256	0.02874
0.30304	0.3031	0.18668	0.30308	0.18684	0.1618	0.081	0.05416	0.04064	0.03262	0.02878	0.03248	0.0288
0.30296	0.30306	0.18672	0.30326	0.1866	0.16174	0.08118	0.05412	0.04066	0.03262	0.02872	0.03262	0.0288
0.30324	0.30322	0.1868	0.30332	0.18676	0.1619	0.0811	0.0542	0.04064	0.03262	0.0288	0.03256	0.02876
0.30314	0.30296	0.18668	0.3031	0.18674	0.16196	0.08112	0.05408	0.04068	0.03264	0.0288	0.03256	0.02874
0.30298	0.30324	0.18662	0.30332	0.18674	0.1619	0.08106	0.05414	0.04064	0.03254	0.02876	0.03268	0.0288
0.3032	0.30332	0.18674	0.3034	0.18678	0.16202	0.08092	0.0541	0.04058	0.03252	0.0288	0.03254	0.02874
0.30304	0.30292	0.18654	0.3032	0.18696	0.16204	0.08098	0.05416	0.04064	0.03254	0.02878	0.03254	0.02876
0.30286	0.30322	0.18646	0.30328	0.18662	0.16182	0.081	0.05412	0.0406	0.03252	0.02886	0.03258	0.02878
0.30322	0.30296	0.18678	0.30334	0.18666	0.16166	0.08098	0.05424	0.04056	0.03262	0.02878	0.03254	0.02874
0.30288	0.30292	0.1868	0.30312	0.18664	0.16176	0.08108	0.05414	0.04058	0.03262	0.02876	0.0325	0.02882
0.30298	0.30302	0.18668	0.30326	0.18656	0.16186	0.08108	0.05412	0.04056	0.03256	0.02878	0.0325	0.0288
0.3032	0.3031	0.18692	0.30338	0.18674	0.16192	0.08108	0.0541	0.0406	0.03262	0.02874	0.0326	0.0288
0.30292	0.30312	0.18672	0.30308	0.18664	0.16176	0.08112	0.05422	0.04058	0.03262	0.02886	0.03262	0.0288
0.3031	0.30324	0.18674	0.30318	0.18708	0.16162	0.08114	0.05406	0.04062	0.03262	0.02872	0.03266	0.02874
0.30306	0.30322	0.18656	0.30316	0.1869	0.16196	0.08122	0.05406	0.04064	0.03256	0.0288	0.0327	0.02894
0.30338	0.30306	0.18664	0.30322	0.1867	0.16206	0.08106	0.0541	0.04066	0.03264	0.02874	0.03256	0.02878
0.30308	0.30308	0.18692	0.3034	0.1867	0.16174	0.0811	0.05422	0.04062	0.0326	0.02888	0.03254	0.02872
0.30302	0.30316	0.1866	0.3031	0.1868	0.16186	0.08098	0.05412	0.04058	0.03252	0.02878	0.03252	0.02882
0.30308	0.3032	0.18676	0.30304	0.1869	0.1619	0.08102	0.0541	0.04056	0.03256	0.02888	0.0326	0.02886
0.303	0.30318	0.18672	0.30318	0.18662	0.16196	0.08106	0.05424	0.0406	0.03256	0.02878	0.03264	0.02882
0.30302	0.3031	0.1867	0.30312	0.1868	0.16172	0.08112	0.0541	0.04066	0.03256	0.0288	0.03264	0.02882
0.30306	0.303	0.18664	0.30322	0.1868	0.16172	0.08108	0.05402	0.04066	0.03264	0.02874	0.03258	0.0288
0.30304	0.30344	0.18672	0.3032	0.18644	0.162	0.08112	0.05418	0.0406	0.03258	0.0288	0.0326	0.02878
0.30294	0.30298	0.18698	0.30324	0.18674	0.1619	0.08094	0.05416	0.0407	0.0325	0.02876	0.03264	0.0288
0.30286	0.3032	0.18666	0.30302	0.18692	0.16176	0.08112	0.05408	0.04062	0.0325	0.0288	0.03254	0.02878
0.3032	0.3032	0.18654	0.30316	0.18666	0.16182	0.0811	0.05412	0.04062	0.03262	0.02878	0.03256	0.02882
0.303	0.30296	0.18668	0.30312	0.18658	0.16184	0.0811	0.05412	0.0407	0.03256	0.02878	0.03248	0.02886
