16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.20578	0.20566	0.15656	0.20566	0.12652	0.1098	0.05504	0.0452	0.03402	0.03278	0.02888	0.0329	0.02892
0.20554	0.20568	0.15664	0.2058	0.12668	0.10984	0.05488	0.04534	0.03402	0.03272	0.02888	0.03276	0.02892
0.20572	0.20582	0.15668	0.20592	0.12658	0.1098	0.05492	0.04534	0.03402	0.03284	0.02892	0.03278	0.0289
0.20588	0.20576	0.1565	0.20584	0.12682	0.10984	0.05506	0.04534	0.03404	0.0328	0.02896	0.03272	0.02908
0.2057	0.20576	0.15664	0.20576	0.1268	0.10988	0.05492	0.04528	0.03408	0.0328	0.02892	0.03272	0.02896
0.20562	0.20568	0.1566	0.20576	0.1269	0.10978	0.05492	0.04532	0.03416	0.03274	0.02896	0.03278	0.0289
0.20564	0.20592	0.15656	0.2059	0.12658	0.10976	0.05488	0.0453	0.03402	0.03272	0.02904	0.03274	0.02892
0.2058	0.20584	0.15662	0.20586	0.12662	0.10984	0.05502	0.04532	0.03402	0.03272	0.0289	0.03278	0.02892
0.20578	0.2057	0.15658	0.2056	0.1268	0.10984	0.05496	0.04526	0.03396	0.0328	0.02892	0.03272	0.02892
0.2057	0.20594	0.1565	0.20574	0.12682	0.10966	0.05502	0.04524	0.03398	0.03278	0.02886	0.0328	0.0289
0.2057	0.20586	0.15672	0.20584	0.12682	0.10976	0.055	0.0453	0.03398	0.03276	0.02888	0.03276	0.02892
0.20572	0.20574	0.15682	0.2058	0.12674	0.10978	0.05496	0.04536	0.03398	0.03276	0.02888	0.03288	0.02888
0.20578	0.20566	0.15668	0.20574	0.1268	0.10992	0.05496	0.04524	0.03404	0.03276	0.02892	0.03274	0.02888
0.2057	0.20568	0.15666	0.20568	0.12678	0.10994	0.05488	0.04532	0.0341	0.03276	0.02898	0.03276	0.02888
0.20578	0.20584	0.15682	0.20582	0.12664	0.10978	0.05486	0.04528	0.03404	0.03276	0.02888	0.03282	0.02888
0.20572	0.20588	0.15672	0.20598	0.12674	0.10984	0.05492	0.04534	0.03414	0.03278	0.02896	0.03272	0.02894
0.2058	0.2057	0.1566	0.20576	0.12662	0.1099	0.05498	0.0453	0.034	0.03274	0.02894	0.03274	0.0289
0.20554	0.20564	0.15666	0.20566	0.12688	0.1098	0.05494	0.04536	0.03396	0.03272	0.02892	0.03282	0.0289
0.20564	0.20566	0.15686	0.2059	0.12668	0.10978	0.05494	0.04524	0.03396	0.03276	0.02894	0.03278	0.02896
0.20576	0.20594	0.15676	0.20588	0.1268	0.10986	0.05488	0.04528	0.03398	0.03274	0.02886	0.03282	0.02892
0.20564	0.20562	0.15654	0.20572	0.12674	0.10988	0.05488	0.04534	0.03396	0.03278	0.02892	0.03272	0.02888
0.20572	0.2057	0.15662	0.2057	0.12668	0.10994	0.05496	0.04534	0.034	0.0328	0.029	0.03276	0.02896
0.20588	0.20568	0.15674	0.20576	0.12686	0.10982	0.05506	0.04536	0.03414	0.03268	0.02896	0.03276	0.02888
0.2058	0.2059	0.15672	0.2058	0.12676	0.10992	0.05488	0.04536	0.03408	0.03278	0.02896	0.0328	0.0289
0.2056	0.20582	0.15656	0.20566	0.1267	0.10984	0.05498	0.04528	0.03414	0.03274	0.02894	0.03274	0.02898
0.2057	0.2056	0.15646	0.20576	0.12664	0.10968	0.0549	0.0453	0.0341	0.03278	0.02896	0.0327	0.02896
0.2058	0.20574	0.15676	0.20566	0.12684	0.10968	0.05506	0.04528	0.03406	0.03272	0.02892	0.03272	0.02898
0.20578	0.2058	0.15678	0.20586	0.1267	0.11002	0.05506	0.04536	0.034	0.03272	0.02894	0.03286	0.0289
0.20564	0.20576	0.1566	0.20582	0.12668	0.1098	0.05492	0.04532	0.03408	0.03274	0.02894	0.03272	0.02892
0.20556	0.2057	0.15682	0.20582	0.12658	0.10986	0.05504	0.04538	0.03408	0.03276	0.02892	0.0327	0.02892
