16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
574.8786926269532	668.5482025146483	616.6332626342773	959.015396118164	886.985870361328	874.1644363403321	758.4005126953124	739.11678314209	730.7797393798828	723.2232971191405	721.8761901855469	830.8914794921876	829.729248046875
574.511013031006	668.6730384826659	615.6573867797852	958.6937942504883	886.9772186279297	873.6766433715819	758.3507080078124	739.2617340087891	730.3966140747069	724.0050201416014	722.2090301513672	832.9530029296875	827.787744140625
574.8349571228027	669.2471504211425	616.6239166259766	958.5768356323241	887.0051879882812	873.9980392456055	757.7597579956054	737.7669525146484	728.6388931274413	724.7258605957031	721.0624237060547	832.630615234375	828.3759033203125
575.3949737548829	669.1711425781251	617.1260833740234	958.6882553100586	886.4019012451171	873.5629348754883	756.6621780395507	738.9824523925782	729.7685165405273	723.5268630981444	724.1794967651367	830.6648681640626	828.6635009765624
575.3988456726074	668.6865234375	616.0875701904297	959.6498336791992	887.5315475463867	873.1273498535156	758.0475997924805	737.8548660278319	731.8370361328125	724.266357421875	724.7078704833984	832.4955322265624	829.7390136718751
574.6933937072754	669.2529678344727	616.3570022583008	959.6153640747069	887.078109741211	873.5440063476562	757.4769744873047	740.1229705810546	731.1014099121094	724.9422454833984	722.711311340332	834.311083984375	827.8706542968752
575.107421875	668.5176467895509	615.9082984924316	959.312919616699	885.988311767578	873.1915740966797	758.2607803344725	739.4076232910156	730.0634078979492	723.1532363891602	722.2950668334961	832.3018798828125	832.5899169921875
574.9163818359375	669.1305923461914	616.6137504577637	957.7382812499999	886.7950286865233	873.4216918945311	758.5342254638672	739.4516830444336	730.6219024658203	723.339958190918	722.8208084106446	834.3988525390625	831.2263916015625
574.7530746459961	669.2021369934082	616.4386177062988	957.5793685913086	887.9714584350587	873.3322448730469	758.1805801391602	738.0594406127929	730.3159561157227	724.5384063720702	720.2272567749023	830.6221923828125	827.1351806640624
575.2969169616699	668.5079383850097	616.5803146362305	958.424949645996	886.6431884765624	873.5267257690427	758.4847412109375	737.7100982666014	731.7866363525391	724.235481262207	720.3479919433594	835.7350585937501	828.339599609375
