16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.27188	0.27168	0.16736	0.27198	0.1674	0.14516	0.0726	0.04846	0.03638	0.02912	0.02574	0.02912	0.02576
0.27172	0.27168	0.16712	0.27194	0.16738	0.14506	0.0726	0.04848	0.03638	0.02916	0.02574	0.02914	0.0257
0.27172	0.27196	0.16732	0.27186	0.16738	0.14518	0.07254	0.04838	0.0363	0.02918	0.02572	0.02916	0.02572
0.272	0.27194	0.16748	0.27186	0.16726	0.14512	0.07246	0.04846	0.03632	0.02912	0.0258	0.02908	0.02574
0.27188	0.27176	0.16724	0.2722	0.1675	0.14502	0.07258	0.04838	0.03646	0.02914	0.02584	0.02916	0.02576
0.27168	0.27204	0.16728	0.27218	0.16742	0.1451	0.0725	0.04854	0.0364	0.0292	0.02576	0.02922	0.02572
0.27194	0.27182	0.1672	0.27212	0.1672	0.1451	0.0726	0.04846	0.03636	0.0291	0.02574	0.02916	0.02584
0.27196	0.2719	0.16736	0.2718	0.16732	0.14506	0.07262	0.0485	0.03638	0.0291	0.02576	0.02922	0.0258
0.2716	0.27204	0.16726	0.27184	0.1675	0.14504	0.07256	0.0484	0.03638	0.02916	0.02568	0.02908	0.02568
0.27186	0.2719	0.1673	0.27196	0.16734	0.14508	0.0726	0.04838	0.03644	0.02914	0.0257	0.02928	0.02572
0.27198	0.27172	0.16716	0.27214	0.16758	0.14512	0.07256	0.04846	0.0363	0.0292	0.02578	0.0291	0.02574
0.27174	0.27182	0.16718	0.27184	0.16736	0.14524	0.07252	0.0484	0.03644	0.0291	0.02574	0.02914	0.0257
0.27184	0.2721	0.16728	0.27188	0.16736	0.14508	0.07252	0.04858	0.03636	0.02914	0.02574	0.02918	0.02578
0.27174	0.27182	0.16722	0.2722	0.16752	0.1452	0.07246	0.04834	0.03634	0.0291	0.02574	0.0291	0.02576
0.2717	0.27184	0.1672	0.27184	0.16734	0.14508	0.07256	0.04844	0.03632	0.02916	0.02576	0.02912	0.0258
0.27176	0.2721	0.16726	0.27178	0.16728	0.14502	0.0726	0.04838	0.03638	0.02916	0.02576	0.02914	0.02572
0.27196	0.27196	0.16736	0.27202	0.1676	0.14512	0.07268	0.04852	0.03626	0.02916	0.0257	0.0291	0.0258
0.2717	0.27202	0.16726	0.27188	0.16746	0.14502	0.0726	0.04838	0.03632	0.02912	0.02574	0.02918	0.02574
0.27176	0.27192	0.1674	0.27204	0.1674	0.14512	0.07252	0.0484	0.03628	0.02916	0.02572	0.02914	0.02574
0.27188	0.27188	0.16722	0.27206	0.1673	0.1452	0.0725	0.04844	0.03638	0.02912	0.02568	0.0291	0.02574
0.2716	0.2719	0.16732	0.27194	0.16732	0.14516	0.07254	0.04842	0.03638	0.02912	0.02572	0.02926	0.02574
0.27168	0.2721	0.16714	0.27182	0.16734	0.14502	0.07278	0.04836	0.03632	0.02912	0.02572	0.02926	0.02572
0.2718	0.2718	0.16734	0.27182	0.16744	0.145	0.07264	0.04844	0.0363	0.02912	0.02568	0.0291	0.02578
0.27172	0.2719	0.16738	0.27194	0.1674	0.14498	0.07258	0.04848	0.03628	0.02926	0.02576	0.0291	0.02582
0.2719	0.27182	0.1673	0.27198	0.1673	0.14512	0.07254	0.04858	0.03638	0.02922	0.0257	0.02918	0.02576
0.2719	0.27172	0.16756	0.27186	0.16732	0.1452	0.07258	0.04852	0.0363	0.0291	0.02578	0.0291	0.02572
0.27172	0.27202	0.1674	0.27204	0.16744	0.14504	0.07248	0.0484	0.03636	0.02914	0.02574	0.0291	0.02572
0.27194	0.27212	0.16732	0.27208	0.16738	0.145	0.0725	0.04846	0.03634	0.0291	0.0257	0.02918	0.0257
0.27164	0.27172	0.16728	0.27188	0.16742	0.1451	0.0727	0.04834	0.03632	0.02912	0.0258	0.02918	0.0258
0.27196	0.27196	0.16726	0.272	0.16732	0.14518	0.0727	0.0484	0.03636	0.02912	0.02572	0.02914	0.02576
