16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.39662	0.39684	0.2442	0.39694	0.24428	0.21166	0.10574	0.07068	0.053	0.04248	0.03744	0.0424	0.03744
0.39672	0.39694	0.24426	0.39724	0.24434	0.21196	0.10578	0.07076	0.05294	0.0426	0.03746	0.04254	0.03746
0.39708	0.39696	0.24408	0.3969	0.2442	0.21182	0.10582	0.0706	0.05296	0.04256	0.03758	0.04246	0.03744
0.39682	0.39678	0.24426	0.39686	0.24404	0.21176	0.1058	0.07064	0.05302	0.04242	0.03746	0.04238	0.03746
0.39722	0.3967	0.24412	0.3971	0.24432	0.21182	0.1059	0.07042	0.05298	0.0425	0.03744	0.04248	0.03744
0.39654	0.39698	0.24428	0.39694	0.24414	0.21164	0.10584	0.07056	0.05294	0.04248	0.03736	0.04254	0.03748
0.39702	0.39668	0.24404	0.397	0.24446	0.21166	0.10588	0.07056	0.05304	0.04248	0.0375	0.04242	0.03746
0.39668	0.39682	0.24418	0.39688	0.24434	0.21176	0.10608	0.07058	0.05292	0.04242	0.03754	0.04244	0.03746
0.3969	0.39696	0.24432	0.39692	0.24416	0.2116	0.10602	0.0706	0.05292	0.04252	0.03744	0.0425	0.03746
0.39668	0.39656	0.24402	0.3971	0.24454	0.21182	0.10584	0.07066	0.05298	0.0424	0.03738	0.04258	0.03748
0.39652	0.397	0.2441	0.39704	0.24446	0.2119	0.1059	0.07066	0.05292	0.0424	0.03758	0.04248	0.03752
0.39684	0.3968	0.2442	0.39704	0.24432	0.21172	0.10584	0.07054	0.05288	0.04238	0.03746	0.0424	0.03748
0.39668	0.3969	0.24426	0.3968	0.24418	0.21182	0.10576	0.07056	0.05288	0.04244	0.03744	0.04244	0.03742
0.3968	0.39686	0.2442	0.39712	0.2444	0.21148	0.10602	0.07068	0.05294	0.04242	0.03752	0.04252	0.0376
0.39674	0.3969	0.24414	0.39676	0.24428	0.2115	0.10594	0.0707	0.05302	0.04262	0.03744	0.04238	0.03748
0.39676	0.39656	0.2441	0.39696	0.24422	0.21168	0.10604	0.07064	0.05296	0.04256	0.0375	0.0424	0.03754
0.39674	0.39664	0.244	0.39696	0.24422	0.21152	0.10586	0.0706	0.05304	0.04246	0.03746	0.04252	0.03738
0.39658	0.39702	0.24412	0.3969	0.24446	0.21194	0.10592	0.07068	0.05296	0.0424	0.03746	0.04246	0.03754
0.39696	0.39666	0.2441	0.3971	0.24432	0.21166	0.10594	0.07072	0.05294	0.04236	0.0375	0.04248	0.03758
0.39666	0.39666	0.24398	0.39678	0.24426	0.21168	0.106	0.07066	0.05302	0.04254	0.03762	0.04242	0.03748
0.39656	0.39688	0.24424	0.39692	0.24418	0.21178	0.10586	0.07054	0.05296	0.04242	0.03748	0.0424	0.03748
0.39684	0.39646	0.24424	0.39696	0.24432	0.21172	0.10584	0.0705	0.0531	0.04248	0.03744	0.04244	0.03744
0.39662	0.39704	0.24406	0.39702	0.2444	0.2118	0.10596	0.07074	0.053	0.04246	0.03746	0.04258	0.03748
0.39656	0.39658	0.24414	0.39696	0.24418	0.21164	0.10608	0.07058	0.05298	0.04242	0.03748	0.04242	0.03748
0.39668	0.39664	0.24416	0.39662	0.24436	0.21176	0.10596	0.07062	0.05302	0.04244	0.03744	0.04238	0.03742
0.39666	0.39698	0.24418	0.39716	0.24424	0.21176	0.10594	0.07056	0.053	0.04244	0.03746	0.04258	0.03754
0.39694	0.3966	0.2442	0.39686	0.2442	0.21154	0.1061	0.07066	0.053	0.04238	0.0374	0.04244	0.03746
0.39648	0.39688	0.24402	0.39692	0.24442	0.21166	0.10598	0.0706	0.05296	0.04246	0.0375	0.04246	0.03742
0.39678	0.39676	0.2442	0.39706	0.2442	0.21158	0.106	0.0705	0.05298	0.04242	0.03748	0.04244	0.03742
0.3965	0.39696	0.24428	0.3966	0.24422	0.21168	0.10596	0.07054	0.05286	0.0424	0.03742	0.04252	0.03756
