16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2231.619469761271	2580.5781485091093	3864.593356458699	3086.2596470410076	4642.374958886592	5265.323380778606	9203.609966096425	13049.54579223095	17014.06247353967	20897.24303982782	23095.76416015625	21896.369020703813	24941.207885742188
2276.642449645503	2610.4234880016697	3875.921416002893	3095.7779765416803	4652.656197081644	5287.380590252969	9137.283800617524	13032.18122114215	17151.671786640967	20794.009485988754	23229.00106036474	22205.148424421037	25159.84363243228
2263.011190454616	2615.2628482205914	3895.0443267822266	3112.2791555278327	4673.625351092137	5302.597494686351	9205.948351398774	13107.548772761253	17046.961673470432	20829.90416398285	23416.949100181704	22421.342863453378	25075.782775878906
2258.3578782559985	2602.627928654673	3868.6346447498927	3092.7289214276384	4652.064347049559	5285.169985201266	9139.454329402935	13102.459696541846	17126.127730968386	20588.670458112443	23519.039154052734	22422.722890867408	25355.749983128495
2268.610940418644	2579.0404351270554	3879.9435484643077	3080.1217338555853	4649.6075058479455	5287.746051410297	9163.679476983532	13114.937601635635	17159.92772301962	20696.74823301058	23418.203476936586	22146.708528760453	24891.17431640625
2247.411330412586	2589.3089651868877	3883.9178147658804	3083.7416360687575	4671.242657829734	5300.896149828918	9173.38755593371	12984.008119817365	17031.65307899431	20754.39180646624	23130.318475148033	22363.669630410015	24938.804626464844
2274.375243252482	2616.0247089591935	3886.5096867084503	3103.875344799411	4655.304453731363	5280.351280269766	9170.690700632882	13009.192650778252	17043.24049756706	20774.237543558902	23614.08233642578	22564.411163330078	25098.853641086156
2261.7829270347424	2603.523192867156	3878.564809694614	3077.9488907044783	4653.9281869863535	5288.506704937458	9159.781458823547	13028.788984867564	17080.433795906905	20904.56826346261	23349.2431640625	22448.94845145089	25063.97247314453
2251.02805166907	2599.2209208760282	3880.3834565646985	3080.7227904094016	4675.578822043795	5310.491040662244	9223.804189198052	13096.691753370646	16992.315391584627	20907.25323832627	23249.974326481894	22509.73955332804	24804.31208534846
2267.3618436919746	2610.630203921153	3875.474368824678	3082.236997939154	4646.452371176187	5278.946405433747	9145.405478106288	13106.333582024825	17059.387162674306	21016.42063685826	23425.575256347656	22186.9877406529	24935.2530827598
2272.458523994125	2606.5998276873934	3887.9760085681582	3087.923663167777	4661.592471054177	5295.304606731673	9190.139316377186	13090.661141724713	17122.89521860522	20645.58800230635	23308.56474619063	22382.586342947823	25059.40482729957
2272.0477228311156	2606.517531306868	3861.669766700874	3086.9052138801926	4686.794405669169	5322.062326762491	9220.880041431888	13052.024339374742	17128.804970903006	21050.56982246234	23394.99996554467	22247.010088981468	24922.66082763672
2247.1943687987887	2610.858550852975	3862.6727958520255	3088.8651112235493	4652.401303685473	5284.284970846521	9148.660160246349	13155.190290602963	17117.90742929916	20915.790342948807	23177.352905273438	22210.700171334403	24936.13106863839
2262.1586172569164	2587.8795856831543	3887.0144513697405	3085.867999351188	4667.904227972031	5302.990184110754	9180.131227397069	13065.207897303913	17020.81325442292	20690.712139760846	23278.705535396453	22385.80013843293	24920.143127441406
2273.4161722342046	2604.506092686807	3880.9695275001277	3103.40081491778	4692.9952529449665	5333.432206162462	9243.090711644567	13130.973614259963	17116.751781729763	20795.726776123047	23229.59130810153	22459.91618920725	24969.833374023438
2241.4749108471915	2593.382218848129	3879.995321169223	3083.6631830321676	4682.428989136856	5327.966478135851	9224.56622477455	13116.950482393788	17129.920249761537	20789.876897284325	23447.835348485933	22354.400415214703	24881.529429602244
2243.57181125217	2580.7147624025006	3869.8096680485346	3095.6806241265235	4691.270681527944	5321.306214296728	9223.540623982748	13086.865126824065	17082.583697545047	21196.086066109794	23362.892150878906	22432.793962194566	25106.172713022384
2259.1282226463977	2588.203645521595	3892.7605441216538	3090.8223412672805	4651.673138141632	5286.913706844014	9138.990016210646	12992.900714539644	17004.356827846794	20698.08767853881	23338.47168953188	22454.153561423012	24908.179328555154
2248.344205693012	2611.0381895793234	3877.71800160408	3096.850892838831	4656.575338470579	5287.260487340558	9151.26969828408	13071.975708007812	17146.570737971815	21031.311580113	23475.04903399755	22414.29665105806	25022.483825683594
2277.386563137402	2613.2417895193553	3878.477356196698	3096.7709330928883	4659.68247352868	5288.20415308093	9164.367403302875	13053.990670762923	17140.4871447333	20839.364188058036	23470.517127744613	22386.01657515722	25017.699887675622
