16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2048.9372222529732	2395.2242441000335	3563.612349807361	2856.5895902382217	4269.577591874975	4838.434377110991	8282.67562957037	11958.525569428431	15530.22029787995	18984.561343844845	21237.94858417814	20436.579840523857	22810.8527168395
2049.6820189245495	2394.537450416295	3560.595904055599	2856.105253328904	4273.111226505842	4833.501505564494	8282.178924197242	11995.870802137586	15453.928467855289	18833.49385294881	21125.581529405383	20299.468721662248	22818.31559680757
2048.8894747068734	2396.6881536668348	3563.437523779931	2855.798104998568	4271.6818970519225	4837.050430778263	8288.93127895537	11940.089896256226	15556.229485405816	18816.665864326584	21116.647194689653	20225.092028895167	22638.653951977925
2048.914234324556	2396.3053701002686	3563.9816343862044	2856.7579698908994	4271.928769824091	4837.705277610218	8308.141004471552	11947.012784188253	15438.91774436642	18867.206573486328	21076.172117203	20379.052939989888	22664.340462271623
2048.455395744842	2394.997680369444	3562.0719272225083	2855.688046029143	4275.343070427577	4836.403696160567	8288.722251778217	11947.447793525562	15442.175672233448	18759.996118679854	20996.29649965782	20366.425209857047	22717.758178710938
2048.4391925404375	2395.661390183147	3561.3725582758584	2855.061525696243	4272.804458677691	4840.013317595747	8288.59414627303	11945.77886347185	15521.226927291515	18808.31075898299	21061.47003173828	20303.34066837392	22633.121127174014
2048.6441875698106	2396.0859544815557	3559.840516089153	2857.208251953125	4272.800824038353	4841.500932389909	8277.58652823312	11945.27471950481	15563.249588012695	19058.01636832101	20990.34166711522	20364.04440588985	22559.642791748047
2049.1553891089657	2394.6523666381836	3559.4544789937204	2857.029822564894	4274.645199378331	4840.257304672748	8302.271366119385	11967.734618333992	15559.703628451838	18750.640707956234	21293.95294189453	20186.69101741764	22651.271214560857
2047.3026534886037	2394.9044448151694	3560.9365908387745	2857.452054177561	4273.363365883283	4841.962255033335	8279.474008651006	11938.366973609254	15604.658622962203	18808.102943527865	21146.560668945312	20297.104585255292	22724.464416503906
2047.7190156360434	2394.3680510417194	3560.962552338644	2854.7683519091365	4273.698103008245	4840.013143178579	8282.51471886268	12004.417655742274	15485.245840890067	18822.549094616526	21149.718572223	20174.301845926635	22798.919677734375
2049.2741824545587	2395.7788464335813	3561.9797886894453	2855.0628686680693	4270.45797308286	4841.311868414821	8291.28682966063	11968.175396648558	15496.264929058909	19056.367874145508	21003.4302839144	20309.66987072582	22764.90226624504
2048.538763996078	2394.8664830177904	3561.749177820542	2856.5799036333638	4271.558241862828	4838.563445815466	8288.064643518248	11915.315186612992	15528.667868906363	18741.43181117714	21148.863292875743	20240.51505075374	22644.542512439548
2048.0983386220614	2395.037471961057	3562.788168589274	2855.3899743514744	4271.696504040113	4842.165548517333	8278.31347313153	11933.132610489836	15532.603842674653	18883.382770377146	21106.29611545139	20222.977229527063	22804.55543881371
2048.8254852418277	2396.5704720091494	3563.354969646349	2855.90569114224	4274.311015873603	4840.245254079321	8267.878071136927	11947.21774051064	15519.069649322688	18935.589080161237	20998.399088701863	20254.70200118485	22565.69148987297
2048.459280471987	2397.309946745106	3561.6975408800267	2853.950377433531	4271.0005458901505	4834.2766254202	8279.199430928427	11935.67099550222	15510.409377342046	18808.398927961076	21042.600754768617	20233.778886392083	22571.802139282227
2048.8411863259125	2396.957034741939	3559.4358282574153	2853.1883725420685	4272.068028655171	4842.116642142133	8274.115157764107	11929.507785373264	15532.188637312069	18865.700309158216	21082.174210321336	20370.361652780088	22657.484520138718
2048.5262716970137	2395.3589438622375	3561.9163761860077	2855.907507756674	4271.935114469888	4836.983150906033	8290.73777839319	11894.800777518592	15532.47166776109	18867.986422058537	21178.21502685547	20223.093032836914	22741.09998087245
2047.5233506309005	2396.0598808939712	3563.209493903169	2856.456523164267	4273.169025097018	4836.086767265596	8290.123868766806	11954.48981391059	15534.610417536918	18910.441600101094	21141.286880250962	20236.357836656167	22635.13946533203
2048.306480580549	2396.091313277385	3561.5364710489907	2855.230972326926	4274.311015873603	4839.245168522916	8278.974085957785	11936.73329582381	15485.758005186568	18791.888622527425	21215.264759366473	20229.51545444786	22721.466064453125
2048.6784019746865	2396.3817294464357	3560.119758386836	2854.862936664917	4268.038567392971	4839.176154998411	8287.119442189234	11968.441176832768	15595.91568963376	18936.45273128026	21069.73859998915	20171.655735499422	22622.840881347656
2047.3986695715264	2395.8394138416297	3561.444444382471	2855.382997569593	4269.592434752221	4839.295739526147	8278.82965998863	11916.025549964566	15518.95917848099	18943.137310920876	21082.11216964121	20308.77664055623	22489.50267401267
2047.3963604327457	2395.5371218862256	3560.6937059845686	2854.2275401918714	4271.593056570598	4838.069995960316	8266.494523233443	11916.0148254128	15444.413774964438	18925.830296107702	21220.706758045017	20185.050430831376	22751.169819985666
2048.726802693323	2395.882914143224	3560.6145547919045	2855.772737344491	4271.977261738485	4833.427945474036	8279.7721998226	11965.806505321401	15532.648840615915	18869.645254952567	21064.08467368474	20401.041558448305	22642.39296080574
2049.0956036840385	2394.7893562963454	3561.121854819406	2853.794251718829	4269.526363198274	4836.833405637455	8289.393756085405	11936.710591901812	15458.718889710532	18808.814841257015	20987.54852537125	20232.802587198028	22791.19110107422
2049.0081393016358	2395.8396757926603	3563.785304625829	2853.8120349632177	4270.437166288301	4835.117328632343	8265.483913136952	11957.089106241861	15639.909478121026	18886.06246088592	20999.73573459415	20230.04478132221	22642.08263821072
2049.2883148070205	2395.3273856322357	3562.766849761525	2853.7129855521557	4269.292357684112	4837.26810764622	8294.114070152169	11932.79550786604	15530.295755671359	18863.889149257117	21125.55503845215	20369.847615559895	22749.990928830124
2047.960219844695	2395.071521882088	3562.8487082088695	2853.155327609265	4271.5197132399435	4838.044467195306	8282.145099527032	11912.283418480485	15494.057791573661	18886.344533571057	21139.288705492778	20221.27423967634	22729.744986882284
2049.116640800797	2393.9851401508718	3564.2365277823756	2854.4287527761153	4267.914841572444	4839.405956038509	8290.132827307345	11931.843694611269	15496.21012019015	18880.293402873296	21219.322204589844	20297.882404733213	22587.99395223302
2047.6449777081284	2397.384182099373	3561.995981878774	2853.9037666105974	4270.97619748583	4836.930486256491	8273.45481285682	11987.560120973292	15523.306159086005	18984.528950282507	21004.21124555933	20306.567071189344	22819.193582686166
2047.7681317764295	2395.6914598466506	3559.7777584230107	2853.527161234243	4271.673065385008	4837.384618314585	8294.099836207148	11894.400223441746	15589.775041092274	18813.187348927167	21079.23612819882	20438.221522739954	22642.15075780475
2049.187626267714	2395.6982768609773	3561.784577649451	2854.27587605827	4267.0856822620735	4840.313670146897	8284.33107551552	11964.468829399717	15454.049744357953	18884.860293965943	21141.703166658917	20303.320377431017	22552.989778064548
2048.947260929988	2394.6346104241343	3561.063359181086	2856.219227903798	4268.633790178025	4839.795487779039	8278.210014547014	11944.030460558439	15617.420218583477	18802.904746901822	20990.36413525778	20172.26689298388	22734.46794540163
2050.077010048418	2394.7624163439045	3561.609260728182	2855.9479844396833	4269.347836573918	4839.945915050076	8315.203083095266	11915.06531561306	15525.146972301394	18875.80519872354	20995.70773896717	20241.34783677652	22708.09296638735
2049.686062720514	2396.6274307657386	3559.837738672892	2854.511417502467	4272.259771823883	4836.116722243989	8291.054339635939	11938.567747149551	15488.767899529783	18872.267859322685	20977.088928222656	20211.19920469874	22731.130085294208
2049.2863886564683	2395.445597920441	3561.0660228853912	2854.563763752076	4273.6430442770115	4834.315863000341	8289.320128304618	11938.977346546324	15493.173708860902	18885.981868690167	21130.25419173702	20179.54846362134	22704.971313476562
2049.3135012824782	2396.2820333908953	3560.875476807278	2854.4330213922094	4271.576801935832	4833.507394862139	8289.062658474071	11916.542893464344	15487.136179312116	18874.72301510209	21286.148071289062	20303.584159688748	22805.145263671875
2047.9268626487756	2395.55439001524	3561.196919360192	2854.533349314044	4267.748591171544	4838.153294154576	8300.996321952662	11961.72362879703	15439.97054876283	18819.653396065354	21290.481567382812	20487.48561314174	22824.386596679688
2048.792576712698	2396.4866515128842	3557.6378972775933	2856.080762801632	4272.93090020376	4841.132078342095	8299.670533505743	11948.002477920732	15526.887309344518	18865.646634783065	21087.15087410033	20353.821345738	22639.849829295326
2049.184192170619	2395.9452167980535	3562.0532521379832	2854.9611857326427	4272.992698309933	4839.09218028925	8278.84391920101	11967.29349144755	15534.522921540016	18806.303051156057	21223.416404118612	20314.97552361287	22734.596615745908
2048.107264307666	2394.5248194224982	3563.5410338718025	2856.685616875772	4270.716259876887	4840.122648032315	8267.196066655462	11946.080023782295	15449.628664579006	19004.713558981606	21080.100347125343	20372.17431034602	22570.67762960599
2048.777764843356	2395.3560859926283	3559.4067542381536	2855.121560208349	4270.521303017934	4833.56992104896	8295.51064756495	11937.54053325905	15614.398690157159	18795.340401785714	21084.342415877214	20308.44045869002	22654.210488627275
2048.23142603824	2394.88215911398	3561.257074276606	2854.5894930439613	4271.204331341912	4836.885098418499	8283.698165022934	11953.052721525493	15606.874643370162	18879.165112132756	20969.826405442607	20208.098671653053	22812.094007219588
2049.2288715812424	2395.900603263609	3562.3184383382372	2854.570265739195	4273.501762210856	4840.219343030775	8291.797978537423	11943.749621906112	15495.716840371319	18871.009772550977	21081.61411588154	20172.750446158396	22474.0711722787
2048.365633685583	2395.6421585880935	3562.7429852597706	2855.709510747714	4272.523106621017	4838.543507590222	8279.31511331592	11911.791326716082	15491.772249254876	18929.5694337669	21207.901739305067	20426.533746381177	22717.58270263672
2047.8862499901159	2396.0178181276483	3562.24711590982	2853.8757754910375	4271.9784904928765	4839.016510559632	8284.814987409009	11962.445296905114	15499.8288835798	18936.95422581264	21001.01349845765	20165.260801924036	22582.564766951433
