16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2130.867186046782	2474.311895901021	3694.5290502472594	2948.69883240119	4426.147854119016	5023.970840240828	8650.445818000237	12507.690372963378	16379.202113432042	19888.5331670922	22335.174099710963	21440.361485336765	23833.34524679504
2131.0845199896366	2475.0383021467824	3694.598299704238	2949.2653395477314	4425.805695886539	5025.780034337898	8644.66667175293	12509.940275505407	16283.193448694741	19882.132367389957	22244.197410225068	21514.349272756866	23978.123793730865
2129.721479351018	2474.2152415165283	3693.030874590145	2948.9246766958663	4428.966116041566	5027.084253519849	8646.129060452171	12511.02118902885	16306.412043829856	19850.615299109257	22314.438948760162	21427.07362319484	23895.432348964976
2129.7404196410052	2473.251213461666	3695.868609244363	2951.1746304907606	4429.579826823452	5024.704752089102	8647.968769073486	12509.015069079043	16350.703873657827	19781.204040892822	22164.608981158282	21378.924206989566	23978.33131764033
2131.0372313621583	2472.5391643630064	3693.273227469231	2949.6310277507064	4428.076482081151	5022.683519746814	8654.08770721359	12523.629772129343	16306.158357065886	19929.614211573746	22229.75524696144	21273.463605398156	23983.67185850401
2130.723810520302	2473.000598990399	3694.9344668619433	2950.4214939863787	4430.653110491533	5022.590453482701	8651.800491102977	12486.858438825075	16348.698559929342	19830.100507621304	22264.538195309222	21315.32033284505	23830.06819142591
2130.5278723617544	2473.669646555169	3696.588369516226	2949.4755959446193	4429.292521113992	5026.251644236053	8641.855716705322	12488.806425635494	16285.900953339367	19892.646880920776	22240.54272542864	21337.980247405638	24008.67359058277
2130.9865592935753	2474.133356568292	3697.6316426819117	2948.361412953522	4428.792495978231	5027.630607488797	8665.046306571576	12526.087100139717	16316.806568818934	19837.569041424485	22465.79021012702	21333.625517695782	23967.548292510364
2131.379536405744	2473.52149175561	3698.513026800019	2948.282208177419	4428.198366406465	5031.068816439796	8646.981800021838	12487.46131783101	16342.698646883659	19813.3237434156	22230.180753331606	21393.230162471173	23894.355103776263
2130.9450370113864	2474.006513080571	3696.3851208482693	2948.355512554143	4430.949884240897	5025.137499504283	8653.506223741046	12526.20496999905	16309.929829017789	19942.445466012665	22165.285574423302	21283.303906103807	23912.320265898834
2129.957353396127	2473.217823126908	3696.1778458596323	2949.099366021124	4431.558965326665	5024.696969743913	8660.073844852015	12588.255441010888	16321.668437882965	19822.746874338172	22186.82607014974	21333.975964281934	23978.15601245777
2129.604020627642	2473.7799945084944	3696.5997237405454	2947.7167323615854	4430.9030665029395	5022.283143635038	8664.200828417723	12507.463476471741	16337.314850003848	19875.193216714513	22111.47944132487	21324.594336819937	23739.898526990735
2128.201334372811	2473.9405193354737	3696.581494584762	2948.355965892528	4429.269545149095	5024.653726053178	8655.409812927246	12506.898244222006	16345.533670163622	19834.3116116811	22229.583895936303	21332.706313535393	23801.20834248178
2129.375164724385	2473.7119674682617	3696.275566911645	2946.912474551443	4427.2943071685695	5024.723802465636	8655.855577598591	12468.083699544271	16281.072104849467	19831.42760862787	22222.531896059205	21341.774991886345	23977.054131997596
2131.894878719164	2472.470541013306	3698.3847092951974	2948.270543761875	4431.009816599416	5025.087653910706	8664.750089549056	12488.146989547899	16270.749709185431	19840.46890350159	22242.181253113202	21323.90918153705	23817.081709165832
2130.435063288762	2473.305458125822	3696.4290744655736	2948.1780415797652	4426.35253235534	5026.569535674856	8660.768081319122	12509.103190854907	16280.388250583555	19823.826939226634	22091.07187770357	21278.221450166075	24080.308707984717
2130.8434098816956	2471.9464576850505	3694.5353509044753	2948.672287494895	4430.925636960749	5021.225816849973	8651.211034113438	12486.888401543916	16324.945524627086	19999.31913433653	22300.520458736934	21393.798920045418	23824.83353485932
2129.576186718018	2473.769628483316	3698.111106754665	2950.545070933647	4428.197102374341	5021.276582783166	8657.808303833008	12528.088555407168	16310.17506416208	19830.286859752174	22236.759159840694	21397.39530632295	23844.074558567358
2129.9567050791206	2473.286404862009	3697.5785222979985	2949.579438166832	4426.1385920804105	5026.253842035121	8648.150546807694	12529.032570975167	16305.918787039962	19884.816135268615	22241.482863555084	21394.924945141895	23838.81767324153
2129.305794804701	2474.3396738357337	3696.0587118587346	2950.64565928086	4429.27014696729	5024.674886972507	8646.826397506216	12522.917254706741	16304.805360991379	19891.560795795485	22311.1139761435	21395.37880219609	23976.10045768119
2128.9798247110093	2474.4125749493487	3696.4584182906938	2950.5609333757793	4426.921630926373	5028.016054177586	8650.618776566436	12529.992345553726	16347.576590145336	19836.7627081043	22174.04794372968	21290.42148590088	23960.32254989833
2127.776028999516	2475.966760667704	3697.684476236261	2951.1286848682466	4429.0231713114335	5025.832141066749	8660.969734191895	12533.027134584578	16276.41123503887	19933.816158410275	22343.835315188848	21400.52589827669	23905.573664484797
2128.8187607474947	2476.4594539017357	3692.6731155781595	2950.0658776664345	4427.266015880434	5025.901117554485	8654.031322230046	12488.439623751161	16311.7764042873	19892.115792828405	22096.953936071204	21273.915639180625	23969.585831100878
2129.573536955792	2473.914696097131	3694.418895624914	2949.537142463352	4427.032933345572	5023.396454439078	8634.741306304932	12505.852774287878	16276.49045458027	19899.031359278513	22213.794089652398	21328.40641958271	23901.610761075408
