16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2090.2813823838787	2435.500234056097	3639.810225542854	2910.196935708088	4363.762007819281	4937.820985650174	8493.803724457946	12293.779625082916	16054.514772403314	19484.46127084585	21880.84268162393	21133.371891866205	23331.391609321206
2091.7033155759177	2436.4877324615795	3636.1257457200377	2910.8462556038494	4360.926602699312	4944.216573601932	8497.006596086885	12226.31264636867	16040.211915969849	19394.83122392134	21521.76865008699	20744.67052112926	23229.18681775109
2090.487925651577	2436.539706061868	3638.8004527372473	2911.732398578334	4361.159336683961	4943.791108253675	8512.903482486041	12243.620106871698	15904.086828231812	19409.294415237313	21641.39990079201	20761.18870785362	23255.540543243664
2089.8023276151207	2435.8082392624387	3638.75973609186	2911.9658078628054	4364.242393204741	4944.789064658799	8484.598956530606	12245.829071478822	15851.527452468872	19296.190955422142	21632.946143716068	21043.50603543795	23325.528853978867
2091.470528474618	2434.7544541408447	3640.3783694470776	2912.4429894153636	4357.8061190518465	4940.048316058714	8492.791728608927	12266.473950080152	15964.051951532778	19288.385721077597	21531.089013364133	20837.538170092033	23432.11214766543
2091.4756000714	2433.5128625783955	3638.155633510824	2909.0380194687905	4363.678416618112	4941.797486825842	8500.01743861607	12264.504816859819	15959.817171096802	19501.78001866196	21648.895840684905	20774.219975327	23238.254805742683
2090.3307530615066	2436.182490682107	3636.8750192068674	2910.0762335953523	4363.46604376614	4949.126705046623	8513.410886128744	12239.850183048158	15870.48044965311	19482.843803636955	21621.009050789526	20898.965688852164	23221.638243077166
2090.478872323965	2435.3017452572994	3638.5978923439143	2913.5072107546057	4359.646216451123	4942.360231953283	8502.19543749532	12257.947608338834	15954.923629760742	19361.89333597819	21746.2555836823	20749.644229286594	23202.42736299159
2091.5557028309313	2435.487374946449	3639.1758418583368	2912.6599585721237	4356.121516727901	4943.846127925775	8509.648112824168	12214.293502306155	15922.433841302529	19360.19285944582	21740.452717926542	20767.823973698403	23320.858295147234
2091.705335453861	2436.3590359275317	3636.0911150884363	2909.98180260819	4360.742783278562	4944.71393597471	8495.669014537678	12271.155773753851	15878.589606723903	19377.8661856974	21528.548553210345	20767.18301484079	23439.154665694277
2091.030607198697	2436.240239126872	3636.084069738855	2910.58431447171	4359.289132120882	4945.6137197989	8489.186596718564	12266.514436253961	15894.877910614014	19290.737639692492	21706.524058284922	20897.11702786959	23235.23061028842
2090.245485305786	2435.267950402526	3637.2591565538955	2910.0489038909595	4361.212502962376	4949.705941336496	8467.250400119357	12213.630855363299	15899.310877293716	19266.317818911022	21585.06846023818	20881.219343705612	23223.118904309395
2090.234277153346	2434.7288798295917	3639.534636810943	2910.795038995093	4360.981921215991	4943.600407353154	8494.917754155056	12287.338763051688	15860.814989710147	19363.663413307884	21512.370998576534	20743.592341143387	23291.712221891983
2092.0537599561944	2436.3405758029235	3640.221549080802	2909.4855952283483	4361.688840639341	4947.312927246094	8504.191145729334	12242.195741185602	15902.048275794512	19362.124529751865	21588.39015637414	20739.887699936375	23132.429284564518
