16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2644.490172120044	2992.1112905129294	4241.524437661113	3641.5634380828337	5446.0363718486315	6162.609325970383	10763.21549467988	14490.236085036706	18810.372374373484	21510.82486522441	24093.246459960938	23199.51933257434	26028.98188999721
2645.0704239987163	2992.3109421417303	4243.954200048234	3641.2481892152905	5444.066277865706	6158.625881974868	10744.372895368113	14536.103841775062	18818.83361122825	21556.673294458633	24058.665352306147	23225.532570466174	25959.505353655135
2644.7152244974172	2990.4699853425536	4240.420370390921	3641.9789815686413	5443.934893551192	6164.945177682373	10759.947729892418	14469.817589069235	18945.451216264206	21523.363162309695	24146.318435668945	23225.55677539806	25916.303513367053
2645.4742544251612	2989.364286190469	4241.928865844356	3641.0419064047064	5440.016943636476	6163.848697809884	10736.264268012896	14492.94583550815	18848.629685135576	21529.026520557894	24000.537188755985	23295.207899443958	25997.47794015067
2644.4782615148483	2992.2691170409794	4242.800702952375	3641.515619614545	5448.583210484263	6168.599299491273	10765.568240658267	14546.325288969894	18809.153816916725	21523.123521071215	24225.356966950174	23201.903518365354	25932.968007346797
2645.595311238757	2989.621723399443	4244.168599446614	3642.416738286647	5447.05573451576	6165.859127832839	10732.70026451903	14474.638577165275	18894.535221465645	21491.006704477164	24166.54016779757	23298.597827400128	26028.70478106372
2646.424345048951	2989.828850705303	4241.53824162677	3642.987289316017	5443.973404368716	6168.02488054548	10732.601113515357	14510.403793702011	18817.923384714344	21524.969412356008	24060.685294015067	23208.170521016025	25847.062297251032
2645.050229138779	2989.0373865294823	4244.07584085049	3638.857585490629	5439.867292131697	6165.955020704873	10766.38180276622	14490.081682237973	18854.36231439764	21560.951155059192	24096.720480505443	23315.962766989684	25807.87113734654
2645.9376017252603	2991.946092208344	4246.158638463812	3640.2120857070227	5443.674525575775	6158.0797009159805	10746.872717418202	14483.045954192798	18764.970529133378	21533.38218221859	23996.2373854797	23299.59674757354	26079.056579942648
2645.8575053183263	2990.6937996839683	4246.88945234186	3640.103884804486	5445.350610555499	6163.32593854967	10740.671468817669	14517.449841056903	18887.78669024826	21625.415566041298	24192.909861719887	23191.412901267027	25867.08397700869
2645.788375877031	2993.3070784565266	4244.727083494115	3639.5341597475485	5444.550514221191	6166.085067202565	10735.607665518055	14509.418092924972	18862.348084056048	21555.623229669065	24283.93281264112	23181.474753442755	25872.1757209164
2646.8962210196037	2992.800906696151	4243.936790172275	3640.0627931311496	5445.075517035268	6161.3363996353355	10758.997319818853	14508.29999200229	18934.010370681273	21630.84959372496	24132.450648716516	23197.69247984275	26004.339229164783
2646.387150857301	2991.3446177606997	4244.917089288885	3640.0192069162117	5442.204583645436	6169.8321638436155	10759.289025614255	14493.371376116795	18867.868104132052	21596.15925380162	24167.109898158484	23256.160775009466	26217.840999537122
2647.1243964301216	2992.3653690577435	4244.875595138966	3641.8947218438916	5446.0937481791425	6166.227614682024	10736.587920475527	14488.804299113659	18852.615356445312	21569.32083601804	24119.84313618053	23123.97835823485	26001.009074124424
2646.104823908157	2990.0838212389363	4241.568286244462	3641.3856235881676	5448.65471976144	6165.329157406738	10754.621646059955	14532.65486092403	18864.84601082058	21522.652679288447	24105.42827913131	23202.45820648816	25973.772321428572
2646.2458999904657	2991.408681939941	4246.027215483225	3640.742428534854	5443.750743797603	6160.429545811245	10746.963688584625	14480.275121228447	18821.45739248975	21622.657775878906	24142.365122950356	23264.175806290063	25964.676648720928
2645.6071915528064	2991.548424357426	4246.922370269064	3642.226603746062	5445.145364303316	6162.002395335636	10713.217688388511	14490.140672401874	18859.088967699525	21576.064672225562	24074.49449811663	23238.60807467233	25871.140616280692
2645.9461133155596	2989.377369732765	4244.858546382757	3641.7328624640822	5447.090312998782	6164.145796266321	10784.750115381528	14480.821017561288	18852.42462158203	21448.696930396374	24181.256349059357	23211.187245894453	25879.82177734375
2647.1945388478866	2991.260770856894	4242.790747800013	3639.0179378093167	5441.235068315517	6164.9322509765625	10754.52290049041	14485.739350728563	18933.97864945438	21566.069855981943	24058.303392002348	23232.97578461316	25996.10780414782
2647.6893854634272	2991.6334292881606	4246.784419548221	3642.3963493223205	5440.457889825782	6162.78248279262	10770.118399842144	14487.837425152737	18823.4518240164	21603.10989771134	24133.726351522986	23132.552905958524	26045.314149360438
2645.1861920134393	2991.699573736599	4242.721356843647	3640.9392128131485	5444.225810822986	6162.474443624308	10756.364587235124	14484.130230146586	18865.274627823637	21521.0671327552	23992.19116034535	23190.992306440305	26006.445030256502
2646.3939912402125	2990.1876169092516	4244.764806770602	3641.0679221593796	5445.509970971476	6159.922964973554	10741.231220016063	14489.078521728516	18911.964243108578	21535.464695521765	24143.296618794287	23233.800056653145	25994.02521387001
2647.554609510634	2991.585470901106	4242.99807890152	3642.397757999302	5446.953585498222	6163.767640167614	10739.516690780556	14504.478876978468	18868.962201205166	21447.245279947918	24090.320042201452	23192.04077428701	25878.31979510428
2645.5820708123297	2991.548099559865	4243.45801858341	3641.257529248155	5443.8360806169185	6167.470834934072	10757.860930069633	14532.934010647572	18808.685649525036	21524.550963421258	24196.194775531745	23204.33149532396	25851.134596199823
2647.2588262614413	2991.049228119234	4244.623513057314	3642.149027821589	5442.153866934036	6162.944730821547	10742.638137314345	14515.738651670259	18861.875142136665	21533.32050030048	24150.374276297433	23193.086896623885	25890.794293633822
2645.468570776945	2991.0010755811018	4244.567173991712	3640.143287102908	5445.751522889132	6167.588557115399	10729.255883590035	14477.883299736128	18874.66047452465	21630.84470308744	24117.497035435266	23132.134457023778	26029.646737234933
2643.7417995294877	2990.9008538881467	4242.135445598648	3639.899672617332	5443.067036702962	6167.015318053862	10736.260167259612	14481.23315765276	18841.916079974282	21517.908512638303	24072.257951758373	23311.028113731973	26038.82380894252
2645.3869029373327	2991.1413425352516	4243.824513494544	3639.810722722965	5447.335283103952	6161.677886836262	10776.60077238736	14494.350038725754	18788.12625936793	21495.361717379823	24089.76913187545	23214.461852093133	25916.481018066406
2646.2553522963644	2991.906454790794	4243.202055031471	3640.9055940521152	5446.463751850082	6167.298834514355	10753.512057686372	14490.995735957706	18889.569588915794	21574.579939550284	24111.075208366263	23194.308158678887	26003.4319998204
2644.8828506187783	2990.1577767804597	4241.101541702378	3639.6412874096336	5444.77252365588	6163.610261062096	10730.406512384829	14489.637572189857	18823.010889113757	21532.297134399414	24274.19950795728	23200.98387889373	25928.201346561826
2644.533257143587	2990.809929766778	4246.317274202176	3640.883088463527	5448.458006056093	6164.905789134266	10747.340959585134	14480.748127416236	18805.717224399792	21632.471863104372	24028.69633265904	23312.716139960536	25946.09894504437
2645.355709911098	2992.409709634816	4244.5451686155	3640.9413242692	5438.511100357878	6163.5918452821925	10729.13229627895	14504.725357581829	18843.334371393375	21551.307366818797	24099.755561214755	23430.13335247429	26101.98886408282
2646.1163273564093	2991.3638231505	4246.350125427554	3639.527126751115	5444.157508111769	6157.276058985182	10729.431779417273	14481.633284996296	18887.209236075025	21519.895700307992	24096.036922035877	23161.98010129977	25930.178647785517
2645.253781919126	2991.0046794069904	4245.563448988241	3640.6002861710385	5442.400035743942	6161.313030601206	10744.944862697435	14502.990696438399	18863.552266901188	21479.342533991887	24096.15268597024	23131.34149851533	25864.105224609375
2645.9153893256876	2991.5145716484317	4244.2277420398805	3641.648341845198	5441.593695543484	6166.224308907164	10776.792624990687	14522.98477859233	18889.82599431818	21656.777574608364	24194.728369000313	23195.145081500617	26044.75686716479
2645.6909123215296	2991.9099983693927	4245.430805961492	3639.8428771025324	5443.02218853716	6162.724540720915	10740.259306026937	14511.13799522663	18845.256097715905	21606.742119302555	24321.892357975074	23125.950171023	26054.943629673548
2644.368680880836	2990.617864603138	4246.852516043175	3638.668397886563	5445.229079195125	6165.402416339137	10734.997263396468	14484.74094785493	18869.542428271263	21587.27937815141	24103.766137903385	23308.24271919801	26001.643583264653
2645.449525505833	2991.0212957700564	4246.439667522604	3640.983937054696	5440.568582539342	6175.068860554564	10771.262873096102	14505.63054596264	18846.15911196356	21516.503119955258	24117.61067130349	23206.117201824578	25893.17299853796
2646.219598411194	2990.7937419370533	4248.430089252751	3641.8752916624626	5440.434625236866	6164.719770242879	10740.930619447128	14493.272729115943	18867.240104501107	21488.141040412745	24019.148690359933	23242.152467065927	26005.788781177038
2646.509806315104	2991.837624080776	4242.521548560757	3644.183399231453	5446.779983993931	6158.192952473958	10744.265424526804	14490.620843295394	18866.878666289864	21622.166191179727	24088.189261300224	23213.03440974309	26078.328318979547
2645.7177366176243	2988.796290477939	4245.203684985153	3642.4662159607474	5443.965419057454	6165.8005138019935	10757.825679934967	14490.492590542497	18864.20012599203	21526.385326774755	24061.96816023006	23314.80045908505	26185.452252968975
2646.5096184915064	2992.316110599676	4244.968310164249	3642.3066083122703	5442.550878205368	6158.344683325766	10759.856674697374	14521.909007564136	18887.676604806562	21567.789713541668	24231.34842359951	23340.171422713844	25866.822762922806
2645.868093856258	2990.9275664048128	4245.85701369075	3642.1124785588677	5440.172545949713	6168.160274110991	10755.293336633134	14475.023335423963	18793.22745583274	21629.01071401743	24106.47256033761	23200.161603032328	25987.537928989954
2645.510136202022	2991.513285289025	4245.895262064059	3639.301367565594	5442.630731317986	6171.717150457974	10740.486563068547	14489.487380717452	18865.89171120484	21450.028201650242	24156.91024955662	23271.824763371395	25880.265509945224
2645.9492428202025	2990.6706120763906	4249.289646940994	3641.7377928335172	5443.745046818413	6166.737700161869	10725.355666616688	14531.828540419212	18823.01951965056	21557.998657226562	24084.28849845097	23215.055465698242	25999.623675679053
2644.6442965997344	2990.6994473617688	4245.223960530024	3639.822512601329	5442.228043478642	6164.905116044355	10742.2946250602	14495.42029207105	18785.541413596315	21476.397054449557	24101.816374680093	23153.198008634605	26092.08018280739
2646.0473930985727	2991.886533929046	4246.8356602083	3640.9014075465457	5445.77352167887	6165.034793796357	10747.151832058005	14491.444228017206	18885.70435550235	21527.942346066844	24094.879282692265	23278.251061072715	25992.531307859917
2646.4610519804487	2992.813701559257	4245.406243859268	3641.61630251279	5449.134389132155	6167.220807696894	10777.299345676516	14489.783454187138	18813.529515375285	21620.315160506812	24284.936100072253	23224.485163785972	25953.536809876907
2645.902683080169	2991.025075096648	4242.514595767569	3640.6559351633286	5442.131051628424	6167.150397602848	10754.769764414275	14465.752963362069	18851.39291936701	21443.80978175572	24245.952737742457	23128.29167709738	25930.67169189453
2646.9703256731204	2989.282643223161	4249.853643811183	3640.0156852237583	5444.877725139225	6164.706670320951	10740.454255397703	14490.614266231143	18831.287573905014	21557.949750851363	24089.948697523636	23260.063054610273	26049.172947172483
2646.673897505688	2990.271175277462	4247.279119009923	3641.667665150773	5446.936015030748	6159.6379135594225	10749.112004819124	14473.49561448769	18897.08258888938	21587.780543736048	24157.153538295202	23394.938596745127	25849.31478334989
2647.190009473522	2991.345320542068	4245.788040315887	3640.04616188792	5445.226867093801	6159.250982876481	10740.634522151426	14528.116686590787	18874.281617604433	21603.2223823743	24117.70546573332	23299.58215051768	26001.51439045751
2646.98240492079	2990.7275684797387	4244.162486149715	3640.165026783504	5443.047736565557	6165.188313186414	10756.526674543109	14508.66316429059	18846.78927334872	21569.169297510263	24093.12916898179	23207.967709272336	26037.287438052823
2647.923294609115	2990.9542125969356	4248.384032586609	3641.659842753287	5442.005595522064	6157.792418006362	10744.006497333745	14478.173749200228	18889.860275688523	21511.95330497546	24169.110703742368	23209.93676477549	26083.463909982263
2647.236254088272	2990.9261629106018	4247.715598658511	3640.260668279147	5447.001901048465	6165.02499120623	10757.258681000256	14534.83883048251	18810.677852026478	21568.30320552904	24072.005830962084	23247.392810120873	26041.17257254464
2645.7092657872786	2990.5960623141937	4243.7714767069565	3640.110770920003	5449.740547717971	6166.918524380388	10747.11263996281	14463.41148297267	18864.531035817	21526.798910024216	24156.21417692338	23249.38651842949	25948.258963498203
2646.805266656819	2990.3027863629095	4246.719492294296	3640.416979349847	5445.883034519031	6165.149934661405	10756.76434660611	14496.688580594931	18861.949990648744	21494.456699916296	24101.933070591516	23204.959168726084	26019.630432128906
2646.0994373668323	2989.747147440382	4242.28141915282	3639.6522465625576	5443.01147824675	6169.751923659752	10782.748705720249	14484.592963909281	18941.970720683057	21522.565541533648	24002.321835221916	23206.79839776487	26003.6170827171
2645.445293223364	2991.1333832417267	4242.301832699606	3639.60435154519	5442.96756280066	6168.9279356055495	10754.08634113031	14508.951121363147	18765.06114976978	21617.112700472175	24053.73255411784	23272.11535706812	25852.33415876116
2645.339121237892	2990.2183904057056	4246.61617047391	3640.0811887033933	5443.807713589503	6167.363267817228	10756.063590527872	14501.321726831897	18861.839674177212	21631.597861265524	24067.511503723847	23127.473966039794	26018.109624785495
2645.4113749201256	2991.1093380813936	4247.577299321363	3640.6534624275687	5444.711983486374	6161.13202325229	10763.834600579248	14497.009749265062	18858.43276977539	21663.964100373098	24218.4277238517	23260.6447660006	25947.692077283915
2645.791193230994	2992.142258535012	4244.893456473568	3639.2465101934113	5441.636095740371	6165.780311773631	10749.64706211874	14547.354645199246	18884.97523997786	21599.921202048277	24136.93564278739	23312.831411556323	25940.64150242447
2644.589704376605	2992.967837850986	4242.31712264244	3639.2850974171433	5441.842045021513	6168.030902167052	10765.60085766936	14491.117287337574	18889.488150540008	21482.99047789598	24120.47794886998	23126.786130333916	25848.72300597443
2646.6774430974233	2992.7024447460794	4249.156552195428	3639.804657095033	5444.049268216781	6158.770936908144	10730.863597295056	14537.962031937956	18878.745161779396	21598.336660317356	24009.873526436942	23206.107470454	25823.95908444427
2647.262353163499	2993.807658839261	4246.828764012087	3639.960201024129	5439.190637497675	6165.317924226283	10743.926857222063	14543.572924128866	18904.347853227096	21605.374861736687	24094.052397446827	23388.663116766482	25830.36257352443
2646.240104488935	2994.6367386439424	4242.281199466845	3641.4149942433264	5444.355033719923	6166.048286374936	10755.87076683567	14502.229361698544	18854.60073297674	21513.15236828991	24005.155453736756	23284.623561761317	26006.035421086453
2648.3965413080887	2991.6004301786597	4247.133548443134	3641.390747611644	5443.773053684166	6158.062905976267	10740.246553085037	14505.231256715979	18862.75898326527	21527.5033476389	24164.60541473038	23198.75055429887	26230.778805045193
2645.762820085476	2992.09690375314	4244.044921318448	3642.238462103249	5444.433241904565	6161.348319347994	10754.887523546897	14470.600259715113	18872.148340398617	21602.01439490685	24042.48029336162	23197.995699368992	25996.37712751116
2645.9602209237905	2992.3567215484213	4243.501188791342	3641.360971740993	5440.248209756663	6163.703655374461	10745.984056721563	14525.55771136202	18802.25268277255	21530.15623287279	24105.592705737585	23270.188545694156	25892.97836477106
2646.4969778801014	2992.6285972454452	4247.062119395144	3640.2565689875773	5442.167463756743	6162.656586745689	10743.755361308222	14480.587554304568	18863.643141097673	21493.269472706073	24114.46707589286	23216.223353661862	25915.671478618275
2646.262123739931	2992.2834703453887	4250.148063031	3641.4304782543677	5442.238310307407	6163.615522713497	10757.563544101402	14505.614837010702	18845.208629763503	21448.997071551792	24187.247877176098	23143.16802823604	25849.832807268416
2648.3641495461475	2990.750767504721	4246.770731092225	3640.8741331838382	5444.508420223255	6166.910008622267	10739.99352793876	14503.764123031773	18863.77466439102	21566.744383216508	24017.312060827495	23318.641039789938	25922.232660753973
2645.221992775246	2991.5608190539315	4246.339943203224	3639.45291876969	5445.124855178231	6157.256284695431	10770.530491084843	14491.946121741985	18868.67176402699	21561.460396678176	24145.841598510742	23220.986736064053	26007.263139746654
2646.3213756945006	2993.435063777681	4247.1336595939865	3641.789209543338	5444.539175840612	6164.9785610874005	10744.157044783882	14492.765734695487	18898.2139934193	21570.070140857988	24372.16698089776	23201.02300399389	26095.809275015243
2648.2047413933205	2992.2471275188827	4244.526509706139	3641.317163446293	5438.284543931911	6169.99752613721	10738.985134604198	14557.733927687554	18770.787510936618	21516.906971834145	24154.085431780135	23231.073301665638	25861.29869733538
2646.9896743672916	2994.3045613336703	4246.437041803016	3638.937761649973	5443.609458713691	6165.57690320094	10752.390508782373	14493.722686243222	18847.061707092835	21634.092136305204	24167.464120047433	23251.69978997646	25853.058387493264
