16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02704	0.0272	0.01668	0.0271	0.01678	0.01462	0.00736	0.00492	0.00376	0.00304	0.00268	0.00302	0.00272
0.02702	0.02712	0.01676	0.02708	0.0167	0.01454	0.00736	0.005	0.00376	0.00306	0.0027	0.00306	0.0027
0.02706	0.02714	0.01674	0.02712	0.01678	0.01458	0.00732	0.00496	0.00376	0.00308	0.0027	0.00306	0.00272
0.02708	0.0271	0.0167	0.02708	0.01678	0.0145	0.00732	0.00492	0.00374	0.00304	0.00272	0.00306	0.00274
0.02704	0.02714	0.0167	0.0271	0.0167	0.01452	0.00734	0.00496	0.00376	0.00306	0.00272	0.00308	0.00272
0.02706	0.02704	0.01674	0.0271	0.01668	0.01462	0.00734	0.0049	0.00374	0.00306	0.00274	0.00306	0.00276
0.02702	0.02718	0.01674	0.0271	0.01682	0.01454	0.0073	0.00496	0.0037	0.00306	0.00272	0.00306	0.00274
0.02696	0.02708	0.01676	0.02706	0.01672	0.01456	0.00734	0.00496	0.00376	0.00304	0.0027	0.00304	0.0027
0.02714	0.02708	0.01678	0.0271	0.01672	0.01454	0.00728	0.00496	0.0038	0.0031	0.00272	0.00304	0.00274
0.02704	0.02712	0.01672	0.02712	0.0167	0.01448	0.00732	0.00494	0.00376	0.00308	0.00272	0.00304	0.00274
0.027	0.0271	0.0167	0.0271	0.01674	0.01456	0.0074	0.00492	0.00374	0.00308	0.00272	0.00304	0.0027
0.02702	0.02712	0.01672	0.02716	0.01672	0.01452	0.00734	0.00498	0.00372	0.00302	0.00274	0.00308	0.00272
0.02708	0.02712	0.01674	0.02714	0.0168	0.01462	0.00734	0.00496	0.00374	0.00304	0.00274	0.00306	0.00274
0.02702	0.02708	0.01674	0.0272	0.01672	0.01452	0.00732	0.00492	0.00378	0.00304	0.0027	0.00302	0.0027
0.02706	0.02714	0.01672	0.02714	0.01676	0.01454	0.00738	0.00498	0.00376	0.00304	0.00272	0.00308	0.00274
0.02702	0.02706	0.01676	0.02708	0.01682	0.01458	0.00732	0.00496	0.00376	0.00304	0.00272	0.00302	0.00274
0.02706	0.02706	0.0167	0.02708	0.0168	0.01448	0.00732	0.00494	0.00372	0.00308	0.00274	0.00306	0.00272
0.02702	0.02716	0.01674	0.02712	0.01676	0.0145	0.00736	0.00498	0.00376	0.00306	0.0027	0.00306	0.00274
0.02708	0.02708	0.01674	0.02708	0.01682	0.01448	0.00734	0.00494	0.00374	0.00308	0.00274	0.00308	0.00274
0.02708	0.02712	0.01672	0.02708	0.01674	0.01452	0.0073	0.00498	0.00376	0.00306	0.00272	0.00308	0.00272
0.02714	0.0271	0.01678	0.02708	0.0167	0.01452	0.00736	0.00494	0.00376	0.00304	0.00272	0.00306	0.0027
0.02702	0.02718	0.01678	0.0271	0.01684	0.01454	0.00738	0.00494	0.00376	0.00302	0.00272	0.00304	0.00274
0.0271	0.0271	0.01676	0.02708	0.01672	0.0145	0.00732	0.005	0.00372	0.00302	0.00274	0.00306	0.00272
0.02702	0.02708	0.01676	0.02714	0.0167	0.0145	0.00732	0.00494	0.00372	0.00306	0.0027	0.00306	0.0027
0.0271	0.02712	0.01682	0.02708	0.01676	0.0145	0.00732	0.00492	0.00376	0.0031	0.00274	0.00304	0.00274
0.0271	0.02708	0.01678	0.0271	0.0167	0.01456	0.00736	0.00492	0.00378	0.00306	0.00274	0.0031	0.00272
0.02708	0.02706	0.01682	0.0271	0.01674	0.01454	0.00732	0.00496	0.00374	0.00306	0.00272	0.00308	0.0027
0.027	0.02706	0.01682	0.02708	0.01674	0.01448	0.00732	0.00494	0.00376	0.00304	0.0027	0.00308	0.00274
0.02698	0.02714	0.0167	0.02712	0.01672	0.01456	0.00738	0.00498	0.00374	0.00306	0.00276	0.00302	0.00274
0.02702	0.0271	0.01678	0.02712	0.01672	0.01448	0.00732	0.00492	0.00374	0.00306	0.00274	0.00304	0.0027
0.02702	0.02712	0.01676	0.02716	0.01672	0.0145	0.00734	0.00492	0.00374	0.00304	0.00272	0.00304	0.00274
0.027	0.02718	0.0167	0.02724	0.01674	0.0145	0.00736	0.00496	0.00378	0.00306	0.00274	0.00304	0.00274
0.02704	0.02714	0.01676	0.0271	0.01672	0.01454	0.00732	0.0049	0.00376	0.0031	0.00274	0.00308	0.0027
