16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02538	0.02542	0.01568	0.02542	0.01568	0.01368	0.00692	0.00462	0.00356	0.00284	0.00254	0.00288	0.00254
0.0253	0.0254	0.0157	0.02544	0.0157	0.01356	0.00688	0.00464	0.00352	0.0029	0.00256	0.00286	0.00262
0.0253	0.02538	0.01574	0.02542	0.01576	0.0137	0.00688	0.00468	0.00352	0.0029	0.00256	0.00288	0.0026
0.02534	0.02538	0.01568	0.0255	0.01574	0.01358	0.00692	0.00464	0.00354	0.0029	0.0026	0.0029	0.00256
0.0253	0.0254	0.01568	0.02544	0.01566	0.01358	0.00684	0.00466	0.00356	0.00286	0.00258	0.0029	0.00258
0.02544	0.02536	0.01578	0.02542	0.01568	0.0136	0.0069	0.00468	0.00354	0.00288	0.00258	0.00288	0.00256
0.02536	0.02542	0.01572	0.02546	0.01566	0.01358	0.0069	0.00464	0.00354	0.00292	0.00258	0.00288	0.00256
0.02534	0.02542	0.01572	0.0254	0.0157	0.01364	0.00688	0.00466	0.00352	0.00292	0.00256	0.0029	0.00258
0.0253	0.02544	0.0157	0.02536	0.01572	0.0136	0.00688	0.00464	0.00356	0.00288	0.00258	0.00292	0.0026
0.0253	0.02538	0.01574	0.02538	0.01574	0.0136	0.00686	0.0046	0.00354	0.00286	0.0026	0.00288	0.00258
0.02532	0.0254	0.0157	0.02542	0.01572	0.01366	0.00692	0.00466	0.00356	0.0029	0.0026	0.00286	0.00256
0.02538	0.0254	0.01568	0.0255	0.01568	0.01358	0.00688	0.00466	0.00352	0.0029	0.00258	0.00288	0.00258
0.02532	0.02542	0.01574	0.02538	0.0157	0.01364	0.00686	0.00464	0.00352	0.00288	0.0025	0.0029	0.00256
0.02536	0.02538	0.0157	0.02544	0.01564	0.01364	0.00688	0.00464	0.00354	0.00288	0.00258	0.0029	0.00258
0.02534	0.02542	0.01572	0.02538	0.0157	0.0136	0.0069	0.00468	0.00356	0.0029	0.00256	0.0029	0.00258
