16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.03382	0.03384	0.02094	0.03392	0.02104	0.01816	0.00914	0.00616	0.00466	0.0038	0.00338	0.0038	0.00336
0.0338	0.03392	0.02086	0.0339	0.0209	0.01816	0.00914	0.00616	0.00468	0.0038	0.0034	0.0038	0.00338
0.03382	0.0339	0.02092	0.03398	0.02092	0.01816	0.00912	0.00616	0.00466	0.00378	0.00338	0.0038	0.00336
0.0338	0.03386	0.02088	0.0339	0.02094	0.01814	0.00916	0.00618	0.00466	0.00378	0.00336	0.0038	0.00336
0.03384	0.03396	0.0209	0.0339	0.02098	0.0182	0.00916	0.00616	0.00468	0.00378	0.00336	0.00382	0.00334
0.03378	0.03384	0.02094	0.03392	0.02088	0.01812	0.00918	0.00614	0.00466	0.0038	0.00338	0.00378	0.00336
0.03376	0.03388	0.0209	0.03388	0.02094	0.01816	0.00916	0.00618	0.00464	0.0038	0.00336	0.0038	0.00338
0.03384	0.03384	0.02092	0.0339	0.02088	0.01814	0.00912	0.00614	0.00464	0.0038	0.00338	0.00378	0.00336
0.03384	0.03392	0.02092	0.0339	0.02092	0.01812	0.00916	0.00614	0.00468	0.00376	0.00338	0.0038	0.00338
0.0338	0.03388	0.02092	0.03384	0.02104	0.01812	0.00914	0.00616	0.00466	0.0038	0.00336	0.00376	0.00338
0.03378	0.0339	0.02092	0.03386	0.0209	0.01814	0.00916	0.00614	0.0047	0.00378	0.00338	0.0038	0.00338
0.03382	0.03392	0.02088	0.03386	0.02088	0.01824	0.00918	0.00614	0.00466	0.0038	0.00334	0.00376	0.00338
0.03384	0.03392	0.02094	0.03384	0.02088	0.01808	0.00916	0.00622	0.00466	0.0038	0.00336	0.0038	0.00336
0.0338	0.0339	0.02092	0.03392	0.021	0.01816	0.0092	0.0062	0.00468	0.00382	0.00336	0.00382	0.00334
0.03378	0.03394	0.02092	0.03398	0.02086	0.01816	0.00918	0.00614	0.0047	0.00378	0.0034	0.0038	0.00338
0.03396	0.0339	0.02094	0.03394	0.02088	0.01814	0.0092	0.00616	0.00464	0.0038	0.00338	0.00382	0.00338
0.0338	0.03392	0.02088	0.03388	0.02088	0.01814	0.00916	0.00618	0.00466	0.00378	0.00336	0.0038	0.00336
0.03384	0.03384	0.0209	0.03386	0.02086	0.01814	0.00916	0.00614	0.00464	0.00376	0.00338	0.00378	0.00334
0.0338	0.03386	0.02094	0.03398	0.02096	0.01818	0.00912	0.0062	0.00468	0.0038	0.00332	0.0038	0.00334
0.03384	0.03394	0.02096	0.03392	0.02094	0.0181	0.00918	0.00614	0.00462	0.00378	0.00336	0.0038	0.00338
0.03378	0.03398	0.0209	0.03384	0.02094	0.01818	0.00912	0.00616	0.0047	0.00378	0.00336	0.00378	0.00338
0.03376	0.03396	0.02094	0.03388	0.0209	0.01816	0.00916	0.0062	0.00464	0.00378	0.00334	0.0038	0.00336
0.0338	0.03388	0.02088	0.03388	0.02092	0.01816	0.00914	0.00612	0.00464	0.00376	0.00338	0.0038	0.00334
0.03378	0.03388	0.02092	0.03394	0.02092	0.01816	0.0092	0.00618	0.00472	0.0038	0.00338	0.00378	0.00334
0.03374	0.03384	0.0209	0.0339	0.02086	0.0181	0.0091	0.00612	0.00468	0.0038	0.00334	0.00378	0.00336
0.03382	0.0339	0.02092	0.03388	0.0209	0.01814	0.00914	0.00616	0.00466	0.00378	0.00336	0.0038	0.00336
