16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.24922	0.24914	0.18396	0.2496	0.15336	0.1331	0.06654	0.05322	0.03998	0.03908	0.03448	0.03908	0.03448
0.24912	0.24916	0.18372	0.24934	0.15336	0.13312	0.06652	0.05324	0.03996	0.03916	0.03456	0.0391	0.03454
0.24904	0.24916	0.18382	0.24924	0.15342	0.133	0.06642	0.05318	0.03998	0.03908	0.03448	0.03908	0.03458
0.24908	0.24916	0.1842	0.24938	0.15324	0.13292	0.06642	0.05316	0.04	0.03906	0.03454	0.03906	0.03452
0.24932	0.24936	0.18406	0.24928	0.15344	0.133	0.0666	0.05318	0.04002	0.03906	0.03454	0.03914	0.03454
0.24896	0.24902	0.18376	0.24924	0.15338	0.13294	0.0665	0.05316	0.03998	0.03904	0.0345	0.03904	0.03466
0.24924	0.24908	0.18404	0.24934	0.1534	0.133	0.0665	0.05324	0.03994	0.03918	0.03458	0.0391	0.0345
0.24916	0.24904	0.18392	0.24928	0.15374	0.13306	0.06644	0.05324	0.03992	0.03908	0.03458	0.03912	0.03456
0.24902	0.24926	0.18392	0.24958	0.15356	0.13308	0.06656	0.05322	0.03992	0.03914	0.03446	0.03908	0.03456
0.24896	0.2492	0.18386	0.24942	0.1534	0.133	0.06662	0.05318	0.03998	0.03908	0.0346	0.03908	0.0345
0.24934	0.24906	0.18416	0.24926	0.15362	0.1332	0.06654	0.05314	0.03996	0.0392	0.03456	0.03906	0.03452
0.2491	0.24896	0.18394	0.24926	0.15352	0.1333	0.06654	0.05322	0.04	0.0391	0.03448	0.03908	0.0346
0.24908	0.2495	0.18362	0.24948	0.15342	0.13296	0.06648	0.05326	0.04002	0.0391	0.03456	0.0391	0.03452
0.24926	0.24902	0.18378	0.24954	0.15344	0.13284	0.06658	0.05326	0.03994	0.03904	0.0345	0.03904	0.0346
0.24922	0.24904	0.18408	0.2495	0.15344	0.13294	0.06652	0.05314	0.0399	0.03908	0.03454	0.03904	0.03458
0.24902	0.24918	0.18396	0.2495	0.15338	0.13298	0.06656	0.05312	0.03992	0.0391	0.03454	0.03906	0.03458
0.249	0.24928	0.1837	0.24928	0.15348	0.1331	0.06648	0.05326	0.03992	0.0391	0.03452	0.03918	0.03452
0.2492	0.24898	0.18398	0.24932	0.1535	0.13294	0.06648	0.05322	0.03994	0.03908	0.03452	0.03904	0.03458
0.24926	0.24902	0.18398	0.2496	0.15358	0.13296	0.06646	0.05322	0.03998	0.03902	0.03454	0.03912	0.03452
0.24888	0.2493	0.18372	0.24942	0.15344	0.13296	0.06644	0.05312	0.03994	0.0391	0.03458	0.03904	0.03456
