16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.23262	0.23258	0.14846	0.23278	0.14322	0.12414	0.06208	0.04288	0.03228	0.02674	0.02356	0.0267	0.0236
0.2325	0.23254	0.1482	0.23282	0.14318	0.12416	0.06206	0.04296	0.03234	0.02674	0.02354	0.02668	0.02364
0.23274	0.23266	0.14822	0.23276	0.14346	0.12424	0.0621	0.0429	0.03222	0.02674	0.0236	0.02674	0.02358
0.2325	0.23272	0.1483	0.23266	0.14322	0.12414	0.06216	0.04296	0.03224	0.02672	0.02364	0.0267	0.02372
0.23242	0.2328	0.14828	0.23262	0.14332	0.12416	0.06208	0.04288	0.03224	0.02672	0.0236	0.02666	0.02364
0.23242	0.23264	0.14834	0.23286	0.14324	0.12406	0.06208	0.04288	0.03222	0.02682	0.0236	0.02672	0.02358
0.23276	0.23276	0.14812	0.23266	0.14322	0.12412	0.06212	0.0429	0.0322	0.02672	0.02364	0.02672	0.02364
0.23244	0.23262	0.14828	0.23258	0.14348	0.1243	0.06206	0.0429	0.03238	0.02672	0.0236	0.02674	0.02358
0.23246	0.23246	0.14834	0.23278	0.14322	0.12414	0.06218	0.0429	0.0323	0.0267	0.02362	0.02674	0.02354
0.23272	0.23268	0.14838	0.23272	0.14304	0.1242	0.0621	0.04288	0.03228	0.02674	0.02362	0.02672	0.02358
0.23254	0.23256	0.14832	0.23266	0.14326	0.12418	0.06208	0.04294	0.03238	0.0267	0.02364	0.02666	0.02358
0.23234	0.23244	0.1482	0.2326	0.14334	0.12416	0.06212	0.04296	0.03228	0.02674	0.02366	0.02676	0.02358
0.23258	0.23284	0.14824	0.23282	0.14326	0.12422	0.06202	0.04286	0.03224	0.0267	0.02362	0.02678	0.02354
0.23258	0.23266	0.14828	0.23272	0.14318	0.1242	0.0622	0.04288	0.03232	0.02672	0.02354	0.02674	0.02362
0.23242	0.23262	0.1482	0.23262	0.14324	0.12408	0.062	0.04284	0.03218	0.02674	0.0237	0.02672	0.02354
0.23276	0.23262	0.1483	0.23266	0.14332	0.12414	0.06208	0.04286	0.0323	0.0267	0.02362	0.02682	0.0236
0.23272	0.23276	0.14824	0.23264	0.14318	0.12452	0.06222	0.04294	0.03224	0.02668	0.02358	0.02676	0.02362
0.23258	0.23268	0.14812	0.23264	0.1433	0.12418	0.06222	0.04294	0.03222	0.02668	0.02364	0.02672	0.0236
0.2326	0.2324	0.14844	0.2326	0.14318	0.12412	0.06206	0.04292	0.0323	0.02666	0.02356	0.02678	0.02356
0.23238	0.23254	0.14824	0.2326	0.14352	0.1242	0.06212	0.04296	0.03228	0.0267	0.02364	0.0267	0.0236
