16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2107.378351245314	2452.0536912710877	3664.3177742516086	2923.3621858645815	4388.63558020711	4979.803954865921	8628.680012720966	12576.437567373789	16543.262752751132	20421.995459074365	23062.666628226016	21995.485371044055	24817.971869857363
2108.5177058275854	2450.9529484726454	3665.73878738072	2922.1605878941323	4387.686570605211	4980.8634458667175	8629.05040233136	12572.287520806574	16540.91497048534	20412.06302039806	23054.88810929789	21995.951086927802	24825.900529855833
2107.2122923344464	2451.680118211589	3665.180200546872	2922.297641410224	4389.268327393516	4981.477374793405	8627.30803042935	12575.574883832618	16538.541102351355	20426.81007170481	23048.37748159721	22009.197925984136	24806.251825217583
2107.2275472324045	2451.436205832618	3664.731099066419	2921.9452558497564	4389.5397269619825	4980.170475078692	8627.774879064486	12571.346014738083	16549.488570955065	20420.799304848362	23061.217719167398	21999.460497543765	24822.646634041474
2107.5847510296244	2450.607889728203	3665.017071249222	2923.415701396279	4389.4870756332875	4981.185520951751	8628.054989662747	12572.641320431354	16543.13984142566	20420.93223237764	23050.102799165707	22011.124560446297	24817.234634534183
2108.027078925349	2450.2593201476257	3664.9405506761186	2922.9832531453526	4389.13336861086	4979.01383719402	8630.31698151377	12572.747072620217	16546.91583658572	20421.78082031885	23046.985341709424	22000.91792637914	24823.093320717406
2107.023408029386	2450.0069278654214	3664.740671340009	2923.465647227222	4388.877851993023	4981.303428437072	8629.503218614833	12571.82757059733	16545.35341329137	20417.254382594194	23056.928344008855	22015.892514525785	24813.682395494183
2107.1470950832118	2449.5869854234184	3665.1359479285843	2924.0608524923473	4391.011576869467	4982.522226951706	8629.367145920263	12573.903322157712	16543.577383230397	20418.47329825628	23070.111958591784	22000.214377384236	24809.806441698933
2107.2782008065474	2450.067995208763	3664.335454088307	2922.712673644114	4389.435227783754	4981.161998187336	8629.301132265904	12574.409030236337	16541.918629120308	20419.728874798508	23050.918391647152	22005.04489342887	24833.29342227387
2106.508739492308	2450.500560096473	3664.303788799633	2922.278456338073	4389.406337782605	4982.117536615578	8629.227843549517	12572.411295334312	16541.734513845437	20416.170358657837	23052.32086406255	21991.33804129977	24820.75916057954
2105.9820504109557	2450.237224632994	3664.810781471695	2923.5916123553056	4389.661498504556	4981.797377019732	8628.384694677065	12570.507989557656	16544.656297521135	20426.97715016476	23052.701083096592	22000.65301929039	24829.173942494755
2106.952172142588	2450.2327217487887	3664.6580915432355	2922.4690918954057	4388.6724825237325	4982.477642604188	8627.921529243687	12569.035997499908	16541.211523030175	20421.20746764608	23056.005016736624	22009.385330299494	24806.145125744388
2106.669262684557	2450.060256224929	3665.4974057942513	2922.260032986936	4388.981063861174	4981.667212320115	8625.402836805424	12571.383815363624	16552.56279980842	20421.285261361692	23066.21994909087	21992.27994894847	24811.415255830147
2106.8185621737925	2449.7818618541664	3665.7072006735093	2922.4009593475284	4388.955426024012	4981.941075915256	8626.649476688772	12575.800783552315	16543.560797382295	20413.320647162003	23056.940428759095	22002.85855364345	24822.79246774189
2106.923738525617	2449.5334597833353	3664.2750268926243	2922.3493499734636	4389.52582387169	4980.826920199506	8629.003137604093	12574.713542355252	16549.87361705233	20431.368083317248	23067.41909334374	22000.597379278857	24814.246038761485
2107.0057355957483	2450.6045754759416	3664.3800041696236	2922.8583993404454	4388.914792807228	4981.315763155233	8626.792446612153	12571.91106886712	16549.107427182404	20417.533262174198	23050.769170125324	22018.498288134364	24812.696493391082
2107.737684654633	2450.488616207655	3663.8338725155772	2922.101074524308	4387.526988516476	4981.946128560679	8628.046570512506	12570.650346817509	16545.162028856033	20430.31622168816	23048.019034822744	21999.81738994648	24816.73076331879
2108.204700826537	2449.9338916980455	3662.9526866440638	2922.33888133238	4388.560912745883	4982.025790941791	8629.226485473378	12570.10342432711	16545.708786493044	20423.311827395755	23056.652804342422	22006.01627300312	24816.135331696154
2106.2545249323844	2449.2949777965378	3663.285069875588	2923.245995401739	4386.46023454575	4982.725643919043	8630.366552443731	12572.716622457017	16544.522636047746	20424.920137072208	23048.268385125422	21999.45214200857	24817.98985425164
2105.7507881901097	2449.378984978557	3662.2881485000303	2922.0929943747474	4387.383828404133	4983.328347575718	8629.671677299168	12579.776346683502	16542.265481419032	20417.14652992007	23063.215337120007	22010.228286186855	24812.53264992481
