16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.43156	0.4317	0.2654	0.43116	0.26552	0.2301	0.11534	0.07684	0.0577	0.04612	0.0407	0.04618	0.04078
0.4313	0.43108	0.26528	0.4316	0.2654	0.23016	0.11508	0.07688	0.05762	0.04618	0.04078	0.0462	0.04076
0.43136	0.4315	0.26528	0.43102	0.26542	0.23006	0.11506	0.07668	0.05754	0.04618	0.04076	0.04616	0.04078
0.43136	0.43096	0.26542	0.4315	0.26548	0.23018	0.1151	0.0768	0.0576	0.04626	0.04078	0.0461	0.04074
0.43158	0.43144	0.26522	0.43122	0.26556	0.23036	0.11506	0.07666	0.05756	0.04614	0.04076	0.04612	0.04076
0.43094	0.4312	0.2652	0.43126	0.26554	0.23012	0.11512	0.0767	0.05764	0.04612	0.04076	0.04624	0.04076
0.4314	0.4311	0.26552	0.43138	0.26562	0.23014	0.11502	0.0768	0.05752	0.04612	0.04082	0.04618	0.04084
0.43126	0.4315	0.26522	0.43126	0.26552	0.22996	0.11526	0.07674	0.05772	0.04616	0.04072	0.04612	0.04074
0.43128	0.43104	0.26522	0.43152	0.2658	0.23006	0.11488	0.07686	0.05762	0.04614	0.0407	0.04626	0.04074
0.43132	0.43132	0.26544	0.43124	0.26534	0.23014	0.1152	0.07674	0.05756	0.04608	0.04076	0.04626	0.04072
0.43106	0.43124	0.2654	0.43158	0.26584	0.23004	0.11514	0.0767	0.05772	0.04622	0.0407	0.04614	0.04074
0.43148	0.43146	0.26524	0.43114	0.26548	0.23006	0.11512	0.07688	0.05754	0.04616	0.04078	0.0461	0.0408
0.43128	0.43128	0.26536	0.43148	0.26536	0.23028	0.11506	0.07672	0.05754	0.04614	0.04078	0.04614	0.04076
0.43142	0.43138	0.26534	0.4312	0.26558	0.23008	0.11508	0.07688	0.05752	0.04616	0.04076	0.04616	0.04086
0.4312	0.43142	0.26546	0.43138	0.26568	0.23036	0.11498	0.07682	0.05758	0.04614	0.04072	0.04618	0.04078
0.43144	0.43116	0.2653	0.43126	0.26554	0.23036	0.11516	0.07676	0.0575	0.0461	0.0408	0.04618	0.04078
0.43118	0.4314	0.26516	0.43146	0.26566	0.23006	0.11528	0.07688	0.05764	0.0461	0.04076	0.0462	0.04074
0.43136	0.43118	0.26546	0.4315	0.26564	0.23014	0.11496	0.07664	0.05758	0.04612	0.04078	0.0462	0.0408
0.43138	0.43136	0.2652	0.43112	0.26566	0.23026	0.11508	0.07672	0.05756	0.04614	0.04074	0.04614	0.0408
0.43132	0.4312	0.26534	0.43134	0.26554	0.23016	0.115	0.0768	0.0576	0.04618	0.04078	0.04608	0.04086
