16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2317.109872533577	2658.1637018611336	4001.35797475607	3171.2367137033575	4797.115516401163	5459.381639789034	9583.042694657193	14041.298075696352	18464.905875069755	22886.06264783079	25857.18238680018	24604.64145360368	27789.659907363493
2317.425886588724	2657.3496264508594	4001.2296196301	3172.3797975052576	4796.750306335736	5457.861209782393	9582.501009120097	14035.983195621899	18457.60482987502	22888.278585508022	25836.547972664	24627.995571484047	27795.25049959128
2317.7630046031763	2657.052130855017	3999.8605943645825	3172.6064813088187	4795.7278320467885	5458.255169353959	9581.58845075201	14041.634162186201	18464.026635665276	22886.720576756437	25842.0026985703	24617.52698228166	27790.339545135885
2316.041985261551	2657.4018426775237	3999.4053890594687	3173.0684504917954	4796.9160537645	5460.255887599708	9581.299965811488	14037.697750392543	18469.863443826715	22880.390068543373	25852.827791507334	24622.72933848332	27796.60567897357
2315.8718946974755	2655.9514656738397	4000.283873168647	3173.2928257092	4797.450944957847	5458.77663901247	9579.817740925813	14033.64752236563	18458.69934123327	22887.296542315416	25840.960114947076	24619.756150124915	27785.82900535059
2314.4769590866763	2656.9383128711197	4001.113363993321	3173.368588707831	4798.0836402924415	5458.885128215208	9580.560650136604	14040.440724794134	18460.644974491323	22885.70554237666	25843.35147118082	24625.917498985033	27788.320265430186
2315.0043286169634	2656.9795473373993	4000.2120119491838	3172.1876971432603	4796.29340441	5459.781476114091	9579.460364585539	14039.370102611014	18473.178928998965	22885.368265455174	25843.102713020482	24616.717485405265	27804.15681645455
2316.524081913331	2657.739064408085	4000.5052159677048	3172.7607729809392	4798.28435690466	5458.239483623276	9583.652746058478	14037.712409678714	18459.575501453153	22881.704944748064	25847.944636253793	24617.053069982587	27788.504435804865
2316.0909924201455	2657.829001927527	4000.664972076924	3172.3940779915756	4797.276442613059	5460.012229486347	9582.171682584083	14038.939853737947	18459.59838467995	22878.512756896904	25825.771322092834	24631.11095653365	27803.494660962366
2315.675238674779	2658.212370339484	4000.4562988639614	3171.134609922095	4797.356809022584	5460.036127995567	9582.028479433964	14037.201351302656	18457.469045847145	22874.983071478127	25834.274413170628	24629.54881360593	27797.13613049402
2316.3783100755327	2658.4841311427117	4000.5168442207314	3171.705595690609	4796.818321830073	5458.787482809155	9581.188657390538	14035.348270600489	18459.7979809284	22878.999983788075	25849.921362740653	24613.753748959174	27825.579066185433
2315.236956435012	2658.112874486292	4000.2796553557337	3172.1795675644275	4795.768638438277	5459.874875134026	9582.467446125971	14038.158576877518	18454.5314790539	22883.166367758804	25848.713650065623	24610.61230650893	27784.14708034248
2314.2874689840633	2659.284301971351	4000.0498067086505	3172.7000464507532	4796.8577275045745	5458.391497045142	9579.234940019425	14040.591796750903	18456.98126490502	22877.74198637234	25845.068449876748	24628.256464889037	27779.685328631607
2314.6658271071115	2658.9353376300023	4001.8950423149213	3173.2357171033686	4798.555696490604	5459.544833770579	9582.996260697077	14036.571354228632	18461.393385561227	22890.61468595062	25849.93710429973	24613.267793430117	27785.365351565597
2316.3630492957827	2658.9065301613728	4001.178653662124	3173.3176202920677	4798.244159423445	5458.542807952602	9583.650578213277	14040.309670977118	18460.706996788907	22875.3949070836	25857.772656740774	24619.472160767975	27790.649549955022
2316.5264489689407	2658.135943162843	4001.470655056976	3173.08983545714	4797.760597331287	5458.820252899829	9580.631570620006	14035.337739071603	18463.531879220474	22888.094655583413	25842.6228905939	24620.075472701315	27802.480726825946
2317.276467979062	2658.7108671611304	4001.658246024747	3173.643522461615	4797.336089439471	5458.434521713628	9584.167120038494	14037.29594391427	18456.764186809276	22881.41922211983	25836.173279312698	24631.683560342368	27786.55940214489
2316.166646890913	2658.144349314746	4001.6367704517043	3173.1671108185387	4798.468732137511	5458.523191581451	9582.525558988344	14036.058692841641	18458.989008972636	22888.640585042227	25843.778637024938	24610.481757063415	27791.16903900341
2316.5499426840297	2657.4473884020704	3999.3660324007096	3172.3226080182376	4798.22269890352	5459.050290312648	9582.036977654478	14038.769576159157	18458.661619936945	22886.022933762462	25840.028531991753	24630.57392493678	27796.13404857869
2316.6482052747806	2657.3759101959595	4001.614070673871	3172.999713176727	4798.469192628792	5458.062253500995	9581.535030661613	14038.859143318481	18467.08539481845	22877.70392189563	25842.714643995045	24622.247722786917	27804.02283025455
