16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.33142	0.33168	0.20444	0.33172	0.20428	0.17698	0.08852	0.05894	0.04438	0.03554	0.03142	0.0356	0.03138
0.33174	0.3317	0.2045	0.33188	0.20416	0.17716	0.08856	0.05896	0.04438	0.03554	0.0315	0.03556	0.0313
0.33166	0.33164	0.20428	0.33176	0.20426	0.1772	0.08864	0.05898	0.04444	0.0355	0.0314	0.03552	0.03144
0.33188	0.33182	0.20426	0.33182	0.2042	0.17702	0.08852	0.05906	0.0443	0.03556	0.03134	0.03554	0.03142
0.33164	0.33176	0.2045	0.3318	0.20426	0.17708	0.08864	0.05902	0.04434	0.0355	0.03134	0.03554	0.03144
0.33134	0.33174	0.20418	0.33184	0.20444	0.177	0.08846	0.05904	0.04434	0.03556	0.03136	0.0356	0.03138
0.3315	0.33166	0.20448	0.33192	0.20442	0.17708	0.08856	0.05904	0.04428	0.03548	0.03136	0.03546	0.03134
0.33168	0.33152	0.2044	0.33188	0.2042	0.17708	0.0886	0.05908	0.04428	0.03552	0.0314	0.03558	0.03138
0.33132	0.3319	0.20412	0.33178	0.20418	0.17722	0.0885	0.05908	0.04434	0.03556	0.03148	0.03562	0.03134
0.33156	0.33172	0.20438	0.33192	0.20452	0.17714	0.08856	0.05908	0.04436	0.03564	0.03148	0.03548	0.03138
0.3315	0.33174	0.20422	0.3316	0.20428	0.17694	0.08844	0.05922	0.04434	0.03554	0.03136	0.03556	0.0314
0.33144	0.33184	0.20434	0.33166	0.20426	0.17684	0.08862	0.05908	0.04434	0.03564	0.0314	0.03552	0.0314
0.3319	0.33156	0.20414	0.3317	0.20444	0.17692	0.08862	0.05902	0.04434	0.03556	0.03136	0.03558	0.03144
0.33154	0.3318	0.2044	0.33156	0.20414	0.177	0.08854	0.0591	0.04436	0.03558	0.03146	0.03556	0.03152
0.33146	0.33184	0.20422	0.3317	0.20416	0.17702	0.0885	0.05908	0.04442	0.03552	0.03134	0.0356	0.03144
0.33162	0.33158	0.20428	0.33164	0.20438	0.17694	0.08854	0.059	0.04438	0.0356	0.0314	0.03554	0.03136
0.33164	0.33182	0.20422	0.33156	0.20426	0.17678	0.08848	0.05908	0.04438	0.0355	0.03148	0.03548	0.03138
0.33164	0.33172	0.20416	0.33186	0.20406	0.17714	0.0886	0.05902	0.04442	0.03556	0.03132	0.03546	0.0314
0.3315	0.33162	0.2044	0.3316	0.20434	0.17694	0.08842	0.05912	0.04432	0.03554	0.0314	0.03556	0.03136
0.33152	0.332	0.2043	0.33164	0.20442	0.17702	0.08848	0.05908	0.04434	0.0355	0.03138	0.0355	0.03144
