16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3141.5608594965247	3477.7773199732733	4681.411852301996	4245.998380274101	6463.831907672121	7334.926615652307	12939.730523978846	16468.778038829692	21576.801398852924	24049.948854565126	27119.1734688005	25992.359534922976	29286.96756164099
3141.2514922298406	3476.9589721920934	4680.1139206641465	4247.389442877924	6463.9500399541585	7333.172256865516	12941.687895666008	16474.6263130939	21582.13896794362	24066.90300182259	27119.088012900127	25993.671654665617	29276.94974407073
3142.1063977252343	3478.766410581527	4681.708659600774	4246.493666430801	6464.090826791092	7333.924321784187	12936.932524454962	16469.314549365794	21576.365909060918	24068.550540007185	27126.734979321387	26014.604290491905	29276.198392910315
3139.6811222513393	3477.700324422302	4679.30029003566	4245.390811819331	6465.9752216858205	7335.813689024285	12939.737845158232	16473.545723944513	21578.253926457586	24077.688348236807	27112.7749351711	26011.15397628703	29256.288797263333
3139.7399423826864	3476.9292607210255	4680.276048228624	4245.82050544799	6465.042870391004	7332.60327756232	12934.206381046764	16478.62993382119	21562.58757685272	24046.559067948998	27127.3589246451	25981.010947444865	29285.242868785423
3139.937376129132	3476.178756656208	4681.621620549524	4245.904851381649	6464.94354358834	7333.604145525888	12937.332858744356	16475.468747803563	21566.121042881645	24062.359297664654	27130.782403798414	26011.03369734324	29257.375706908522
3139.7862659109223	3476.4303627427303	4679.610260192595	4246.299514980178	6463.449460308794	7334.132873958191	12937.145054782448	16474.826686878496	21561.95232460091	24054.20336132581	27129.159169302904	25988.797876099427	29253.242958945022
3139.155374672813	3476.605820055112	4680.487382571019	4245.4471524267165	6466.546405481757	7333.947026081165	12938.598434232501	16474.044806248432	21572.21517810155	24066.130980539747	27132.18940201626	25999.97666992476	29263.676373729617
3139.3681085440535	3476.2187838093323	4680.119202406764	4246.992083686769	6463.769491644435	7333.113832872397	12942.593826849616	16470.0009917568	21567.671685605437	24063.735758161685	27131.09789719764	25987.923604606804	29272.609500474828
3139.885310378472	3477.619942481124	4680.144861240221	4246.904890554874	6463.168837698555	7332.952423243084	12941.48505271018	16482.737346101443	21572.336169007925	24080.364572853643	27113.723754882812	26005.289861275447	29260.024358315146
3139.109442134997	3478.1643972800366	4678.672663635127	4247.719821338239	6462.55615204531	7334.137546647456	12939.231769259248	16475.390015165245	21564.79920841833	24054.979499794255	27134.345521862873	25994.23126818022	29247.580036040275
3138.754658752751	3476.990101712243	4679.523065438117	4246.771750127112	6464.3702493039455	7333.325694100769	12941.799993100374	16475.751159461855	21572.512809676355	24054.849890643836	27119.532137448714	26016.996935080577	29250.457732970088
3137.9742347671363	3477.201510168559	4679.812124338699	4246.743697693894	6464.270187771911	7334.090982712769	12943.362175477077	16476.473429077974	21579.175599863833	24049.912129924345	27146.919188919528	25993.331358092575	29276.043096752015
3138.245478437594	3477.134566969774	4680.899303876527	4247.078239160676	6463.902660142226	7332.83882343794	12943.083359148332	16487.02019607046	21576.2382829693	24049.204436189822	27143.46240303966	26000.424167168952	29249.82898978777
3138.06828916411	3478.02497772592	4680.417484461146	4246.480207345849	6463.562943927728	7332.40885832875	12939.280455874414	16477.271379374935	21570.974971422886	24056.499641748596	27131.2100912935	25977.42705956339	29258.08904636314
3138.3118310580453	3476.9445665415737	4680.300726812432	4245.654414199881	6464.565548437909	7334.599080959701	12946.634907876292	16479.773533515574	21575.12682007318	24058.185296833584	27130.076995706142	25994.07584976712	29256.742697299007
3138.1646587055575	3477.140237982457	4680.721324981353	4244.7466980971585	6464.187429446459	7332.979729390076	12944.227032260102	16482.692742700558	21566.88258697561	24063.40635848682	27148.031212994112	26003.423705476496	29264.539680224938
3137.722715129864	3476.508034782377	4680.10384255744	4245.449952768421	6465.285039543357	7333.347148978285	12941.60650376926	16477.84701875738	21584.592960976264	24059.813217760406	27141.406640460595	25995.80068616556	29268.377831696027
3137.8742261306784	3476.734389320776	4679.055768065155	4245.868952812423	6465.484076085327	7332.687869356067	12940.82012994564	16484.10456924245	21576.29717577685	24068.56984058875	27131.223550406834	25993.302640621827	29272.004581937854
3135.6377774221287	3477.6157894118123	4680.253124470233	4246.739662155339	6464.213028901522	7332.867494247081	12936.267132680621	16478.869437365236	21584.156197561344	24064.15865666372	27138.369057768134	26006.739753921545	29259.11371856628
