16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.23264	0.23252	0.16358	0.23278	0.14332	0.12438	0.06202	0.0474	0.03552	0.03374	0.02978	0.0337	0.02974
0.23272	0.23276	0.1636	0.23306	0.1432	0.12414	0.06204	0.04734	0.03552	0.03374	0.0298	0.03374	0.02976
0.23256	0.2325	0.1635	0.2331	0.1432	0.12416	0.06208	0.04726	0.03552	0.0337	0.02996	0.03362	0.02978
0.23256	0.23254	0.16356	0.23304	0.1433	0.12404	0.0621	0.04734	0.03552	0.03376	0.02986	0.03382	0.0298
0.23278	0.23258	0.16358	0.23304	0.14348	0.12412	0.06212	0.04736	0.0355	0.03372	0.02974	0.03378	0.02972
0.23254	0.23288	0.16356	0.23284	0.14324	0.12426	0.06208	0.04724	0.03554	0.0337	0.02974	0.03372	0.02976
0.23256	0.23268	0.16358	0.23288	0.14326	0.12408	0.06202	0.04728	0.03552	0.03374	0.02974	0.03378	0.02978
0.23254	0.23258	0.16338	0.23294	0.14326	0.12428	0.06224	0.04736	0.03548	0.0337	0.02976	0.03384	0.02978
0.23278	0.2327	0.1635	0.23288	0.14332	0.1244	0.06206	0.04732	0.03552	0.0337	0.02982	0.03374	0.02976
0.23248	0.23254	0.16342	0.23284	0.14338	0.12424	0.06216	0.04722	0.03556	0.03378	0.0298	0.03374	0.02978
0.23254	0.23256	0.16354	0.23274	0.14316	0.12416	0.06204	0.04724	0.03554	0.0337	0.0298	0.03372	0.02976
0.23258	0.23256	0.16336	0.23294	0.14326	0.12408	0.0621	0.04738	0.03564	0.0337	0.02978	0.03376	0.02982
0.2326	0.23262	0.1634	0.2327	0.1433	0.12428	0.06206	0.04728	0.0355	0.03386	0.02974	0.03378	0.02984
0.23278	0.23284	0.16342	0.23304	0.14344	0.12422	0.06204	0.04722	0.0355	0.03378	0.02982	0.0337	0.02976
0.23268	0.23262	0.16358	0.23306	0.14306	0.12416	0.06208	0.04734	0.03548	0.03374	0.02976	0.03386	0.02982
0.23268	0.23266	0.16356	0.2328	0.1434	0.1244	0.062	0.04732	0.03546	0.03372	0.02978	0.03374	0.02984
0.23256	0.23274	0.1634	0.23278	0.14338	0.12404	0.06202	0.0473	0.03554	0.0337	0.02982	0.03378	0.0298
0.23278	0.2326	0.16344	0.2332	0.14338	0.12406	0.06202	0.04736	0.03552	0.03372	0.0297	0.0337	0.02986
0.23264	0.23262	0.16384	0.23288	0.1433	0.1242	0.06202	0.04732	0.03552	0.03378	0.02976	0.03384	0.0298
0.23262	0.2326	0.1636	0.23286	0.14334	0.1243	0.06198	0.04732	0.0355	0.03366	0.02976	0.03384	0.02982
