16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
965.6899452209474	1126.040096282959	1032.8276634216309	1606.9068603515625	1480.120330810547	1455.1218566894531	1257.654052734375	1224.3767395019531	1209.8963012695315	1200.4555206298828	1194.023048400879	1376.2293701171873	1372.4614746093753
964.4045829772949	1125.8429145812988	1033.0965614318848	1605.9505233764648	1480.9040908813477	1454.887275695801	1257.7872848510742	1222.6954650878906	1207.009895324707	1197.5898513793943	1194.731231689453	1376.5382080078123	1370.58056640625
964.5750617980957	1126.1821746826172	1033.2859230041504	1606.9256286621091	1482.2131805419922	1457.4418487548828	1259.8387069702146	1224.2684783935547	1208.4903717041016	1200.6752471923828	1195.538360595703	1375.524169921875	1371.0412353515624
965.1625061035156	1124.7512817382812	1032.4814414978027	1606.6434631347656	1480.4142837524414	1455.9220504760742	1258.5978469848633	1224.8567276000974	1210.5495986938477	1198.504669189453	1193.7085647583008	1375.8286865234375	1370.8035888671875
964.9322319030761	1125.3217124938963	1032.8331184387207	1606.710639953613	1481.3446426391602	1456.2215881347656	1258.0712585449219	1222.9501190185547	1206.08088684082	1197.4283294677734	1194.6013641357422	1377.2337402343749	1370.234033203125
964.7761726379395	1124.6317291259766	1033.0115509033203	1607.2332916259766	1480.1672286987305	1456.6587295532227	1258.1603393554685	1227.8838958740234	1208.013427734375	1197.3660278320312	1193.6035766601562	1376.94560546875	1370.5926025390625
965.165557861328	1124.8405647277832	1032.2391510009766	1607.6307678222659	1481.5925674438477	1456.1074447631834	1258.9117584228518	1226.9561233520508	1207.5586853027344	1197.7483978271482	1196.6045837402344	1379.71083984375	1371.2378906249999
965.542049407959	1124.960117340088	1033.514060974121	1606.929542541504	1481.7113113403318	1454.9761276245115	1257.9450531005857	1225.4673385620117	1207.16633605957	1196.325553894043	1193.0852966308594	1378.2358642578126	1370.4742675781251
964.3904113769531	1124.9971961975098	1033.0988311767578	1607.4645080566406	1482.0340118408203	1456.4427108764648	1259.3487167358398	1223.5116348266602	1206.630729675293	1197.858283996582	1194.9682846069334	1376.4531005859371	1368.8107177734375
965.3616333007812	1124.9720001220703	1032.1773529052734	1605.8730697631838	1481.867317199707	1456.4601745605469	1256.8026580810547	1226.2443466186526	1208.342170715332	1198.4303970336912	1194.079833984375	1375.4363525390627	1370.3757568359374
965.38387298584	1124.6209144592285	1033.665828704834	1607.02326965332	1480.2080154418945	1454.7182235717773	1259.771713256836	1224.117416381836	1206.2833099365232	1198.541450500488	1193.757957458496	1374.93173828125	1369.565185546875
964.9742889404296	1125.3253555297852	1033.0047035217285	1606.124038696289	1480.477844238281	1455.8589935302734	1256.8815307617185	1223.5599975585938	1208.6721954345703	1199.5590820312498	1197.6877670288086	1374.238232421875	1370.13212890625
965.1360511779785	1124.9828147888184	1032.7284240722656	1607.4686050415037	1482.742332458496	1456.4905242919922	1256.9791259765623	1224.6302490234375	1206.8254852294922	1199.3834838867185	1194.476188659668	1376.5088378906248	1370.50556640625
965.4222679138184	1125.5609321594238	1033.4697723388672	1605.88037109375	1480.3125228881836	1456.8493194580076	1259.1648788452148	1225.8020095825195	1206.7312316894531	1198.4582061767576	1196.7746200561523	1376.9154052734377	1368.9253173828126
964.7162818908693	1125.021152496338	1033.0055236816406	1606.6274642944336	1482.570373535156	1456.1339721679685	1257.1457748413084	1223.5767288208008	1206.9015655517578	1199.096305847168	1195.3050384521484	1375.422802734375	1370.731640625
964.9371910095214	1125.5385589599607	1032.4606513977053	1607.0408248901367	1480.7646789550781	1455.5892333984375	1257.9152526855466	1224.2852096557615	1207.0988388061521	1198.3140563964841	1197.2259063720703	1376.48759765625	1372.12578125
963.9371299743652	1124.7468376159668	1032.99222946167	1607.216194152832	1480.9195861816409	1455.132957458496	1259.99853515625	1224.5634384155273	1207.8582000732422	1198.424217224121	1195.6459350585938	1374.877197265625	1369.568310546875
964.5833587646483	1126.4224433898926	1034.5145797729492	1605.9807357788084	1482.5611267089841	1456.0149536132815	1258.3439025878906	1223.6985397338865	1206.7659301757812	1199.1244125366209	1194.5044326782227	1376.5600341796874	1369.952392578125
964.623908996582	1124.954490661621	1032.4891471862793	1606.8457717895508	1481.008735656738	1456.2398529052734	1260.0529403686521	1226.259407043457	1206.7959594726562	1198.4107818603513	1195.836799621582	1378.5200927734377	1369.05888671875
964.7190284729004	1125.1126289367674	1032.793083190918	1606.359603881836	1482.57096862793	1456.4238739013672	1258.7595977783203	1224.6234054565427	1207.1166458129883	1197.6482620239256	1196.8558731079102	1375.7402587890624	1369.8311523437499
