16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2079.883577904259	2423.9895300360763	3618.1169460576994	2882.8612492851857	4318.745129582595	4899.796133995518	8464.262994228013	12361.448383631705	16241.09081386291	20136.465388987566	22738.09888027268	21659.532542386234	24424.49947696069
2078.8165696182423	2424.8178216267474	3617.5382079693422	2883.007545914952	4318.008195945147	4900.194257052114	8467.895223050804	12365.447664723813	16249.460087839352	20137.036779987127	22730.807300027645	21664.393130662844	24435.556081809285
2078.825564220034	2425.3395673054597	3617.9479096783975	2882.522581693985	4319.709206307827	4900.084216744946	8466.657976950368	12366.348266601562	16243.150157313194	20132.046398262624	22725.409834924405	21657.15956774415	24432.61781748194
2079.553792345763	2424.4509435641517	3617.918009313206	2883.7545287591643	4318.997933740727	4900.906347538894	8466.512263109886	12363.298687823983	16244.626928258826	20128.051007481074	22721.72538370452	21653.22645742215	24428.38284221009
2078.7889006486193	2423.6952670555597	3617.3757300319444	2882.3851143000898	4318.688318170889	4900.331085900116	8467.070872670825	12365.021829436168	16242.201126384674	20134.320847924628	22728.33645615948	21675.339636545235	24440.53284109455
2079.079761740237	2423.357458037357	3616.227511388785	2883.69520810184	4319.789488626026	4899.427973150167	8466.30288648975	12363.902608688008	16252.467814745116	20133.273268631143	22740.504051595723	21662.077210480486	24446.928555562616
2079.560367709489	2423.703005231164	3616.055317736203	2882.7946000141046	4320.015650349451	4899.5512825486	8468.62392653409	12363.524016042431	16246.349764593886	20123.460984999132	22724.942717643466	21661.95927708862	24447.275263596104
2079.7442153275297	2423.6472710705098	3617.4800874137945	2883.398544674906	4321.571559978102	4900.493518526229	8467.589210423976	12363.471938680506	16246.316968932631	20123.899103317908	22730.629794064535	21664.92492859992	24444.817843502515
2078.5172019848983	2423.518302881322	3617.546155811884	2883.861693678939	4320.698094041015	4899.09687197756	8467.462190951535	12364.6983873662	16244.355542209114	20133.4255075397	22735.317439249116	21663.053683174126	24437.462825879753
2078.8182809354003	2424.299629605358	3617.3594760821247	2883.862507835502	4319.909854473364	4899.155615297445	8468.107603499991	12365.322953156789	16246.3989824047	20126.803658365097	22728.792332579087	21664.509081071425	24431.904610407946
2079.672281313744	2423.334154583754	3617.251640204486	2884.063526821798	4319.9085225709605	4899.228848649428	8466.207750381962	12364.822387695312	16244.927143079663	20128.66872397703	22722.6655523545	21656.56089782715	24439.762476210508
2078.879505666831	2423.4943264198328	3617.4698960699275	2884.437521903311	4320.393391459708	4899.110918841441	8467.269811113707	12362.188788783076	16245.594024658203	20137.642392412872	22724.798251153774	21654.369081879584	24438.715198812963
2079.496792161464	2423.278508505985	3618.2763088510465	2883.4965792748403	4319.740632016781	4898.466799486077	8466.558397837607	12364.007844917995	16241.729721542477	20134.69453207626	22725.95488317481	21663.93089448128	24434.218935529047
2079.0383924408184	2423.792868253206	3617.578312583545	2883.378528350696	4320.213522005625	4898.092066280722	8466.226123159155	12363.854691988618	16245.708558016331	20127.27069355028	22728.171909300978	21661.602101688946	24428.34408874651
2079.1299178682525	2423.5699105909907	3616.9661193334755	2882.360000528227	4319.541679880067	4898.453805936705	8464.944077524433	12362.357832411906	16242.753627688386	20129.873520131077	22741.724475878014	21664.295657988518	24427.100689741816
2077.8147954554724	2423.95348012224	3617.0846811859064	2883.7224104402394	4318.508314537336	4898.5987716340815	8464.653670633794	12363.52005226775	16245.408575664194	20124.849798409316	22736.742372608445	21654.871841903852	24440.794952156008
2078.3465501819	2423.709946162063	3619.200579712949	2883.9128987999943	4318.657807780541	4899.437567200323	8466.366548112199	12360.338323800139	16239.891901597857	20126.699872768393	22727.45466580356	21664.437482125242	24439.818241542853
2077.2318002512025	2425.021406652083	3618.955361970717	2882.8133719965404	4320.421057458457	4900.0314783851645	8466.170828542243	12357.595529708826	16246.175688957745	20130.345362218322	22716.1195929983	21664.73663785014	24435.50928542603
2078.662045848774	2424.261896952032	3618.7058291962685	2882.379333472445	4320.127227599465	4899.205533929731	8468.097717531266	12362.482932529409	16241.332357243975	20126.474235193327	22720.717427070642	21660.676236509415	24430.72762103754
2078.4191409705713	2424.1847559613193	3618.502849102789	2883.120834018659	4320.751931139195	4898.638043205007	8467.600351000432	12360.94361127809	16240.40261829981	20129.895489174494	22719.359778054484	21669.29591086603	24444.508628792933
