16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.4643	0.46454	0.28546	0.4645	0.2856	0.24748	0.12382	0.08254	0.06208	0.04968	0.04376	0.04964	0.0439
0.46392	0.4643	0.28558	0.4642	0.2858	0.24742	0.12378	0.0824	0.0619	0.04956	0.0438	0.04964	0.04382
0.464	0.46434	0.2856	0.46456	0.28594	0.24786	0.124	0.0825	0.062	0.0497	0.04384	0.04962	0.04384
0.46412	0.46392	0.28538	0.46428	0.28564	0.24756	0.12388	0.08256	0.0621	0.04962	0.04378	0.04964	0.04384
0.46418	0.4643	0.28552	0.46452	0.28584	0.24764	0.12382	0.08242	0.06188	0.04956	0.0438	0.04964	0.0438
0.46404	0.46408	0.28566	0.46446	0.28554	0.24776	0.12384	0.08276	0.06194	0.04956	0.04374	0.04966	0.0438
0.46412	0.4641	0.28546	0.46472	0.2858	0.24766	0.12388	0.0827	0.06194	0.0496	0.04388	0.04976	0.04382
0.46426	0.46416	0.2857	0.46442	0.28572	0.24742	0.1238	0.0826	0.06192	0.04954	0.04374	0.0497	0.0438
0.46398	0.4642	0.28558	0.4645	0.28584	0.24774	0.12394	0.08246	0.0619	0.04958	0.0438	0.04964	0.04376
0.46438	0.46404	0.28534	0.46404	0.28586	0.24774	0.12368	0.08264	0.06198	0.04962	0.04378	0.0496	0.04382
0.4642	0.46408	0.28576	0.46434	0.28554	0.24744	0.124	0.0825	0.06188	0.04962	0.04378	0.0496	0.04378
0.46418	0.46434	0.28556	0.46402	0.28556	0.24764	0.1237	0.08248	0.062	0.04964	0.04392	0.04958	0.0438
0.46412	0.46424	0.28542	0.46456	0.28604	0.24778	0.12372	0.08254	0.06192	0.04964	0.0438	0.04964	0.04382
0.46436	0.46438	0.28568	0.46412	0.28554	0.24786	0.12394	0.08262	0.0619	0.04962	0.04388	0.04966	0.04378
0.464	0.4642	0.2856	0.4645	0.28602	0.24772	0.12376	0.08248	0.06192	0.04964	0.0438	0.0496	0.04384
0.4644	0.46434	0.28544	0.4644	0.28574	0.24762	0.12384	0.08252	0.06192	0.04962	0.04388	0.04966	0.04386
0.4638	0.46406	0.28542	0.46442	0.28576	0.2475	0.12402	0.08256	0.06198	0.04962	0.04384	0.04958	0.04378
0.46436	0.4645	0.28586	0.46424	0.28596	0.24762	0.12386	0.08252	0.0619	0.04964	0.04382	0.04964	0.0438
0.46406	0.46404	0.28532	0.46456	0.28568	0.2477	0.124	0.08266	0.06192	0.04962	0.04386	0.04972	0.04378
0.46416	0.46412	0.28542	0.4643	0.28594	0.24776	0.12388	0.08256	0.06194	0.04958	0.0439	0.0496	0.04378
