16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.21622	0.21598	0.1383	0.21606	0.13322	0.11562	0.05776	0.03996	0.03008	0.02498	0.02204	0.02496	0.02202
0.216	0.216	0.13812	0.21618	0.13316	0.11532	0.05762	0.04004	0.02998	0.02494	0.02212	0.02502	0.02208
0.216	0.21626	0.1381	0.2162	0.13296	0.11528	0.05778	0.03996	0.03004	0.02498	0.02212	0.02496	0.0221
0.21614	0.21626	0.13816	0.21622	0.13322	0.11536	0.0578	0.03996	0.03014	0.02498	0.0222	0.02496	0.02214
0.21604	0.21604	0.13836	0.21636	0.13318	0.11546	0.05786	0.04012	0.03004	0.02504	0.02202	0.02498	0.02208
0.21602	0.21618	0.13816	0.21606	0.13304	0.11542	0.05784	0.04008	0.03004	0.025	0.02208	0.02504	0.02202
0.21592	0.2162	0.13836	0.2162	0.13298	0.11538	0.05768	0.04	0.03012	0.025	0.0221	0.02504	0.0221
0.21622	0.216	0.13828	0.21612	0.13314	0.11528	0.05784	0.04006	0.03006	0.025	0.02218	0.025	0.0221
0.2159	0.21602	0.13826	0.21624	0.133	0.11536	0.05766	0.04002	0.03006	0.02506	0.02212	0.02498	0.02204
0.2161	0.21616	0.1382	0.21614	0.13312	0.11552	0.05776	0.03998	0.03004	0.025	0.02206	0.02506	0.02216
0.21606	0.21614	0.13818	0.21632	0.13308	0.11522	0.05768	0.03994	0.0301	0.02496	0.0221	0.02498	0.02208
0.21598	0.21618	0.13816	0.21628	0.13328	0.11534	0.05778	0.03996	0.03004	0.02498	0.0221	0.02502	0.0221
0.21626	0.21604	0.13806	0.21606	0.13314	0.11534	0.05772	0.03994	0.03008	0.02498	0.02206	0.025	0.02206
0.21614	0.21608	0.13822	0.21614	0.13322	0.11532	0.05786	0.04002	0.03012	0.02494	0.02208	0.02498	0.02212
0.21604	0.21616	0.13828	0.21624	0.13308	0.11538	0.05786	0.03998	0.03006	0.02498	0.0221	0.02498	0.02208
0.21586	0.21604	0.1382	0.21618	0.133	0.11536	0.05776	0.04002	0.03002	0.02496	0.0222	0.02496	0.0221
0.21608	0.21606	0.13826	0.21614	0.13296	0.11538	0.05776	0.04	0.03	0.02502	0.02206	0.02496	0.02204
0.21604	0.21602	0.13824	0.21606	0.13314	0.11526	0.05776	0.03998	0.03008	0.025	0.02208	0.02502	0.02212
0.21584	0.21618	0.13834	0.21642	0.13322	0.11526	0.05778	0.04002	0.03006	0.02504	0.02208	0.02506	0.02214
0.21598	0.21616	0.13822	0.21614	0.13292	0.1153	0.05772	0.04	0.03002	0.02502	0.02214	0.02506	0.02206
