16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2462.2775641717703	2804.4826097619307	4185.163321232637	3351.903458004152	5086.056386208895	5779.362921433586	10206.743631179195	14772.482183632355	19450.955263309526	23777.79827613921	26855.745891596645	25610.901811187636	28934.814596688877
2461.1089430221186	2803.49600220952	4185.552524431103	3351.3247691686397	5084.607369416788	5778.482618797438	10206.876079470434	14774.241175169826	19450.920956824128	23781.378641944368	26865.439446980523	25614.741848179183	28918.942561418058
2460.8701487475405	2803.224896643975	4185.003025210971	3351.229864423122	5083.895552550415	5777.361401949204	10208.911332802632	14777.797781386596	19453.333925747953	23776.47786115033	26856.458882690677	25618.684566775275	28902.99352010091
2462.0889659609843	2803.385980274072	4184.675811586886	3351.888602339467	5083.696730981719	5778.414580586981	10209.799470655118	14771.016415530383	19452.66742232019	23782.788225884975	26864.045426928646	25624.791287048953	28926.72050756754
2463.729430400538	2802.6486368393093	4184.890116128421	3351.5694067922955	5085.724317747857	5779.717921792468	10209.331584066265	14775.284910969993	19463.463294796828	23795.58073705925	26886.90157365767	25620.62668504619	28912.975127438465
2462.899555590987	2803.216065417139	4185.571350723956	3351.9458553746686	5083.999534286037	5777.701282812488	10209.01666614479	14770.90407220133	19448.01779572602	23785.621069053905	26853.4620204765	25621.475621036323	28918.83032480024
2462.4354167181523	2802.1716892703303	4185.705944928862	3352.109739609158	5084.697450436214	5777.312928893001	10207.525713888102	14775.55289968134	19456.52971026028	23792.11251666437	26854.773015783936	25631.68087276802	28908.823325881192
2462.035475828345	2802.982275458401	4185.33648837247	3351.2999679868585	5085.823547071152	5777.280852497821	10208.8061765931	14773.635082614757	19447.09753664846	23785.278870422506	26866.81486591647	25613.726137094705	28913.851397925984
2462.6498215320908	2802.178172882585	4184.392231424137	3351.121819570939	5084.993113642154	5777.274702783662	10207.98375144504	14780.771413915461	19450.496782786864	23780.73789543732	26866.508774968035	25610.511504567494	28921.1586817799
2461.956772395214	2802.2664442517726	4182.7340704373455	3351.6842025077417	5084.481080183064	5777.426760723679	10209.305730754722	14780.331950011336	19452.754339201423	23793.016483315903	26852.89855936577	25629.5804081763	28913.893475628538
2461.8571594855293	2802.2871892784633	4185.1489415033075	3351.528779720416	5083.971870531971	5776.976869061726	10207.108378917867	14776.620188157054	19446.557313348905	23802.191390041495	26862.982682958493	25620.020961309496	28916.84599829167
2462.871498066482	2802.8762207194786	4185.794599714906	3350.3225748436557	5085.625613238719	5776.170532371939	10209.320482979614	14781.324725649874	19450.666610636017	23781.16286761388	26868.936039457385	25633.13067417607	28902.598698508078
2462.213863827317	2803.654282796251	4184.6114686342935	3348.9965520370874	5085.629069286844	5778.244759969203	10206.637227146846	14779.294266636094	19464.009913002574	23777.217785847137	26860.842264320956	25618.15283297081	28918.692351824793
2461.569139334461	2803.60712322047	4186.060184572845	3351.1334102678366	5085.377049137817	5776.568968562091	10210.461484160713	14775.081471213918	19443.837110714867	23790.767489100348	26886.38225327715	25617.956903433926	28900.697368535013
2462.141591599162	2803.0905367818395	4184.110126798115	3351.552391971204	5084.64471153591	5778.269927645095	10209.425485426626	14769.835493051465	19452.188538341987	23773.09021374858	26843.939759485533	25621.17900882227	28905.238492421835
2462.2778675932414	2804.1143371385883	4184.436323831679	3351.351591227475	5085.240685000909	5778.6619210090685	10209.200016354605	14771.931519492658	19457.335588408678	23776.370205870753	26853.11167535176	25632.744084184666	28901.57731480423
2461.638088637462	2804.1046381539218	4184.396470892665	3350.7826720296894	5084.743603416111	5780.015254310752	10208.17859326832	14771.455210349242	19461.528750231668	23795.77005835207	26858.134949997777	25629.174730519113	28900.27815790662
2461.768904776329	2803.450901409569	4186.047330352096	3350.1875927170595	5084.45241274609	5778.467300650555	10209.640504842775	14776.124940281026	19459.41071761282	23775.63453990327	26860.43957046896	25634.017722735265	28915.09079102217
2462.5759174549416	2802.8920573292744	4186.324972324271	3351.594856848219	5082.889222917251	5779.688324499256	10209.924403043196	14776.831921993944	19459.356161979627	23781.541668960588	26877.160853765483	25611.83224357135	28899.15379320192
2461.4395423660753	2803.2142890207647	4186.869121157223	3350.49728193292	5082.252557179969	5778.9520566243245	10207.55600510982	14772.173512422833	19453.962895560137	23790.32444798459	26867.828087329544	25620.31452819247	28907.550025415705
