16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.46414	0.46418	0.28546	0.46438	0.28578	0.24774	0.12388	0.08262	0.06174	0.04962	0.04388	0.04966	0.04396
0.46414	0.46422	0.28572	0.46388	0.28576	0.2475	0.12378	0.08252	0.06198	0.04958	0.04382	0.04962	0.0438
0.46406	0.4643	0.28556	0.46456	0.28604	0.2475	0.12392	0.0825	0.06186	0.04964	0.04378	0.04962	0.04384
0.4643	0.46396	0.2854	0.46416	0.28584	0.24764	0.12382	0.08258	0.0621	0.04966	0.04386	0.04964	0.0438
0.46418	0.46422	0.28542	0.46448	0.2855	0.24766	0.12384	0.0826	0.06198	0.0496	0.04378	0.04962	0.04388
0.46416	0.46396	0.28584	0.46426	0.28604	0.24772	0.12382	0.08274	0.06202	0.0496	0.0438	0.0496	0.04382
0.46398	0.46442	0.28556	0.46428	0.28554	0.24786	0.12366	0.0825	0.0619	0.04972	0.04382	0.04958	0.04384
0.46418	0.46398	0.28538	0.46394	0.28574	0.24754	0.12386	0.08246	0.06198	0.04964	0.04384	0.04968	0.04384
0.46438	0.46442	0.28564	0.46444	0.28578	0.24772	0.1239	0.08258	0.06192	0.0497	0.04378	0.04966	0.04386
0.46434	0.46402	0.28546	0.46412	0.2856	0.24806	0.12376	0.08264	0.06192	0.04968	0.04384	0.04974	0.04394
0.46396	0.4643	0.28556	0.4642	0.28574	0.24758	0.1238	0.08254	0.06186	0.0496	0.0438	0.0496	0.04378
0.46448	0.46416	0.28562	0.4641	0.28586	0.24772	0.1239	0.08256	0.06188	0.04956	0.04382	0.04968	0.04384
0.46398	0.4643	0.28558	0.46412	0.28556	0.24776	0.12388	0.08254	0.06192	0.04958	0.04394	0.0496	0.04376
0.46456	0.46408	0.2854	0.46444	0.28586	0.24742	0.12398	0.0825	0.06194	0.04958	0.0438	0.04974	0.04384
0.46414	0.46426	0.28594	0.46406	0.286	0.2478	0.12376	0.0826	0.06196	0.04966	0.0438	0.04958	0.0438
0.46454	0.46428	0.2856	0.46438	0.28602	0.2476	0.12372	0.0826	0.06192	0.0496	0.044	0.04962	0.0438
0.46402	0.46404	0.2855	0.46416	0.28596	0.24748	0.12382	0.0825	0.06194	0.04968	0.04384	0.04958	0.0438
0.4642	0.46422	0.28548	0.46442	0.28578	0.24778	0.12376	0.08264	0.06196	0.04966	0.04384	0.04968	0.04382
0.46398	0.4643	0.28548	0.4641	0.28596	0.2475	0.12396	0.08254	0.06194	0.04964	0.04386	0.04976	0.04386
0.4642	0.46444	0.28568	0.46436	0.2857	0.24762	0.12372	0.08252	0.0619	0.04972	0.0438	0.0496	0.0438
