16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3025.356479046584	3368.1800173748898	4565.012937970802	4115.144746285014	6270.119581643986	7110.636083929388	12533.42556881833	16090.928276316728	21085.950107726243	23634.60667712905	26652.55797600731	25531.402579298963	28744.07455220657
3023.4423648191655	3367.6517178066583	4563.950363506369	4115.827033185256	6271.758239841536	7108.410677084556	12533.621015975554	16091.586866356023	21082.849750731515	23644.39991234386	26650.171615064333	25541.46761832508	28764.818336190197
3024.3185337373698	3365.8923710526415	4564.081593679202	4116.575343891103	6271.595629383462	7108.645624835551	12529.926943104358	16090.334314610129	21089.43785243508	23645.835368985387	26654.295775355124	25535.151034644008	28746.1381113552
3024.2894643760587	3365.997174211405	4564.799970162466	4115.536569706814	6270.911564949996	7111.801613746377	12536.39311990166	16090.721200170647	21100.9043777482	23637.037142901354	26655.99319078242	25533.472940644926	28757.907726146557
3024.8556689784314	3366.9045911201356	4563.447121031063	4115.46338349282	6271.865961213469	7111.611635963265	12533.938802175226	16091.99037589875	21084.167039533437	23654.02385105275	26677.454612693007	25532.963712450484	28747.290639280513
3025.371444605349	3367.010795770376	4563.872561102333	4115.232928045864	6272.195433774962	7110.50878379341	12532.18058891973	16092.319017762591	21089.761944140417	23653.16202942754	26646.830265244913	25532.207800286098	28752.964776872297
3024.255480872737	3367.3016333650853	4564.086848102317	4114.52260114943	6274.2484734678	7109.771957971099	12531.861676317434	16094.29750336034	21088.283278036193	23665.531915365777	26658.9875433855	25540.417878897457	28773.641677361094
3024.11887681918	3367.384679721311	4565.9084789988465	4114.584892579495	6273.071307964377	7110.331463039137	12536.748575583088	16094.928140571976	21087.888189742574	23641.125872117682	26650.564053568978	25530.90973932552	28755.746829281947
3023.970473388515	3365.8015551900894	4564.861589221397	4114.661370825628	6274.209023143907	7111.167649499776	12536.492618598628	16093.910524407056	21087.284553835598	23644.829549004557	26645.873274121965	25533.034457816735	28753.895364749205
3024.3978197673277	3364.8090533830937	4565.7398924446	4115.006409596827	6273.541989577051	7109.3843916156875	12533.213075985597	16094.457291360397	21089.575093263273	23644.755222635413	26658.78300767228	25558.236085017117	28755.617385007896
3023.9008708172532	3365.0175490527076	4565.5540606942595	4114.250659139549	6272.84379248799	7108.882239630989	12539.368950409174	16091.710732752583	21083.55165159968	23647.060921416738	26660.669055347164	25529.16255388807	28753.009115814402
3022.57793604782	3366.3413626489782	4564.912860382266	4115.753394277763	6271.963780346014	7108.754773145692	12535.96903467808	16085.458788902137	21091.29044969203	23646.604792922484	26658.80743845563	25542.316576146623	28753.371755028988
3022.457521627298	3366.598356658818	4565.49796715389	4115.697985915268	6272.875059407658	7108.706139965978	12539.940981095282	16089.623594416988	21084.137549145107	23639.282664737188	26641.31987376356	25541.846351666543	28730.704468123768
3022.9751906874208	3366.08341411881	4565.192493551628	4114.66470619865	6273.249619191275	7110.994765459325	12535.566597513087	16091.798799750068	21079.20311292853	23658.763724313656	26667.782966696537	25543.07288197324	28737.96087396724
3023.58507008474	3368.1297332876393	4565.72765305525	4115.203249445888	6272.945125317026	7109.177866252734	12531.705901613455	16092.763021084307	21093.929009773645	23658.5884782346	26645.03880909511	25550.369477607834	28740.140856528767
3022.645012267027	3366.776795795701	4564.181799176095	4115.604859474464	6272.419828515409	7111.049867917571	12533.303741225624	16097.578299473007	21093.64144184252	23651.800643466308	26642.212079601373	25534.965939706733	28748.97115156007
3023.0893714199506	3365.3619940744957	4564.052048124798	4115.169921057477	6273.084734453644	7109.669424175481	12536.339811469674	16093.74857309374	21084.952088536826	23644.941904095947	26652.333079552165	25556.350973900146	28756.826164469712
3023.182674422363	3365.6919568738826	4564.532889007136	4114.252358036741	6273.793414939138	7109.730278839377	12534.952048934038	16086.94502082004	21082.90595360369	23635.277009346115	26666.757034330858	25536.19887377765	28755.921537004164
3022.9273982403515	3365.569240581395	4563.37337397166	4115.098784164019	6274.247825464379	7108.758587435067	12533.349054634875	16093.006096113748	21088.90458728473	23638.256771463744	26648.338843700454	25543.813015461237	28762.808862429327
3023.2862296353383	3366.5098082853515	4564.065647564726	4114.751485254094	6274.10912557274	7109.971198416301	12533.750944456135	16094.828981802282	21090.46349158654	23657.400777020794	26653.643007631654	25538.165827055236	28769.870179628455
