16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.24896	0.24924	0.17376	0.24942	0.15342	0.1332	0.0666	0.05032	0.0377	0.03546	0.03138	0.03552	0.03138
0.24898	0.24928	0.17404	0.24976	0.15348	0.13312	0.06658	0.05028	0.03766	0.0354	0.0313	0.03554	0.03138
0.24922	0.24896	0.1738	0.24936	0.15352	0.13302	0.06644	0.05032	0.03766	0.03548	0.03136	0.03546	0.03138
0.249	0.24916	0.17358	0.24912	0.15348	0.13286	0.06638	0.05028	0.03772	0.0355	0.03134	0.03548	0.03132
0.24916	0.24904	0.1737	0.24938	0.15326	0.13296	0.06642	0.0502	0.03772	0.03548	0.03136	0.0355	0.03132
0.24906	0.24898	0.17372	0.2494	0.15348	0.13298	0.06654	0.05024	0.03776	0.0355	0.03132	0.03554	0.03134
0.24908	0.24906	0.1735	0.2493	0.15322	0.133	0.06646	0.05016	0.03774	0.03548	0.0314	0.03554	0.03142
0.24898	0.24926	0.17372	0.24938	0.15338	0.13296	0.06646	0.05028	0.03772	0.03546	0.0313	0.03548	0.0314
0.24924	0.24912	0.17372	0.24942	0.15334	0.13296	0.06654	0.05018	0.03768	0.03548	0.03136	0.03552	0.0314
0.2489	0.24944	0.1737	0.24942	0.15338	0.13274	0.06658	0.05022	0.03768	0.03562	0.03134	0.03546	0.03136
0.249	0.24916	0.1736	0.24938	0.15322	0.1332	0.06644	0.0502	0.03772	0.03546	0.03134	0.03556	0.0314
0.24908	0.24904	0.17366	0.24918	0.15326	0.13296	0.06664	0.05024	0.03776	0.03546	0.03126	0.03558	0.0314
0.24926	0.24896	0.17364	0.24924	0.15376	0.13298	0.06654	0.05022	0.03774	0.03552	0.03134	0.03548	0.03136
0.24894	0.24904	0.17366	0.24936	0.15328	0.13292	0.06644	0.05042	0.03782	0.0355	0.03134	0.03542	0.03128
0.2489	0.24908	0.17364	0.24922	0.15328	0.13318	0.06654	0.05026	0.03774	0.03548	0.03136	0.0355	0.03136
0.24904	0.24914	0.174	0.24958	0.15336	0.13292	0.0665	0.0502	0.03774	0.03558	0.03134	0.03558	0.03134
0.24902	0.24898	0.1737	0.24936	0.15348	0.13298	0.06648	0.05026	0.03766	0.03548	0.03136	0.03558	0.03132
0.24894	0.24928	0.17378	0.24934	0.15324	0.13292	0.06648	0.0502	0.03768	0.0355	0.03146	0.03552	0.03128
0.24896	0.24922	0.17352	0.2493	0.15338	0.1328	0.06662	0.0503	0.03778	0.0355	0.03134	0.03566	0.03134
0.249	0.24886	0.1736	0.24928	0.15332	0.13304	0.06646	0.0502	0.0377	0.03556	0.03132	0.03552	0.03126
